Nom-Artiste,Nom-Œuvre,Materiaux_Finition,Taille,Prix
زيد عسل ,revolution,sculpture de tout une olivier  ager de 250 ans ,120x350cm,20000
مولدي بورخيص,كتابة على الجلد ( الحرف يسبح في رحم الفضاء ),حبر على ورق ومادة الجلد,67x94 cm,1800
محمود غرب,امتداد,اكريليك على القماش ,140x80 cm,2500
أحمد الغديري ,maternité,اينوكس ونحاس على الخشب,70x50 cm,1000
فتحي السلطاني,ثورة ,حجر رخامي و قطعة حديد سلاح قديم ,5x85 cm / 8 kg,2500
خليفة القاسمي ,قصر اولاد سلطان ,مواد مختلفة على ورق arche ,55x75 cm,600
