FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",188.01385,"0","0","0","0",,P,"0"
"0","0","0","0",681.67049,"0","0","0","0",,P,"1"
"0","0","0","0",423.86501,"0","0","0","0",,P,"0"
"0","0","0","0",407.32852,"0","0","0","0",,P,"0"
"0","0","0","0",23.97209,"0","0","0","0",,P,"0"
"0","0","0","0",11.42960,"0","0","0","0",,P,"0"
"0","0","0","0",760.52824,"0","0","0","0",,P,"1"
"0","0","0","0",179.56391,"0","0","0","0",,P,"0"
"0","0","0","0",80.83151,"0","0","0","0",,P,"0"
"0","0","0","0",798.26407,"0","0","0","0",,P,"1"
"0","0","0","0",46.31808,"0","0","0","0",,P,"0"
"0","0","0","0",497.39348,"0","0","0","0",,P,"0"
"0","0","0","0",220.95533,"0","0","0","0",,P,"0"
"0","0","0","0",51.93416,"0","0","0","0",,P,"0"
"0","0","0","0",83.97462,"0","0","0","0",,P,"0"
"0","0","0","0",440.22848,"0","0","0","0",,P,"0"
"0","0","0","0",485.98233,"0","0","0","0",,P,"0"
"0","0","0","0",198.57681,"0","0","0","0",,P,"0"
"0","0","0","0",11.84803,"0","0","0","0",,P,"0"
"0","0","0","0",13.36463,"0","0","0","0",,P,"0"
"0","0","0","0",139.27038,"0","0","0","0",,P,"0"
"0","0","0","0",1138.99789,"0","0","0","0",,P,"1"
"0","0","0","0",46.61081,"0","0","0","0",,P,"0"
"0","0","0","0",1383.11883,"0","0","0","0",,P,"1"
"0","0","0","0",82.07300,"0","0","0","0",,P,"0"
"0","0","0","0",76.84327,"0","0","0","0",,P,"0"
"0","0","0","0",882.20124,"0","0","0","0",,P,"1"
"0","0","0","0",1522.70049,"0","0","0","0",,P,"2"
"0","0","0","0",502.19963,"0","0","0","0",,P,"1"
"0","0","0","0",267.19159,"0","0","0","0",,P,"0"
"0","0","0","0",168.92437,"0","0","0","0",,P,"0"
"0","0","0","0",403.72732,"0","0","0","0",,P,"0"
"0","0","0","0",497.02295,"0","0","0","0",,P,"0"
"0","0","0","0",116.95469,"0","0","0","0",,P,"0"
"0","0","0","0",37.25923,"0","0","0","0",,P,"0"
"0","0","0","0",165.96066,"0","0","0","0",,P,"0"
"0","0","0","0",44.97416,"0","0","0","0",,P,"0"
"0","0","0","0",389.64696,"0","0","0","0",,P,"0"
"0","0","0","0",177.90334,"0","0","0","0",,P,"0"
"0","0","0","0",189.16548,"0","0","0","0",,P,"0"
"0","0","0","0",114.16598,"0","0","0","0",,P,"0"
"0","0","0","0",521.38309,"0","0","0","0",,P,"1"
"0","0","0","0",335.32012,"0","0","0","0",,P,"0"
"0","0","0","0",374.22509,"0","0","0","0",,P,"0"
"0","0","0","0",439.64028,"0","0","0","0",,P,"0"
"0","0","0","0",170.40870,"0","0","0","0",,P,"0"
"0","0","0","0",63.85264,"0","0","0","0",,P,"0"
"0","0","0","0",293.63523,"0","0","0","0",,P,"0"
"0","0","0","0",86.21915,"0","0","0","0",,P,"0"
"0","0","0","0",8.41026,"0","0","0","0",,P,"0"
"0","0","0","0",491.13499,"0","0","0","0",,P,"0"
"0","0","0","0",306.01189,"0","0","0","0",,P,"0"
"0","0","0","0",616.55086,"0","0","0","0",,P,"1"
"0","0","0","0",461.14267,"0","0","0","0",,P,"0"
"0","0","0","0",225.35644,"0","0","0","0",,P,"0"
"0","0","0","0",163.71806,"0","0","0","0",,P,"0"
"0","0","0","0",356.01333,"0","0","0","0",,P,"0"
"0","0","0","0",511.93184,"0","0","0","0",,P,"1"
"0","0","0","0",6.10353,"0","0","0","0",,P,"0"
"0","0","0","0",227.01844,"0","0","0","0",,P,"0"
"0","0","0","0",133.10238,"0","0","0","0",,P,"0"
"0","0","0","0",1161.66115,"0","0","0","0",,P,"1"
"0","0","0","0",688.32234,"0","0","0","0",,P,"1"
"0","0","0","0",376.41488,"0","0","0","0",,P,"0"
"0","0","0","0",346.28828,"0","0","0","0",,P,"0"
"0","0","0","0",219.83115,"0","0","0","0",,P,"0"
"0","0","0","0",109.73564,"0","0","0","0",,P,"0"
"0","0","0","0",1183.15872,"0","0","0","0",,P,"1"
"0","0","0","0",122.66542,"0","0","0","0",,P,"0"
"0","0","0","0",110.50000,"0","0","0","0",,P,"0"
"0","0","0","0",278.98700,"0","0","0","0",,P,"0"
"0","0","0","0",2476.25733,"0","0","0","0",,P,"2"
"0","0","0","0",1207.07520,"0","0","0","0",,P,"1"
"0","0","0","0",484.77794,"0","0","0","0",,P,"0"
"0","0","0","0",215.63579,"0","0","0","0",,P,"0"
"0","0","0","0",302.54162,"0","0","0","0",,P,"0"
"0","0","0","0",276.58178,"0","0","0","0",,P,"0"
"0","0","0","0",689.60921,"0","0","0","0",,P,"1"
"0","0","0","0",368.18099,"0","0","0","0",,P,"0"
"0","0","0","0",92.88152,"0","0","0","0",,P,"0"
"0","0","0","0",173.56110,"0","0","0","0",,P,"0"
"0","0","0","0",95.83042,"0","0","0","0",,P,"0"
"0","0","0","0",406.20728,"0","0","0","0",,P,"0"
"0","0","0","0",101.21675,"0","0","0","0",,P,"0"
"0","0","0","0",127.68071,"0","0","0","0",,P,"0"
"0","0","0","0",457.17021,"0","0","0","0",,P,"0"
"0","0","0","0",1061.06619,"0","0","0","0",,P,"1"
"0","0","0","0",855.43296,"0","0","0","0",,P,"1"
"0","0","0","0",504.56323,"0","0","0","0",,P,"1"
"0","0","0","0",32.55042,"0","0","0","0",,P,"0"
"0","0","0","0",232.75106,"0","0","0","0",,P,"0"
"0","0","0","0",373.32309,"0","0","0","0",,P,"0"
"0","0","0","0",191.66120,"0","0","0","0",,P,"0"
"0","0","0","0",1607.93626,"0","0","0","0",,P,"2"
"0","0","0","0",133.62877,"0","0","0","0",,P,"0"
"0","0","0","0",401.74938,"0","0","0","0",,P,"0"
"0","0","0","0",781.90975,"0","0","0","0",,P,"1"
"0","0","0","0",177.86993,"0","0","0","0",,P,"0"
"0","0","0","0",81.53015,"0","0","0","0",,P,"0"
"0","0","0","0",118.93988,"0","0","0","0",,P,"0"
"0","0","0","0",57.05001,"0","0","0","0",,P,"0"
"0","0","0","0",279.07435,"0","0","0","0",,P,"0"
"0","0","0","0",485.33113,"0","0","0","0",,P,"0"
"0","0","0","0",193.21820,"0","0","0","0",,P,"0"
"0","0","0","0",1463.94448,"0","0","0","0",,P,"1"
"0","0","0","0",40.79771,"0","0","0","0",,P,"0"
"0","0","0","0",61.35310,"0","0","0","0",,P,"0"
"0","0","0","0",352.06307,"0","0","0","0",,P,"0"
"0","0","0","0",352.83244,"0","0","0","0",,P,"0"
"0","0","0","0",597.20750,"0","0","0","0",,P,"1"
