BibliothŠques publiques;Nombres d'activit‚s 2023
 Regional de Manouba;133
Teborba ;47
Dour Hicher 1;24
Dour Hicher 2;28
Oued Ellil;36
DenDen;88
Battan;27
Mornaguia;28
Jdaida;34
Borj Al Amri;39
Total;484
