Nom association,Subvention commissariat 2020,Subvention commissariat 2021,Subvention commissariat 2022,Subvention commissariat 2023,Subvention commissariat 2024
Association des Diplômés de la Formation Professionnelle,3000,3000,,,
Association de la Planète Positive,6000,,,,
Association du Festival International des Ksour Sahariens de Tataouine,20000,,20000,,
Association Mada pour le Théâtre à Tataouine,11000,,,,
Association du Festival de Beni Mhira des Jeux Populaires,,,7000,10000,18000
Association du Festival du Patrimoine de Wirguima à Tataouine,,8000,,,
Association des Amis de la Maison de la Culture de Ghomrassen,,4500,,20000,
Association du Festival National de la Tonte à Smar,,,7000,,
Association des Artisans de Ghomrassen,,7000,,1500,
Association Wakri pour le Développement et la Solidarité à Douiret,,7000,,6000,
Association des Ksour Culturels de Tataouine,,,7500,,
Association du Patrimoine de Ragma à Tataouine,,,,,
Association Asheb Elwaad,,,15000,7000,10000
Association du Festival International d'Été de Tataouine,,,20000,20000,30000
Association des Amis de la Bibliothèque de Tataouine,,,7000,,
Association du Festival de Oum Dhéhiba,,,10000,12000,
Association Chenini pour la Responsabilité Sociale,,,8000,,
Association Al-Yosr pour le Développement Culturel,,,2500,,
Association du Festival de l’Enfance à Ghomrassen,,,,,10000
