Annee,Cabinet,Corps_administratif,Corps_techniciens,Corps_bibliothecaire,Corps_animateurs,Corps_du_patrimoine,Corps_educationnel,Corps_ouvrier,Autres_corps,Retraite,Total
2017,6,325,294,1007,1244,395,102,3593,21,176,6987
2018,6,31,368,1032,1675,384,104,3648,56,121,7589
2019,10,320,370,1273,1739,376,104,3399,33,97,7624
