Gouvernorat;"Nombre des maisons de jeunes itinérantes"
Tunis;1
District-Tunis;4
Nord-Est;6
Béja;2
Nord-Ouest;8
Sfax;2
Centre-Ouest;7
Sud-Est;7
Total;47
Manouba;1
Bizerte;2
Siliana;2
Mahdia;3
"Sidi Bouzid";2
Tataouine;2
Sud-Ouest;6
"Ben Arous";1
Zaghouan;3
"Le Kef";2
Monastir;1
Kasserine;2
Médnine;2
Tozeur;2
Kébili;2
Ariana;1
Nabeul;1
Jendouba;2
Sousse;3
Centre-Est;9
Kairouan;3
Gabès;3
Gafsa;2
"Source: La direction de planification et d'évaluation (décembre 2017)";
