Nom-projet,Proprietaire-de-projet,Subvention
ديوان الشاهد لبيض,محمد الغزال الكثيري,12000
حميمية بين الخط العربي و الرسم و الزخرف,عبد اللطيف الكوساني,15000
"كتاب ""التراث اللامادي في مراتع الهلاليين: في الوسط الشرقي للبلاد التونسية""",الأزهر بالوافي,3700
السياسات الثقافية للبلاد التونسية,حاتم زير,10000
مجموعة قصصية للأطفال,حافظ ضيف الله,20000
مدونة التراث الثقافي الغير مادي لمنطقة السند,مسطاري بوكثير,5000
موقع ابن خلدون للدراسات الإجتماعية,شركة اكزوس,12000
طبع تسعة كتب مرجعية,الهيئة التنفيذية لتظاهرة صفاقس عاصمة للثقافة العربية,270000
كتاب فني عن الرسام منوبي بوصندل,أحلام بوصندل,20000
