Nom-projet,Proprietaire-de-projet,Subvention
وشم,جمعية مدى للمسرح بتطاوين,5000
""" أمل""",الحسناوي الزارعي,3000
ديوان عثمان العثماني(1916-1980),محمد النوي,13000
"الموسوعة الكافية في الثقافة الشعبية 
(التراث الثقافي غير المادي بولاية الكاف)  ",محمد الجزيراوي,8000
ثلاث نصوص مسرحية للطفل مرفقة  بملف بيداغوجي,محمد المختار الوزير- محمد الناصر بلح,13000
رحلة فنان,ميزوني بناني,7000
"""La Valse Des Synapses, Inquiétudes Et Espoirs",رجب الضاوي,5000
Objectif Tunisi,مراد بن محمود,7000
رحلة الى بلادي,أحلام الحكيمي,48000
"أكبر من مخيلة الجداول""",منير الوسلاتي,5500
جناح القمر,الأزهر بلوافي,5000
لبنة ,زينب حامد,15000
"إصدار موسوعة الفن التونسي تعنى بجميع الاختصاصات في ثلاث لغات (العربية والفرنسية و الانقليزية )
 بعنوان ""TUNIS ARTS ",أسماء بن علي سعادي,15000
