Nom-projet,Proprietaire-de-projet,Subvention
"طبع ""تحيا الجمهورية""",منشورات التراث المغاربي والمتوسطي,20000
"طبع ""نول حرايرية تونس""",دار الجنوب للنشر,15000
"طبع مؤلفات محمد حسين فنطر ""حنبعل-قرطاج-يوغرطة""",دار محمد علي الحامي للنشر,30000
"نص مسرحي للأطفال ""أرض الوعود""",علاء بن منصف الفرشيشي,11500
"طبع نص مسرحية ""اصطياد الساحرة""",حافظ ضيف الله (محفوظ),5000
08 قصص لأطفال,نجيبة بوغندة,16000
"سلسلة ""مغامرات المحقق أملي""",كمال البوهالي,15000
"سلسلة ""نادي الأصدقاء""",فرحات بن عثمان,15000
"كتاب ""الكوفي اللاتيني وألوان""",عبد اللطيف الكوساني,20500
طبع الجزء 5-6 من الأعمال الكاملة لمحمد المرزوقي,دار محمد علي الحامي للنشر والتوزيع,48242
"""الحكاية التاريخية الموجهة للشباب",زهير بن ترديت,7000
