maisons de culture,Nombre d'activités 2021,Nombre d'activités 2022,Nombre d'activités 2023,Nombre d'activités 2024
centre culturel sousse,48,63,84,12
maison de culture msaken,67,83,59,91
maison de culture kalaa sghira ,52,93,131,67
maison de culture kalaa kbira,35,58,60,65
maison de culture hamam sousse,21,23,25,27
maison de culture bouficha ,75,61,66,63
maison de culture nfidha ,انطلقت الأنشطة الثقافية ابتداءا من  أكتوبر 2021 بعد انتهاء الأشغال بدار الثقافة وقد سجلنا 21نشاط,95,98,75
maison de culture akouda,50,80,83,65
maison de culture hergla ,0,0,0,0
