Date;Charges_exploitation;Charges_personnel;Carburants;Pieces_detachees
2000;4,725;2,511;0,491;0,132
2001;5,21;2,703;0,573;0,154
2002;5,254;2,465;596;0,16
2003;6,231;2,616;0,593;0,164
2004;6,438;2,77;0,665;0,188
2005;6,917;3,1;0,709;0,27
2006;7,628;3,468;1,016;0,288
2007;7,758;3,798;1,163;0,286
2008;8,415;4,172;1,4;0,34
2009;8,862;4,71;1,404;0,359
2010;10,154;5,245;1,505;0,424
2011;11,004;5,876;1,425;0,253
2012;11,092;6,713;1,653;0,379
2013;12,513;7,742;1,805;0,45
2014;13,746;8,342;1,931;0,498
2015;15,292;9,133;2,152;0,623
2016;16,782;9,895;2,04;0,556
2017;18,265;10,535;2,158;0,57
