Nom-projet,Proprietaire-de-projet,Subvention
 كتاب الالعاب الشعبية بالجنوب التونسية ,صابر العبداوي,10000
تراثي PLATFORM,محمد الاوحيشي,20000
مهرجان العادات و التقاليد سيدي مرشد,الناصر السايح,10000
عرض تكويني ,منعم عبيد,1500
الابداع الفني و الصناعات التقليدية,هيثم صوة,10000
جبن باجة,جمعية صوت الباحث بباجة /لبنى الصيد,20000
الدليل السياحي والثقافي لمدينة سليانة,الجمعية التونسية للسياحة و الترفيه/ مهذب القرفي,10000
حكاية في حكاية,حسام بوكاف الجلاصي,30000
مهرجان احياء التراث الشعبي الثقافي الفني,عبد الحميد البرهومي,10000
اوليديا,المنجي القدوسي,30000
الرقمة كمنطلق للعمل التشكيلي,يمينة الفرشيشي,10000
تاريخنا,عربية العباسي ,20000
coffret tresore du nort west,وليد الهمامي,15000
عما فني متكون من تنصيبات و جداريات خزفية,عبد الستار الصادق,10000
رقمة,خيرة عبيدالله,15000
الفنون و الحرف,نادية غموري,10000
الانامل المبصرة,سلام الله الثابت,20000
مهرجان التراث المنجمي,جمعية الابداع الثقافي و التراث المنجمي بالرديف,10000
براق ورشة الخرفي للفنان,فتحي العشي ,7000
بصنعة اجدادنا يعيشو اولادنا,عبير بشير,2000
التطريز لوحات تشكياية منقوشة,هادية مصطفىى,2000
المعرض الشخصي الاول للفسيفساء المعاصرة قصر الجم,ايمان العلوي,10000
فضاء زلزل للصناعات الموسيقية,الطاهر بن سويسي,20000
