Nom-projet,Proprietaire-de-projet,Subvention
انتاج شريط وثائقي حول الرشيدية,مختار العجيمي,200000
اصدار كتاب حول متحف باردو,وكالة احياء التراث والتنمية الثقافية,90000
"انتاج سلسلة وثائقية ""صفاقس بين الذاكرة والتاريخ """,عبد الجبار الشريف- رضا القلال-عبد القادر الجربي,120000
التزويق على الفخار وجميع المحامل,دلال التباسي,8000
صنع الات موسيقية تقليدية,صالح الورقلي,26000
