اسم المهرجان,الدورة,الفئات المستهدفة,العدد الجملي العروض وللأشطة,عدد العروض المدعومة من الوزارة ,القيمة المالية للعروض المدعومة من الوزارة,عدد العروض المدعومة من  المندوبية,القيمة المالية للعروض المدعومة من المندوبية,العدد الجملي للعروض المنجزة,العدد الجملي للعروض الملغاة
البرنامج الجهوي لمهرجان مصيف الكتاب بمنوبة,30,أطفال,8,0,0,3,2500,3,0
مهرجان الجواد البربري بالبطّان,29,جميع الفئات,4,1,2200,0,0,1,0
المهرجان الصيفي بوادي الليل,27,جميع الفئات,6,0,0,0,0,0,0
المهرجان الصيفي بدوّار هيشر,32,أحياء ذات كثافة سكانية,16,2,4100,0,0,3,0
المهرجان الصيفي بالمرناقيّة,33,جميع الفئات,5,1,2700,0,0,1,0
المهرجان الصيفي ببرج العامري,33,جميع الفئات,5,1,1000,0,0,2,0
المهرجان الثقافي بالدندان,39,جميع الفئات,7,0,0,1,2500,1,0
صيف الفنّ بالشويقي,3,مناطق ريفية,6,1,1700,0,0,1,0
المهرجان الصيفي بالجديّدة,28,جميع الفئات,6,1,2400,1,1500,2,0
الصالون الجهوي للفنون التشكيلية بدور الثقافة بولاية منوبة,3,شباب ,6,0,0,0,0,0,0
