secteur,subvention
Arts sceniques,412.350
"Litterature , Livre et Edition",293.000
Patrimoine culturel et de l'artisanat,418.000
Arts plastiques et de la Photographie ,166.700
Arts audio-visuels,379.300
"Musique , Danse et Arts vivants ",1878.180
