Nom-projet,Proprietaire-de-projet,Subvention
مسرحية القصاب,شركة مارس للإنتاج,30000
مسرحية صابرة,فرقة بلدية دوز للتمثيل,30000
مسرحية الثعلب الخائب,فرقة بلدية قفصة للتمثيل,20000
مسرحية سقراط,الجمعية الأورومتوسطية للثقافة و الترفيه,18000
مسرحية حنبعل,شركة مرايا للإنتاج,25000
مسرحية دراما,شركة الملقن الحر,75000
مسرحية الزنج,مركز الفنون الدرامية و الركحية بالكاف,50000
مسرحية المفقود أو ما عشناش,فوزية ثابت,30000
مسرحية النسور كانت بيضاء,جمعية مسرح الصمود بأم العرائس,10000
مسرحية دم غزال,جمعية الشباب المسرحي بحمام سوسة,10000
مسرحية مملكة القناديل,شركة جوهرة لللإنتاج,20000
مسرحية قبلة,شركة أنس لفنون الركح,30000
مسرحية مرايا,شركة رؤى للإنتاج الفني,25000
