Nom-projet,Proprietaire-de-projet,Subvention
"مسرحية  ""الله ينصر سيدنا""",شركة طارة للانتاج,75000
"مسرحية ""KO """,المسرح الوطني,49500
"مدرسة الممثل ""تكوين المواهب""",المسرح الوطني,38000
"م       v سرحية ""سلوان""",شركة الفن.0 مقاومة,34000
"مسرحية للاطفال "" منصور الكسول""",جمعية الزيتونة للتمثيل,12000
"مسرحية ""اللي صار صار """,شركة مسرح اليوم,20000
"مسرحية "" المسرحية """,شركة دار سندباد,51700
"مسرحية "" عنترة بن شداد""",جمعية المسرح الجميل,12800
"مسرحية "" الجــــزاء """,شركة كرنافآرت,45000
"مسرحية ""أسرار العشق""",شركة فن الضفتين,50000
"معرض "" القناع والحياة """,محي الدين بن عبد الله,23850
دعم أعمال لفضاء الحمراء,عز الدين قنون,15000
