OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
1;225;17022;1;5;82,176;PASSAGE A NIVEAU PK 82+176 SECTION  C030 LIGNE 5 Double Voie;22251110;22251110;251020212;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;82.176;P 3;Nouveau;10.4376791507;36.269488057; ; ;0; ;0
2;268;17544;1;5;116,68;PASSAGE A NIVEAU PK 116+687 SECTION  C031 LIGNE 5 en gare;22251110;22251110;251020232;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;116.68;P 5;Nouveau;10.4045443319;35.9827731697; ; ;0; ;0
3;1118;17905;1;22;48,08;PASSAGE A NIVEAU PK 48+080 SECTION  C093 LIGNE 22 Voie Unique;22251110;22251110;251020360;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;48.08;P 23;Nouveau;10.9750636134;35.628531077; ; ;0; ;0
4;288;17564;1;5;138,17;PASSAGE A NIVEAU PK 138+177 SECTION  C031 LIGNE 5 Double Voie;22251110;22251110;251020253;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;138.17;P 28;Nouveau;10.5620556193;35.8509979528; ; ;0; ;0
5;327;18178;1;5;174,25;PASSAGE A NIVEAU PK 174+259 SECTION  C034 LIGNE 5 en gare;22251110;22251110;251020291;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;174.25;P 30;Nouveau;10.644820256;35.5478689552; ; ;0; ;0
6;230;17027;1;5;91,2;PASSAGE A NIVEAU PK 91+200 SECTION  C030 LIGNE 5 Double Voie;22251110;22251110;251020218;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;91.2;P 37;Nouveau;10.4217856003;36.1902811071; ; ;0; ;0
7;418;21621;20;5;160,436;PN PK 160+436 , L 5;22251110;22251110;251800948;2010-05-01T00:00:00.000;2010-05-01T00:00:00.000;50192.054;177005.871;;;C;11;527;3;0;E;1;160.436;P 44;Nouveau;10.6105177947;35.6655147948; ; ;0; ;0
8;1136;18883;20;22;47,35;PN PK 47+350 , L 22;22251110;22251110;251800640;2008-01-01T00:00:00.000;2008-01-01T00:00:00.000;3776.344;9440.839;;;C;11;527;3;0;E;1;47.35;P 55;Nouveau;10.8213815583;35.7435672244; ; ;0; ;0
9;310;18086;1;5;158,1;PASSAGE A NIVEAU PK 158+100 SECTION  C033 LIGNE 5 voie Unique;22251110;22251110;251020275;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;158.1;P 59;Nouveau;10.6054397481;35.68616335; ; ;0; ;0
10;331;18182;1;5;178,82;PASSAGE A NIVEAU PK 178+820 SECTION  C034 LIGNE 5 en gare;22251110;22251110;251020295;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;3;0;E;1;178.82;P 62;Nouveau;10.6483825593;35.50804873; ; ;0; ;0
11;1110;17897;20;22;37,07;PASSAGE A NIVEAU PK 37+070 SECTION  C092 LIGNE 22 Double Voie;22251110;22251110;251020351;1989-07-01T00:00:00.000;1989-07-01T00:00:00.000;13603.708;13603.708;;;C;11;207;3;0;E;1;37.07;P 66;Nouveau;10.8201860268;35.7498880206; ; ;0; ;0
