Nom-de-projet,Proprietaire-de-projet,Subvention
"""عرض روح تونسية""",أمينة الصرارفي,100000
« Ré-existence »,نوال اسكندراني,61500
"""عرض لسود قيمة""",محمد البحري بن يحمد,70000
"""عرض اخر فرصة أمل""",رجاء بن عمار,120000
"""قرص تفاعلي لتعليم الموسيقى""",شكري بوزيان,30000
"تظاهرة "" JAZZ à CARTHAGE """,مراد المطهري,200000
"""عرض قافلة سير""",بلال المطماطي,16500
"""عرض الزردة""",نجيب الرحال,20000
"""عرض صنعة يدين""",مرتضى فتيتي,35000
"""عرض فلاقة2""",نصر الدين شبلي,81000
"عرض ""ننده الأسياد""",محمد البسكري,43000
"""عرض الزردة""",كمال الكريمي,12000
"""عرض سلاما أيتها الأرض""",محمد نجيب أرقاز,50000
"""عرض الحزب""",جمعية النيروز بالمهدية,22000
"""عرض طوق العنبر""",عماد مسعود,15000
"""عرض المرقوم""",نزار السعيدي,40000
مشروع دريم سيتي,سفيان ويسي/جمعية الشارع فن,130000
"""عرض أوبيرات حنين""",محمد موحة,12800
"""عرض وتر  لجسد""",أمين الشارني,10000
"""عرض شاعر و ميناء""",اسامة فرحات,49000
"""عرض لوحات من الجنوب الشرقي""",عبد الصمد كرشيد,30000
"""عرض رحبة الفنون1-2017""",جمعية رذاذ الفنون/حافظ الجديدي,20000
"""عرض أسمعان""",حاتم دربال,24000
"""عرض رحلة غنائية""",نجوى العرفاوي,25000
"""سنفونية الخالدات""",سمير الفرجاني,25000
"""عرض بانوراما الجسد""",طارق بوزيد,50000
"""عرض مملكة الحب""",منية البجاوي,50000
"""عرض ملحمي خضراء""",حافظ خليفة,90000
"""منصة الكترونية لتعليم الموسيقى عن بعد""",سمر عطاء,20000
"""عرض الجريدة""",خالد سلامة,30000
"""تظاهرة فن الألعاب السحريةمن التنشيط للتثقيف""",كمال عطية/فرقة مع الأطفال في كل مكان,10000
"""عرض طريزة""",نجيب خلف الله,40000
"""عرض برزخ""",سفيان صفطة,30000
"""عرض بدينا بالتمام""",شريف علوي,50000
"""عرض إذا الحلم يوما""",حنان قم,80000
"""عرض ريحانة""","إحسان العريبي""",22000
"أوبيرات ""مازال فينا الخير""",جمعية فنون/ناجي ميلاد شايب,20000
"""جربة حكايات""",أنيس المليتي,50000
عصافر L’avenu,عياض الشريف,40000
