Nom-de-projet,Proprietaire-de-projet,Subvention
«Dyslexie  » عرض,محود التركي,20000
"عرض ""قافلة 24 عطر""",محمد على كمون,170000
وقت الجبال تغني,محمد عدنان الهلالي,60000
"عرض ""حنين""",البشير السالمي,25000
"عرض ""رحلة وطن""",يسرى المجدوب,130000
الجامعة الشعبية محمد علي,سهيل العيدودي,30000
مهرجان المسرح و الفرجة الشعبية بالكاف,مركز الفنون الدرامية بالكاف,25000
رحلة نسيان,محمد بوسلامة,30000
تواصل,سيربن الدوس,70000
عرض موسيقي مسرحي,مهدي شقرون,50000
حكايات من القصر,رشيد بن مصطفى,50000
حنين و أنغام,زينة التونسية,45000
غزرة سمعها,عمر بن عمر,5500
