Tripolyphosphate de Sodium (STPP);Nitrate Poreux (NP) (Tonne);Nitrate Agricole (NA) (Tonne);Dicalcium Phosphate (DCP) (Tonne);Triple super phosphate (TSP) (Tonne);Diammonium phosphate(DAP) (Tonne);Acide Phosphorique 54 % P2O5 (AP 54 %) (Tonne);Year
288;25;17 489;575;1 461;845;3 496;31/01/2013
389;25;12 837;3 358;775;4 387;10 726;28/02/2013
294;300;16 930;2 706;1 501;4 034;11 984;31/03/2013
230;918;15 709;2 263;1 145;3 373;10 792;30/04/2013
354;826;7 603;2 149;785;4 325;11 405;31/05/2013
286;842;4 832;2 149;886;7 599;10 193;30/06/2013
315;2 368;9 163;2 067;1 733;3 946;11 342;31/07/2013
278;1 302;5 595;1 223;5 032;6 008;11 391;31/08/2013
473;51;3 355;1 502;7 136;10 171;8 091;30/09/2013
597;0;1 886;1 990;2 459;13 158;10 251;31/10/2013
234;653;5 416;1 809;829;14 164;7 943;30/11/2013
392;1 732;18 030;2 158;738;6 456;9 717;31/12/2013
262;896;31 985;1 497;244;3 800;10 964;31/01/2014
532;1 653;24 845;2 060;1 281;2 225;10 681;28/02/2014
249;1 087;23 265;2 058;1 379;5 870;10 772;31/03/2014
424;1 299;8 298;2 935;1 093;417;13 277;30/04/2014
418;1 360;8 150;1 680;1 070;2 921;18 469;31/05/2014
400;861;9 180;2 072;478;6 880;12 016;30/06/2014
329;693;4 170;1 904;173;4 627;11 399;31/07/2014
238;714;3 579;2 353;368;5 785;10 980;31/08/2014
332;651;6 926;2 737;6 920;8 765;9 925;30/09/2014
247;609;9 560;2 476;4 627;14 574;9 305;31/10/2014
306;984;7 905;1 977;2 218;11 936;7 679;30/11/2014
343;998;17 255;1 416;1 590;10 813;7 782;31/12/2014
260;483;27 792;2 191;585;3 525;424;31/01/2015
274;417;23 955;864;65;2676;2 161;28/02/2015
290;977;24 968;2704;0;2745;11 460;31/03/2015
289;336;13 227;2780;1 250;2072;13 120;30/04/2015
425;0;12 085;2 362;780;8444;3 539;31/05/2015
354;567;3 175;2866;360;1824;1 868;30/06/2015
152;16;6 350;1691;0;3207;3 954;31/07/2015
396;567;4 288;2202;4 485;5400;10 752;31/08/2015
65;756;3 595;2497;6 717;12011;13 546;30/09/2015
178;879;3 970;2006;5 041;21523;13 426;31/10/2015
205;798;12 440;1344;3 085;10907;10 337;30/11/2015
353;567;23 200;1467;1 321;8524;8 135;31/12/2015
353;751;51 464;1 549;911;3 185;8 992;31/01/2016
338;819;41 335;1 926;1 300;4 695;7 091;29/02/2016
229;924;15 866;2 071;985;3 096;5 876;31/03/2016
243;757;4 175;1 172;295;3 066;11 085;30/04/2016
310;830;7 530;2 305;595;6 804;7 776;31/05/2016
371;1357;3 029;1928;445;3820;5 909;30/06/2016
259;462;2 426;1629;1 111;1445;7 102;31/07/2016
282;504;2 879;2154;6 284;2491;6 663;31/08/2016
240;378;3 399;2224;5 310;7366;4 730;30/09/2016
229;968;5 839;2501;3 289;15942;3 629;31/10/2016
383;1199;10 502;2719;2 144;16652;4 602;30/11/2016
314;781;30 936;1665;352;8957;5 493;31/12/2016
317;1 289;50 207;2 100;983;4 727;6 136;31/01/2017
348;1070;38 031;1 729;541;3 342;9 092;28/02/2017
309;1535;22 187;2 369;1 150;6 128;11 546;31/03/2017
182;1718;4 678;2 518;770;20;5 680;30/04/2017
253;1 233;5 112;1 444;600;2 088;5 680;31/05/2017
190;1108;2 260;1877;260;6002;30 710;30/06/2017
190;269;1 912;994;1 475;4798;10 837;31/07/2017
464;1018;2 298;1017;5 394;5564;8 382;31/08/2017
198;384;4 144;796;4 235;8775;9 360;30/09/2017
236;1479;5 214;1273;2 516;23383;9 204;31/10/2017
328;1153;11 502;780;2 242;17970;7 954;30/11/2017
242;1614;30 402;1036;723;6685;7 195;31/12/2017
262;1287;48 600;854;1 215;4315;4 286;31/01/2018
276;500;46 412;1168;1 645;0;2 091;28/02/2018
300;1364;24 401;1221;955;500;302;31/03/2018
230;1441;5 783;776;1 120;1777;5 146;30/04/2018
312;1729;4 347;1761;845;5169;14 759;31/05/2018
350;1306;2 690;1380;225;2950;9 064;30/06/2018
183;1019;2 050;0;240;2530;9 405;31/07/2018
257;691;1 573;790;3 316;3038;7 112;31/08/2018
301;518;1 219;1891;5 205;10079;5 063;30/09/2018
114;1092;4 565;1271;2 471;25864;9 501;31/10/2018
239;2056;6 730;825;693;22734;0;30/11/2018
243;1253;35 502;550;2 371;3193;18 392;31/12/2018
232;1446;47 423;500;300;5039;6 316;31/01/2019
241;387;40 434;1043;810;8122;5 588;28/02/2019
208;1697;37 437;589;744;2050;9 954;31/03/2019
242;2155;7 305;1297;190;1110;10 479;30/04/2019
101;853;3 020;1397;0;3225;5 877;31/05/2019
219;1345;4 130;719;0;5118;3 303;30/06/2019
349;1780;3 000;1583;0;2072;3 693;31/07/2019
158;1564;2 590;789;0;4360;3 059;31/08/2019
168;699;3 105;1691;0;13189;7 220;30/09/2019
214;243;7 178;1856;2 203;24405;7 355;31/10/2019
231;1214;14 533;1691;3 249;16162;9 054;30/11/2019
366;34;31 792;1767;2 470;7890;10 268;31/12/2019
50;2 228;36 338;1 076;2 081;4 160;1 618;31/01/2020
188;919;27 361;1 310;751;3 418;9 672;28/02/2020
151;1 373;16 407;1 763;1 440;2 936;8 440;31/03/2020
12;0;7 357;1 761;60;1 140;7 149;30/04/2020
95;0;7 223;1 407;540;3 542;6 493;31/05/2020
129;0;3 274;890;360;7 338;7 200;30/06/2020
204;0;1 441;1 193;1 470;2 865;4 709;31/07/2020
187;0;39;1318;1030;1165;3922;31/08/2020
260;0;1390;631;750;3930;6365;30/09/2020
268;0;4137;1395;270;7616;1938;31/10/2020
;384;10813;366;1760;10599;790;30/11/2020
281;5154;33663;2132;1339;4603;2005;31/12/2020
