annee_scolaire;Ordre_CRE;Nom_CRE;Niveau_scolaire;Nb_classes_eleve
2021/2022;14;Gafsa;3ème année secondaire Sc.Techniques;22
2021/2022;14;Gafsa;3ème année secondaire Sc.Informatique;15
2021/2022;14;Gafsa;3ème année secondaire Economie et Gestion;27
2021/2022;14;Gafsa;3ème année secondaire Sport ;2
2021/2022;14;Gafsa;4ème année secondaire Lettres;54
2021/2022;14;Gafsa;4ème année secondaire Mathématiques;12
2021/2022;14;Gafsa;4ème année secondaire Sc. Expérimentales;54
2021/2022;14;Gafsa;4ème année secondaire Sc.Techniques;26
2021/2022;14;Gafsa;4ème année secondaire Sc.Informatique;15
2021/2022;14;Gafsa;4ème année secondaire Economie et Gestion;27
2021/2022;14;Gafsa;4ème année secondaire Sport ;3
2021/2022;15;Tozeur;7ème année de base;93
2021/2022;15;Tozeur;8ème année de base;69
2021/2022;15;Tozeur;9ème année de base;62
2021/2022;15;Tozeur;1ère année secondaire Tronc commun;61
2021/2022;15;Tozeur;1ère année secondaire Sport;2
2021/2022;15;Tozeur;2ème année secondaire Lettres;9
2021/2022;15;Tozeur;2ème année secondaire Sciences;24
2021/2022;15;Tozeur;2ème année secondaire Technologie informatique;7
2021/2022;15;Tozeur;2ème année secondaire Economie et services;11
2021/2022;15;Tozeur;2ème année secondaire Sport;2
2021/2022;15;Tozeur;3ème année secondaire Lettres;11
2021/2022;15;Tozeur;3ème année secondaire Mathématiques;3
2021/2022;15;Tozeur;3ème année secondaire Sc. Expérimentales;10
2021/2022;15;Tozeur;3ème année secondaire Sc.Techniques;8
2021/2022;15;Tozeur;3ème année secondaire Sc.Informatique;4
2021/2022;15;Tozeur;3ème année secondaire Economie et Gestion;16
2021/2022;15;Tozeur;3ème année secondaire Sport ;1
2021/2022;15;Tozeur;4ème année secondaire Lettres;14
2021/2022;15;Tozeur;4ème année secondaire Mathématiques;5
2021/2022;15;Tozeur;4ème année secondaire Sc. Expérimentales;14
2021/2022;15;Tozeur;4ème année secondaire Sc.Techniques;12
2021/2022;15;Tozeur;4ème année secondaire Sc.Informatique;4
2021/2022;15;Tozeur;4ème année secondaire Economie et Gestion;14
2021/2022;15;Tozeur;4ème année secondaire Sport ;2
2021/2022;16;Kébili;7ème année de base;139
2021/2022;16;Kébili;8ème année de base;103
2021/2022;16;Kébili;9ème année de base;93
2021/2022;16;Kébili;1ère année secondaire Tronc commun;81
2021/2022;16;Kébili;1ère année secondaire Sport;2
2021/2022;16;Kébili;2ème année secondaire Lettres;14
2021/2022;16;Kébili;2ème année secondaire Sciences;31
2021/2022;16;Kébili;2ème année secondaire Technologie informatique;8
2021/2022;16;Kébili;2ème année secondaire Economie et services;18
2021/2022;16;Kébili;2ème année secondaire Sport;1
2021/2022;16;Kébili;3ème année secondaire Lettres;11
2021/2022;16;Kébili;3ème année secondaire Mathématiques;4
2021/2022;16;Kébili;3ème année secondaire Sc. Expérimentales;18
2021/2022;16;Kébili;3ème année secondaire Sc.Techniques;10
2021/2022;16;Kébili;3ème année secondaire Sc.Informatique;5
2021/2022;16;Kébili;3ème année secondaire Economie et Gestion;20
2021/2022;16;Kébili;3ème année secondaire Sport ;1
2021/2022;16;Kébili;4ème année secondaire Lettres;15
2021/2022;16;Kébili;4ème année secondaire Mathématiques;5
2021/2022;16;Kébili;4ème année secondaire Sc. Expérimentales;20
2021/2022;16;Kébili;4ème année secondaire Sc.Techniques;12
2021/2022;16;Kébili;4ème année secondaire Sc.Informatique;4
2021/2022;16;Kébili;4ème année secondaire Economie et Gestion;22
2021/2022;16;Kébili;4ème année secondaire Sport ;2
2021/2022;17;Tataouine;7ème année de base;112
2021/2022;17;Tataouine;8ème année de base;86
2021/2022;17;Tataouine;9ème année de base;77
2021/2022;17;Tataouine;1ère année secondaire Tronc commun;72
2021/2022;17;Tataouine;1ère année secondaire Sport;1
2021/2022;17;Tataouine;2ème année secondaire Lettres;11
2021/2022;17;Tataouine;2ème année secondaire Sciences;24
2021/2022;17;Tataouine;2ème année secondaire Technologie informatique;10
2021/2022;17;Tataouine;2ème année secondaire Economie et services;18
2021/2022;17;Tataouine;2ème année secondaire Sport;0
2021/2022;17;Tataouine;3ème année secondaire Lettres;11
2021/2022;17;Tataouine;3ème année secondaire Mathématiques;2
2021/2022;17;Tataouine;3ème année secondaire Sc. Expérimentales;15
2021/2022;17;Tataouine;3ème année secondaire Sc.Techniques;10
2021/2022;17;Tataouine;3ème année secondaire Sc.Informatique;4
2021/2022;17;Tataouine;3ème année secondaire Economie et Gestion;23
2021/2022;17;Tataouine;3ème année secondaire Sport ;0
2021/2022;17;Tataouine;4ème année secondaire Lettres;14
2021/2022;17;Tataouine;4ème année secondaire Mathématiques;5
2021/2022;17;Tataouine;4ème année secondaire Sc. Expérimentales;20
2021/2022;17;Tataouine;4ème année secondaire Sc.Techniques;13
2021/2022;17;Tataouine;4ème année secondaire Sc.Informatique;4
2021/2022;17;Tataouine;4ème année secondaire Economie et Gestion;18
2021/2022;17;Tataouine;4ème année secondaire Sport ;0
2021/2022;18;Médenine;7ème année de base;355
2021/2022;18;Médenine;8ème année de base;257
2021/2022;18;Médenine;9ème année de base;233
2021/2022;18;Médenine;1ère année secondaire Tronc commun;215
2021/2022;18;Médenine;1ère année secondaire Sport;2
2021/2022;18;Médenine;2ème année secondaire Lettres;30
2021/2022;18;Médenine;2ème année secondaire Sciences;71
2021/2022;18;Médenine;2ème année secondaire Technologie informatique;34
2021/2022;18;Médenine;2ème année secondaire Economie et services;48
2021/2022;18;Médenine;2ème année secondaire Sport;2
2021/2022;18;Médenine;3ème année secondaire Lettres;32
2021/2022;18;Médenine;3ème année secondaire Mathématiques;15
2021/2022;18;Médenine;3ème année secondaire Sc. Expérimentales;39
2021/2022;18;Médenine;3ème année secondaire Sc.Techniques;22
2021/2022;18;Médenine;3ème année secondaire Sc.Informatique;24
2021/2022;18;Médenine;3ème année secondaire Economie et Gestion;63
2021/2022;18;Médenine;3ème année secondaire Sport ;1
2021/2022;18;Médenine;4ème année secondaire Lettres;37
2021/2022;18;Médenine;4ème année secondaire Mathématiques;19
2021/2022;18;Médenine;4ème année secondaire Sc. Expérimentales;47
2021/2022;18;Médenine;4ème année secondaire Sc.Techniques;23
2021/2022;18;Médenine;4ème année secondaire Sc.Informatique;18
2021/2022;18;Médenine;4ème année secondaire Economie et Gestion;53
2021/2022;18;Médenine;4ème année secondaire Sport ;2
2021/2022;19;Gabès;7ème année de base;270
2021/2022;19;Gabès;8ème année de base;214
2021/2022;19;Gabès;9ème année de base;188
2021/2022;19;Gabès;1ère année secondaire Tronc commun;180
2021/2022;19;Gabès;1ère année secondaire Sport;2
2021/2022;19;Gabès;2ème année secondaire Lettres;27
2021/2022;19;Gabès;2ème année secondaire Sciences;59
2021/2022;19;Gabès;2ème année secondaire Technologie informatique;18
2021/2022;19;Gabès;2ème année secondaire Economie et services;40
2021/2022;19;Gabès;2ème année secondaire Sport;2
2021/2022;19;Gabès;3ème année secondaire Lettres;28
2021/2022;19;Gabès;3ème année secondaire Mathématiques;15
2021/2022;19;Gabès;3ème année secondaire Sc. Expérimentales;32
2021/2022;19;Gabès;3ème année secondaire Sc.Techniques;26
2021/2022;19;Gabès;3ème année secondaire Sc.Informatique;10
2021/2022;19;Gabès;3ème année secondaire Economie et Gestion;50
2021/2022;19;Gabès;3ème année secondaire Sport ;1
2021/2022;19;Gabès;4ème année secondaire Lettres;34
2021/2022;19;Gabès;4ème année secondaire Mathématiques;16
2021/2022;19;Gabès;4ème année secondaire Sc. Expérimentales;37
2021/2022;19;Gabès;4ème année secondaire Sc.Techniques;30
2021/2022;19;Gabès;4ème année secondaire Sc.Informatique;9
2021/2022;19;Gabès;4ème année secondaire Economie et Gestion;47
2021/2022;19;Gabès;4ème année secondaire Sport ;2
2021/2022;20;Sfax 1;7ème année de base;341
2021/2022;20;Sfax 1;8ème année de base;256
2021/2022;20;Sfax 1;9ème année de base;226
2021/2022;20;Sfax 1;1ère année secondaire Tronc commun;242
2021/2022;20;Sfax 1;1ère année secondaire Sport;4
2021/2022;20;Sfax 1;2ème année secondaire Lettres;24
2021/2022;20;Sfax 1;2ème année secondaire Sciences;96
2021/2022;20;Sfax 1;2ème année secondaire Technologie informatique;17
2021/2022;20;Sfax 1;2ème année secondaire Economie et services;57
2021/2022;20;Sfax 1;2ème année secondaire Sport;5
2021/2022;20;Sfax 1;3ème année secondaire Lettres;22
2021/2022;20;Sfax 1;3ème année secondaire Mathématiques;27
2021/2022;20;Sfax 1;3ème année secondaire Sc. Expérimentales;46
2021/2022;20;Sfax 1;3ème année secondaire Sc.Techniques;30
2021/2022;20;Sfax 1;3ème année secondaire Sc.Informatique;9
2021/2022;20;Sfax 1;3ème année secondaire Economie et Gestion;65
2021/2022;20;Sfax 1;3ème année secondaire Sport ;4
2021/2022;20;Sfax 1;4ème année secondaire Lettres;30
2021/2022;20;Sfax 1;4ème année secondaire Mathématiques;31
2021/2022;20;Sfax 1;4ème année secondaire Sc. Expérimentales;44
2021/2022;20;Sfax 1;4ème année secondaire Sc.Techniques;31
2021/2022;20;Sfax 1;4ème année secondaire Sc.Informatique;5
2021/2022;20;Sfax 1;4ème année secondaire Economie et Gestion;67
2021/2022;20;Sfax 1;4ème année secondaire Sport ;4
2021/2022;21;Sfax 2;7ème année de base;312
2021/2022;21;Sfax 2;8ème année de base;230
2021/2022;21;Sfax 2;9ème année de base;198
2021/2022;21;Sfax 2;1ère année secondaire Tronc commun;169
2021/2022;21;Sfax 2;1ère année secondaire Sport;0
2021/2022;21;Sfax 2;2ème année secondaire Lettres;19
2021/2022;21;Sfax 2;2ème année secondaire Sciences;70
2021/2022;21;Sfax 2;2ème année secondaire Technologie informatique;11
2021/2022;21;Sfax 2;2ème année secondaire Economie et services;42
2021/2022;21;Sfax 2;2ème année secondaire Sport;0
2021/2022;21;Sfax 2;3ème année secondaire Lettres;18
2021/2022;21;Sfax 2;3ème année secondaire Mathématiques;18
2021/2022;21;Sfax 2;3ème année secondaire Sc. Expérimentales;29
2021/2022;21;Sfax 2;3ème année secondaire Sc.Techniques;19
2021/2022;21;Sfax 2;3ème année secondaire Sc.Informatique;4
2021/2022;21;Sfax 2;3ème année secondaire Economie et Gestion;49
2021/2022;21;Sfax 2;3ème année secondaire Sport ;0
2021/2022;21;Sfax 2;4ème année secondaire Lettres;20
2021/2022;21;Sfax 2;4ème année secondaire Mathématiques;19
2021/2022;21;Sfax 2;4ème année secondaire Sc. Expérimentales;35
2021/2022;21;Sfax 2;4ème année secondaire Sc.Techniques;17
2021/2022;21;Sfax 2;4ème année secondaire Sc.Informatique;4
2021/2022;21;Sfax 2;4ème année secondaire Economie et Gestion;45
2021/2022;21;Sfax 2;4ème année secondaire Sport ;0
2021/2022;22;Mahdia;7ème année de base;320
2021/2022;22;Mahdia;8ème année de base;227
2021/2022;22;Mahdia;9ème année de base;192
2021/2022;22;Mahdia;1ère année secondaire Tronc commun;190
2021/2022;22;Mahdia;1ère année secondaire Sport;3
2021/2022;22;Mahdia;2ème année secondaire Lettres;31
2021/2022;22;Mahdia;2ème année secondaire Sciences;60
2021/2022;22;Mahdia;2ème année secondaire Technologie informatique;13
2021/2022;22;Mahdia;2ème année secondaire Economie et services;42
2021/2022;22;Mahdia;2ème année secondaire Sport;3
2021/2022;22;Mahdia;3ème année secondaire Lettres;27
2021/2022;22;Mahdia;3ème année secondaire Mathématiques;13
2021/2022;22;Mahdia;3ème année secondaire Sc. Expérimentales;27
2021/2022;22;Mahdia;3ème année secondaire Sc.Techniques;20
2021/2022;22;Mahdia;3ème année secondaire Sc.Informatique;7
2021/2022;22;Mahdia;3ème année secondaire Economie et Gestion;47
2021/2022;22;Mahdia;3ème année secondaire Sport ;4
2021/2022;22;Mahdia;4ème année secondaire Lettres;31
2021/2022;22;Mahdia;4ème année secondaire Mathématiques;15
2021/2022;22;Mahdia;4ème année secondaire Sc. Expérimentales;28
2021/2022;22;Mahdia;4ème année secondaire Sc.Techniques;23
2021/2022;22;Mahdia;4ème année secondaire Sc.Informatique;9
2021/2022;22;Mahdia;4ème année secondaire Economie et Gestion;40
2021/2022;22;Mahdia;4ème année secondaire Sport ;3
2021/2022;23;Kairouan;7ème année de base;407
2021/2022;23;Kairouan;8ème année de base;296
2021/2022;23;Kairouan;9ème année de base;242
2021/2022;23;Kairouan;1ère année secondaire Tronc commun;231
2021/2022;23;Kairouan;1ère année secondaire Sport;2
2021/2022;23;Kairouan;2ème année secondaire Lettres;37
2021/2022;23;Kairouan;2ème année secondaire Sciences;70
2021/2022;23;Kairouan;2ème année secondaire Technologie informatique;20
2021/2022;23;Kairouan;2ème année secondaire Economie et services;60
2021/2022;23;Kairouan;2ème année secondaire Sport;2
2021/2022;23;Kairouan;3ème année secondaire Lettres;36
2021/2022;23;Kairouan;3ème année secondaire Mathématiques;17
2021/2022;23;Kairouan;3ème année secondaire Sc. Expérimentales;37
2021/2022;23;Kairouan;3ème année secondaire Sc.Techniques;22
2021/2022;23;Kairouan;3ème année secondaire Sc.Informatique;9
2021/2022;23;Kairouan;3ème année secondaire Economie et Gestion;71
2021/2022;23;Kairouan;3ème année secondaire Sport ;2
2021/2022;23;Kairouan;4ème année secondaire Lettres;50
2021/2022;23;Kairouan;4ème année secondaire Mathématiques;18
2021/2022;23;Kairouan;4ème année secondaire Sc. Expérimentales;44
2021/2022;23;Kairouan;4ème année secondaire Sc.Techniques;31
2021/2022;23;Kairouan;4ème année secondaire Sc.Informatique;11
2021/2022;23;Kairouan;4ème année secondaire Economie et Gestion;72
2021/2022;23;Kairouan;4ème année secondaire Sport ;4
2021/2022;24;Monastir;7ème année de base;421
2021/2022;24;Monastir;8ème année de base;323
2021/2022;24;Monastir;9ème année de base;272
2021/2022;24;Monastir;1ère année secondaire Tronc commun;279
2021/2022;24;Monastir;1ère année secondaire Sport;4
2021/2022;24;Monastir;2ème année secondaire Lettres;27
2021/2022;24;Monastir;2ème année secondaire Sciences;101
2021/2022;24;Monastir;2ème année secondaire Technologie informatique;37
2021/2022;24;Monastir;2ème année secondaire Economie et services;62
2021/2022;24;Monastir;2ème année secondaire Sport;5
2021/2022;24;Monastir;3ème année secondaire Lettres;26
2021/2022;24;Monastir;3ème année secondaire Mathématiques;30
2021/2022;24;Monastir;3ème année secondaire Sc. Expérimentales;41
2021/2022;24;Monastir;3ème année secondaire Sc.Techniques;40
2021/2022;24;Monastir;3ème année secondaire Sc.Informatique;23
2021/2022;24;Monastir;3ème année secondaire Economie et Gestion;75
2021/2022;24;Monastir;3ème année secondaire Sport ;4
2021/2022;24;Monastir;4ème année secondaire Lettres;32
2021/2022;24;Monastir;4ème année secondaire Mathématiques;26
2021/2022;24;Monastir;4ème année secondaire Sc. Expérimentales;48
2021/2022;24;Monastir;4ème année secondaire Sc.Techniques;46
2021/2022;24;Monastir;4ème année secondaire Sc.Informatique;18
2021/2022;24;Monastir;4ème année secondaire Economie et Gestion;76
2021/2022;24;Monastir;4ème année secondaire Sport ;4
2021/2022;25;Sousse;7ème année de base;477
2021/2022;25;Sousse;8ème année de base;362
2021/2022;25;Sousse;9ème année de base;301
2021/2022;25;Sousse;1ère année secondaire Tronc commun;293
2021/2022;25;Sousse;1ère année secondaire Sport;4
2021/2022;25;Sousse;2ème année secondaire Lettres;44
2021/2022;25;Sousse;2ème année secondaire Sciences;105
2021/2022;25;Sousse;2ème année secondaire Technologie informatique;25
2021/2022;25;Sousse;2ème année secondaire Economie et services;70
2021/2022;25;Sousse;2ème année secondaire Sport;4
2021/2022;25;Sousse;3ème année secondaire Lettres;40
2021/2022;25;Sousse;3ème année secondaire Mathématiques;28
2021/2022;25;Sousse;3ème année secondaire Sc. Expérimentales;46
2021/2022;25;Sousse;3ème année secondaire Sc.Techniques;43
2021/2022;25;Sousse;3ème année secondaire Sc.Informatique;12
2021/2022;25;Sousse;3ème année secondaire Economie et Gestion;80
2021/2022;25;Sousse;3ème année secondaire Sport ;4
2021/2022;25;Sousse;4ème année secondaire Lettres;51
2021/2022;25;Sousse;4ème année secondaire Mathématiques;25
2021/2022;25;Sousse;4ème année secondaire Sc. Expérimentales;49
2021/2022;25;Sousse;4ème année secondaire Sc.Techniques;48
2021/2022;25;Sousse;4ème année secondaire Sc.Informatique;10
2021/2022;25;Sousse;4ème année secondaire Economie et Gestion;76
2021/2022;25;Sousse;4ème année secondaire Sport ;4
2021/2022;26;Nabeul;7ème année de base;515
2021/2022;26;Nabeul;8ème année de base;380
2021/2022;26;Nabeul;9ème année de base;324
2021/2022;26;Nabeul;1ère année secondaire Tronc commun;290
2021/2022;26;Nabeul;1ère année secondaire Sport;1
2021/2022;26;Nabeul;2ème année secondaire Lettres;48
2021/2022;26;Nabeul;2ème année secondaire Sciences;92
2021/2022;26;Nabeul;2ème année secondaire Technologie informatique;43
2021/2022;26;Nabeul;2ème année secondaire Economie et services;61
2021/2022;26;Nabeul;2ème année secondaire Sport;3
2021/2022;26;Nabeul;3ème année secondaire Lettres;39
2021/2022;26;Nabeul;3ème année secondaire Mathématiques;29
2021/2022;26;Nabeul;3ème année secondaire Sc. Expérimentales;44
2021/2022;26;Nabeul;3ème année secondaire Sc.Techniques;28
2021/2022;26;Nabeul;3ème année secondaire Sc.Informatique;30
2021/2022;26;Nabeul;3ème année secondaire Economie et Gestion;75
2021/2022;26;Nabeul;3ème année secondaire Sport ;1
2021/2022;26;Nabeul;4ème année secondaire Lettres;48
2021/2022;26;Nabeul;4ème année secondaire Mathématiques;30
2021/2022;26;Nabeul;4ème année secondaire Sc. Expérimentales;51
2021/2022;26;Nabeul;4ème année secondaire Sc.Techniques;36
2021/2022;26;Nabeul;4ème année secondaire Sc.Informatique;28
2021/2022;26;Nabeul;4ème année secondaire Economie et Gestion;85
2021/2022;26;Nabeul;4ème année secondaire Sport ;1
2021/2022;1;Tunis 1;8ème année technique;9
2021/2022;1;Tunis 1;9ème année technique;9
2021/2022;2;Tunis 2;8ème année technique;2
2021/2022;2;Tunis 2;9ème année technique;2
2021/2022;3;Ariana;8ème année technique;9
2021/2022;3;Ariana;9ème année technique;6
2021/2022;4;Mannouba;8ème année technique;7
2021/2022;4;Mannouba;9ème année technique;5
2021/2022;5;Ben Arous;8ème année technique;10
2021/2022;5;Ben Arous;9ème année technique;8
2021/2022;6;Zaghouan;8ème année technique;2
2021/2022;6;Zaghouan;9ème année technique;3
2021/2022;7;Bizerte;8ème année technique;9
2021/2022;7;Bizerte;9ème année technique;13
2021/2022;8;Béja;8ème année technique;9
2021/2022;8;Béja;9ème année technique;8
2021/2022;9;Jendouba;8ème année technique;2
2021/2022;9;Jendouba;9ème année technique;2
2021/2022;10;Siliana;8ème année technique;3
2021/2022;10;Siliana;9ème année technique;3
2021/2022;11;Le Kef;8ème année technique;2
2021/2022;11;Le Kef;9ème année technique;1
2021/2022;12;Kasserine;8ème année technique;2
2021/2022;12;Kasserine;9ème année technique;2
2021/2022;13;Sidi Bouzid;8ème année technique;7
2021/2022;13;Sidi Bouzid;9ème année technique;7
2021/2022;14;Gafsa;8ème année technique;5
2021/2022;14;Gafsa;9ème année technique;5
2021/2022;15;Tozeur;8ème année technique;2
2021/2022;15;Tozeur;9ème année technique;2
2021/2022;16;Kébili;8ème année technique;6
2021/2022;16;Kébili;9ème année technique;6
2021/2022;17;Tataouine;8ème année technique;4
2021/2022;17;Tataouine;9ème année technique;3
2021/2022;18;Médenine;8ème année technique;11
2021/2022;18;Médenine;9ème année technique;8
2021/2022;19;Gabès;8ème année technique;15
2021/2022;19;Gabès;9ème année technique;15
2021/2022;20;Sfax 1;8ème année technique;9
2021/2022;20;Sfax 1;9ème année technique;12
2021/2022;21;Sfax 2;8ème année technique;3
2021/2022;21;Sfax 2;9ème année technique;3
2021/2022;22;Mahdia;8ème année technique;12
2021/2022;22;Mahdia;9ème année technique;10
2021/2022;23;Kairouan;8ème année technique;11
2021/2022;23;Kairouan;9ème année technique;8
2021/2022;24;Monastir;8ème année technique;11
2021/2022;24;Monastir;9ème année technique;10
2021/2022;25;Sousse;8ème année technique;21
2021/2022;25;Sousse;9ème année technique;15
2021/2022;26;Nabeul;8ème année technique;19
2021/2022;26;Nabeul;9ème année technique;13
