Nom,Nbre_cadres,Nbre_agents,Nbre_ouvriers,Nbre_animateurs,Nbre_ouvriers_vacataires
Commissariat ben Arous,10,3,4,2,0
Bibliotheques,40,26,38,1,0
Maisons_de_la_culture,8,6,12,25,0
Conservatoire regional de la Musique et de la Danse,7,2,1,1,4
Centre des Arts dramatiques et Sceniques,1,0,0,0,0
Galerie des Arts de ben Arous,1,0,1,0,0
Centre des Arts vivants de Rades,1,0,3,0,2
