Association,Projet,Sub-Directe-2017,Sub-indirecte-2017,Sub-Directe-2018,Sub-indirecte-2018,Sub-Directe-2019,Sub-indirecte-2019,Sub-Directe-2020,Sub-indirecte-2020
الجمعية الثقافية لبلدية أريانة ,سهرة اللباس التقليدي ,0,2500.000,0,1200.000,0,0,0,0
,عيد الورد,0,24800.000,12000.000,3200.000,0,0,0,0
,مهرجان سيدي عمار للإنشاد الروحي,0,8000.000,0,9500.000,0,5700.000,0,0
,المهرجان الصيفي,0,10000.000,0,11350.000,0,3000.000,0,0
جمعية فنون للتنشيط الثقافي باريانة ,مهرجان المسرح العالمي للأطفال ,10000.000,0,12000.000,0,3000.000,0,5000.000,0
,ملتقى الجمعيات ,0,0,2000.000,0,0,0,0,0
,مهرجان نسمات أندلسية ,0,0,0,0,12000.000,33050.000,0,0
جمعية أحباء المكتبة المعلوماتية باريانة ,سلسلة منتدى الفكر التونسي ,8000.000,0,8000.000,0,0,0,0,0
,البرمجة الثقافية السنوية للمؤسسة ,10000.000,0,10000.000,0,0,0,0,0
,سلسلة مسالك الإبداع ,0,0,3000.000,0,0,0,0,0
الجمعية التونسية للألعاب والرياضات التراثية ,الملتقى الدولي للألعاب والرياضات التراثية ,15000.000,0,0,0,0,0,0,0
,ألمبياد الألعاب التراثية للمؤسسات الثقافية ,0,0,5000.000,0,8000.000,0,0,0
جمعية مكتريس للفروسية والمحافظة على التراث بالمنيهلة ,الملتقى الوطني للفرسان الأطفال والشبان بالمنيهلة ,5000.000,0,2000.000,0,5000.000,0,0,0
جمعية باك للفن المعاصر بسيدي ثابت ,المعرض السنوي للفن المعاصر والورشات التكوينية للأطفال ,6000.000,0,0,0,0,0,0,0
الجمعية الوطنية للإبداع الثقافي بالتضامن ,تظاهرة عيشة بنينة في تونس الحنينة ,5000.000,0,0,0,0,0,0,0
جمعية اريانة الورد ,إنتخاب ملكة جمال ورد أريانة ,2000.000,1000.000,0,1400.000,0,1500.000,0,0
الجمعية الثقافية بقلعة الأندلس ,مهرجان خميس الحنافي للموسيقى التونسية ,7000.000,7000.000,0,0,0,0,0,0
,تظاهرة الفراشية القلعية ,3000.000,0,0,0,0,0,0,0
,المهرجان الصيفي ,0,7800.000,10000.000,0,0,0,0,0
,تظاهرة ثقافة وإمتاع ترفيه وإبداع ,3000.000,0,0,0,0,0,0,0
,تظاهرة بلاعنف حياتنا أجمل ,3000.000,0,0,0,0,0,0,0
,المهرجان الوطني لمسرح الطفل ,0,0,3000.000,5700.000,0,0,0,0
,تظاهرة مخيم الكتاب ,0,0,4000.000,0,0,0,0,0
جمعية أحباء المكتبة العمومية بالتضامن ,البرمجة السنوية للمكتبة والمكتبة المتجولة ,5000.000,0,0,0,0,0,0,0
,تظاهرة أريانة تتفنن ,0,0,0,0,20000.000,11100.000,0,5000.000
جمعية أحباء المنطقة الخضراء بالمنزه السادس ,عيد الموسيقى ,0,8000.000,0,0,0,0,0,0
,تظاهرة جنينة وفن ,0,0,0,0,0,0,0,5000.000
جمعية المهرجان الصيفي بسكرة ,المهرجان الصيفي بسكرة ,0,9500.000,11000.000,1000.000,0,8300.000,0,0
,الأيام الوطنية للفنون التشكيلية ,0,0,0,0,5000.000,0,3500.000,0
جمعية سيدي ثابت للثقافة والمهرجان ,المهرجان الصيفي بسيدي ثابت ,0,11000.000,0,0,0,8200.000,0,0
,تظاهرة شارع الفنون ,0,0,2000.000,0,4400.000,0,0,0
,مهرجان الخيول العربية الأصيلية بسيدي ثابت ,0,0,1500.000,7950.000,0,0,0,0
جمعية المهرجان الصيفي بالمنيهلة ,المهرجان الصيفي بالمنيهلة ,5500.000,10400.000,0,11500.000,0,8500.000,0,0
,ليالي رمضان ,0,0,0,0,0,3700.000,0,0
جمعية صوتنا برواد ,المهرجان الصيفي بواد ,0,10100.000,0,0,0,0,0,0
جمعية روافد الثقافية بالتضامن ,المهرجان الصيفي بالتضامن ,0,11400.000,0,17700.000,0,0,0,0
جمعية ألق الثقافية برواد ,الندوة الوطنية حول القصة القصيرة بتونس ,6000.000,0,4500.000,0,12000.000,0,0,0
,تظاهرة منتزه الشعر برواد ,0,0,10000.000,0,0,0,0,0
جمعية الياسمين للثقافة والبيئة ,مهرجان النسرح المدرسي البيئي بأريانة ,1400.000,0,0,0,0,0,0,0
جمعية تواصل للأدب ,ملتقى تواصل للشعرااء الشبان باريانة ,0,0,0,1500.000,0,0,0,0
دمعية معابر للتثاقف المغاربي ,صالون معابر للقراءة والكتاب ,0,0,0,600.000,0,0,0,0
جمعية أولياء ومربون بسيدي ثابت ,المهرجان الصيفي بسيدي ثابت ,0,0,0,11500.000,0,0,0,0
جمعية مبددعي دار الثقافة المنيهلة ,الإحتفالل بعيد الثورة ,0,0,0,0,0,8500.000,0,0
,البرنامج السنوي لدار الثقافة ,0,0,0,0,11000.000,0,0,0
,مهرجان التسوق التراثي ,0,0,0,0,6200.000,0,0,0
,أيام العزف المنفرد للهواة بالمنيهلة ,0,0,0,0,5000.000,0,6500.000,3000.000
,مهرجان الطيب الوسلاتي للمسرح ,0,0,0,0,4300.000,0,7300.000,0
