Date;Production de pétrole brut (ktep-pci);condensat;Production GPL Champs;GPL  Gabes;Production de gaz naturel;Redevance gaz algérien;Electricité primaire;Total
2010-01;337.87;2.29;2.47;8.07;226.17;125.74;1.53;704.15
2010-02;304.35;1.98;2.61;7.3;220.59;111.55;1.43;649.82
2010-03;330.87;2.71;6.42;8.74;250.2;121.11;1.43;721.47
2010-04;323.07;2.91;2.46;9.51;237.96;91.9;1.15;668.97
2010-05;315.47;3.54;13.52;10.29;224.1;81.59;1.73;650.23
2010-06;321.8;3.23;9.73;9.62;240.93;83.71;1.52;670.54
2010-07;332.18;3.64;12.06;10.95;251.55;94.62;1.43;706.44
2010-08;330.28;3.54;12.35;8.63;251.01;66.16;1.28;673.23
2010-09;316.34;3.12;9.21;8.74;238.05;89.82;1.19;666.47
2010-10;293.76;3.02;2.8;9.18;197.1;95.77;1.03;602.66
2010-11;277.71;2.6;3.36;8.85;187.65;98.54;1.13;579.84
2010-12;270.32;2.71;3.47;9.18;202.53;114.3;1.35;603.85
2011-01;262.9;2.39;3.05;8.96;194.76;116.27;0.86;589.18
2011-02;246.72;2.19;2.9;8.07;169.47;102.48;1.16;532.99
2011-03;291.7;2.6;5.43;8.63;222.57;132.17;1.23;664.33
2011-04;288.36;2.6;13.78;7.63;226.44;61.19;1.45;601.46
2011-05;299.49;2.71;15.78;7.08;227.1;85.52;1.32;638.99
2011-06;286.97;2.81;15.12;6.53;226.77;91.2;1.49;630.89
2011-07;265.64;2.6;11.73;6.86;262.62;74.15;1.34;624.94
2011-08;303.09;2.91;18.88;7.19;258.15;60.76;1.03;652.01
2011-09;277.64;2.39;14.88;7.08;229.74;62.38;1.15;595.27
2011-10;273.16;2.81;14.85;7.08;228.87;55.17;1.29;583.23
2011-11;244.57;1.98;4.44;6.86;173.25;54.88;0.77;486.74
2011-12;248.89;1.98;3.25;7.41;175.56;63.28;0.92;501.28
2012-01;251.33;2.08;2.85;8.18;177.3;107.47;1.19;550.42
2012-02;268.93;1.98;14.31;7.85;216.27;108.13;3.02;620.5
2012-03;275.97;2.5;12.17;8.52;188.77;89.85;2.7;580.47
2012-04;266.2;1.77;16.72;6.75;188.27;92.67;3.39;575.76
2012-05;252.86;0.94;16.61;2.77;226.57;82.25;2.1;584.08
2012-06;270.04;1.98;17.92;6.75;225.35;68.43;2.03;592.5
2012-07;273.2;2.81;18.61;7.52;228.58;67.68;2.33;600.73
2012-08;274.94;3.64;8.88;8.74;202.75;43.81;1.83;544.59
2012-09;270.29;3.02;6.29;7.52;210.65;36.72;2.7;537.2
2012-10;282.45;2.71;11.99;7.52;216.5;54.93;2.13;578.24
2012-11;274.58;2.5;16.53;9.84;212.19;73.15;1;589.79
2012-12;286.93;2.08;18.41;4.87;221.73;99.28;1.88;635.18
2013-01;276.98;1.98;16.78;6.97;214.22;100.8;1.59;619.31
2013-02;236.56;1.67;16.36;6.45;188.21;82.41;2.44;534.09
2013-03;265.51;2.56;19.51;7.71;218.64;71.84;2.9;588.66
2013-04;265.51;2.57;18.01;7.42;221.88;27.27;2.37;545.04
2013-05;251.37;2.83;18.78;7.57;223.13;26.63;3.45;533.75
2013-06;234.1;2.98;17.73;7.24;187.33;25.02;4.1;478.5
2013-07;228.77;3.06;15.73;7.39;216.64;32.19;2.61;506.39
2013-08;246.49;3.39;18.52;7.77;224.05;22.23;2.85;525.31
2013-09;235.42;3.13;16.65;7.63;209.31;16.8;2.41;491.35
2013-10;235.11;3.1;17.71;7.93;218.32;50.69;3.69;536.56
2013-11;213.12;2.42;11.73;7.11;182.18;50.3;4.35;471.2
2013-12;232.94;2.17;18.18;7.29;206.31;52.47;3.18;522.53
2014-01;233.14;2.13;17.48;7.12;209.29;40.11;4.07;513.33
2014-02;219.54;2.12;16.55;7.05;193.97;32.9;4.47;476.61
2014-03;236.52;2.46;18.06;7.8;204.19;24.35;4.6;497.98
2014-04;220.1;2.71;17.92;7.76;199.69;34.82;3.52;486.52
2014-05;198.99;3.05;3.44;7.89;136.47;36.63;3.86;390.33
2014-06;213.39;2.68;13.24;7.13;183.88;23.12;3.46;446.91
2014-07;228.06;2.71;17.22;7.51;209.94;17.89;4.82;488.15
2014-08;225.29;2.61;17.11;7.31;211.98;19.23;4.02;487.56
2014-09;195.45;2.67;9.55;7.09;165.69;21.78;3.35;405.57
2014-10;216.34;2.48;17.19;7.11;205.29;6.88;2.9;458.18
2014-11;208.75;2.12;15.87;6.73;183.93;20.73;3.72;441.86
2014-12;212.79;1.57;13.73;5.81;197.11;20.62;5.62;457.25
2015-01;217.19;1.63;13.14;5.82;198.06;34.22;5.23;475.28
2015-02;194.36;1.3;10.2;4.09;171.3;18.55;5.44;405.24
2015-03;209.3;1.9;11.5;5.89;176.3;18.33;5.4;428.63
2015-04;205.35;2.21;10.8;6.33;169.63;29.04;3.69;427.05
2015-05;207.51;2.41;13.26;6.42;195.08;29.91;3.82;458.41
2015-06;186.02;2.12;13.07;5.26;185.27;28.49;3.49;423.72
2015-07;187.14;2.28;13.45;5.71;186.78;30.88;2.87;429.1
2015-08;193.19;3.07;14.79;7.16;205.17;24.74;2.43;450.55
2015-09;182.07;2.93;13.59;6.81;192;21.25;3.3;421.95
2015-10;168.53;1.37;8.16;3.41;164.62;29.26;3.22;378.57
