gov_name_f,gov_id,nb artiste,subvention
Tunis,11,79,279641
Ariana,12,1,10000
Ben Arous,13,11,61157
Manubah,14,1,4000
Nabeul,15,5,28500
Zaghouan,16,,
Bizerte,17,,
Béja,21,1,4000
Jendouba,22,1,4000
Le Kef,23,4,18500
Siliana,24,2,3200
Sousse,31,1,10525
Monastir,32,2,15473
Mahdia,33,3,12000
Sfax,34,1,8974
Kairouan,41,3,18473
Kassérine,42,6,19947
Sidi Bou Zid,43,2,7700
Gabès,51,2,9993
Médenine,52,1,4000
Tataouine,53,3,19263
Gafsa,61,2,9000
Tozeur,62,2,11289
Kebili,63,,
