Categorie_2021;Grade ;Situation_professionnelle ;Nombre 
Cadre ;A1;Titulaire ;60
Cadre ;A1;D‚tache ;1
Cadre ;A2;Titulaire ;46
Cadre ;A2;D‚tache ;1
Cadre ;A2;Stagiaire;2
Cadre ;A3;Titulaire ;16
Agent ;B;Titulaire ;12
Agent ;C;Titulaire ;7
Agent ;D;Titulaire ;3
Ouvrier ;Cat‚gorie 3;Titulaire ;2
Ouvrier ;Cat‚gorie 4;Titulaire ;10
Ouvrier ;Cat‚gorie 5;Titulaire ;12
Ouvrier ;Cat‚gorie 6;Titulaire ;5
Ouvrier ;Cat‚gorie 7;Titulaire ;4
Ouvrier ;Cat‚gorie 8;Titulaire ;2
Ouvrier ;Cat‚gorie9;Titulaire ;1
Ouvrier ;Cat‚gorie 10;Titulaire ;2
