Nom_Site_musée,Nbre_visiteurs _ Tunisiens_Maghrébins,Nbre_visiteurs_Étrangers
Borj Hammamet,7673,13904
Musée de Nabeul ,768,805
Site Neapolis  ,263,199
Pupput Hammamet,232,456
Borj Kelibia ,12710,5438
Musée et Site de Kairkouane ,4202,6779
