Site-et-Musee,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre,Total
Bardo,2495,1817,605,0,0,0,0,236,956,398,23,35,6565
Musée Carthage,1126,946,326,0,0,0,32,440,1421,598,23,11,4923
Thermes d'Antonin,2038,1654,816,0,0,0,59,373,520,578,0,28,6066
Villas Romaines,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphthéatrede Carthage,16,0,2,0,0,0,0,0,0,63,0,0,81
Tophet Salambo,427,274,97,0,0,0,0,10,0,96,0,0,904
Musée Paléo_chritien,0,0,0,0,0,0,0,0,0,0,0,0,0
Théatre Romain,6,0,0,0,0,0,0,0,0,0,0,0,6
Kairouan,2615,1703,683,0,0,0,30,27,129,69,0,18,5274
Mosquée Okba,0,0,0,0,0,0,0,0,0,0,0,0,0
Abou Zooma,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée El Jem,150,111,74,0,0,0,0,31,0,0,0,0,366
Collisée El Jem,3415,2546,1101,0,0,0,93,689,1732,1078,13,156,10823
Musée de Sousse,100,231,93,0,0,0,0,0,0,0,0,0,424
musée bourguiba,4,8,0,0,0,0,0,0,0,0,0,0,12
Fort Hammamet,58,31,28,0,0,0,0,0,0,0,0,0,117
Oudhna,139,161,0,0,0,129,0,17,57,28,0,0,531
Ribat de Sousse,170,198,44,0,0,0,0,0,0,0,0,0,412
Ribat Monastir,164,213,131,0,0,0,0,14,68,0,0,18,608
Kerkouene,765,531,221,0,0,0,0,0,28,58,0,41,1644
Sbeitla,509,288,151,0,0,0,0,0,0,0,0,0,948
Thuburbo Majus,182,121,132,0,0,0,0,0,0,0,0,0,435
Bulla Regia  ,86,84,64,0,0,0,0,0,0,0,0,0,234
Dougga,1043,781,327,0,0,0,0,0,0,0,0,0,2151
Makthar,2,0,22,0,0,0,0,0,0,0,0,0,24
Utique,0,2,0,0,0,42,0,0,0,0,0,0,44
Mus.Patri.Trad.Jerba ,111,112,55,0,0,0,0,0,124,110,0,0,512
Chimtou ,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée de Zarzis,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée Nabeul,0,0,13,0,0,0,0,0,0,0,0,0,13
Borj Mahdia,59,37,29,0,0,0,0,0,0,0,0,0,125
BGM Jerba,111,92,55,0,0,0,0,0,136,125,0,0,519
Haouaria ,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort  de Kélibia,260,187,100,0,0,0,0,0,0,58,0,41,646
Musée Mahdia,0,0,0,0,0,0,0,0,0,0,0,0,0
Dar ben abdallah,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée ezzitouna,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée fadhloun,0,0,0,0,0,0,0,0,0,0,0,0,0
A T P Monastir,2,0,0,0,0,0,0,0,0,0,0,0,2
Musée de Gafsa,0,0,0,0,0,0,0,0,0,0,0,0,0
Pupput Hammamet,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée Archéol.Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kasbah de Sfax,8,12,0,0,0,0,0,0,0,0,0,0,20
Gightis,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP Gabés,0,0,0,0,0,0,0,0,0,0,0,0,0
Salacta,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée Moknine,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfidha (fermé),0,0,0,0,0,0,0,0,0,0,0,0,0
Kef,0,22,0,0,0,0,0,0,0,0,0,0,22
Lamta,0,0,0,0,0,0,0,0,0,0,0,0,0
Raqqada,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Catacombes ,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée de Sousse,2,15,0,0,0,0,0,0,0,0,0,0,17
Sidi khalifa,0,0,0,0,0,0,0,0,0,0,0,0,0
Douz,0,12,12,0,0,0,0,0,0,0,0,0,24
Escargotieres Gafsa,0,0,0,0,0,0,0,0,0,0,0,0,0
Néapolis,0,20,13,0,0,0,0,0,0,0,0,0,33
