Nom_Site_musée,Nbre_visiteurs _ Tunisiens_Maghrébins,Nbre_visiteurs_Étrangers
Borj Hammamet,4254,7356
Musée de Nabeul ,384,555
Site Neapolis  ,180,181
Pupput Hammamet,85,299
Borj Kelibia ,9016,4240
Musée et Site sz Kairkouane ,2355,4226
