Nom,Enfants_F,Enfants_G,Jeunes_F,Jeunes_G,Adultes_F,Adultes_G,Total
Bibliothèque public de TAZERKA ,208,142,79,26,14,6,475
Bibliothèque public de el HAOURIA  ,17,38,40,35,9,20,159
Bibliothèque public de BENI KHIAR,273,141,73,16,8,4,515
Bibliothèque public de AZMOUR ,80,66,36,5,3,3,193
Bibliothèque public de HAMAM ELGZAZ ,148,93,12,3,4,2,262
Bibliothèque public de BENI KHALED ,118,56,153,44,9,9,389
Bibliothèque public de OM THWIL,29,24,1,1,1,0,56
Bibliothèque public de DAR CHAABAN ELFEHRI ,239,148,211,94,8,2,702
Bibliothèque public de HAMMAMET ,53,33,197,99,12,8,402
Bibliothèque public de KELIBIA place de la jeunesse ,284,129,108,27,21,24,593
Bibliothèque public de MAAMOURA ,174,101,69,21,10,3,378
Bibliothèque public de MENZEL BOUZELFA ,238,90,333,110,0,2,773
Bibliothèque public de GROMBALIA ,146,103,417,130,22,16,834
Bibliothèque public de ZAWIT JDIDI ,96,68,44,10,6,2,226
Bibliothèque public de DAR ALOUCH ,119,103,10,7,5,2,246
Bibliothèque public de MENZEL HOR ,112,54,27,13,0,1,207
Bibliothèque public de BOUARGOUB ,64,38,124,41,12,10,289
Bibliothèque public de SOLIMAN ,95,61,128,41,11,7,343
Bibliothèque public de MENZEL TEMIM ,105,59,328,88,15,9,604
Bibliothèque public de MIDA ,191,106,33,7,10,9,356
Bibliothèque public de SOMAA ,108,77,28,11,3,3,230
Bibliothèque public de TAKELSSA ,100,91,36,5,2,3,237
Bibliothèque public de KELIBIA CITE RIADH ,43,31,25,33,11,10,153
Bibliothèque public de KORBA ,258,183,238,63,24,14,780
Bibliothèque public régional de NABEUL,312,248,800,314,59,46,1779
Bibliothèque ambulante  de NABEUL (01),0,0,0,0,0,0,0
Bibliothèque ambulante  de NABEUL (02),478,316,90,73,40,28,1025
