NOMBRE ,COMMISARIAT,BIBLIOTHEQUES,MAISON_DE_CULTURE,CONSERVATOIRE,CADS,LES_ANIMATEURS,CONTRACTUELLES
NOMBRE_DE_CADRE ,14,46,19,1,2,10,4
NOMBRE_DE_AGENTS,2,23,9,1,1,6,1
NOMBRE_DOUVRIERS,10,51,33,12,0,0,0
NOMBRE_DES_AIDES_URBAINS,1,5,3,1,1,0,0
NOMBRE_OUVRIERS_VACATAIRES,0,0,0,1,2,0,0
