"Code","Nom","Adresse","Gouvernorat","Délégation"
"1592","XXX","RESIDENCE SELMA - AVENUE HEDI NOUIRA - ROUTE DE MORNAG - MEDIDA JEDIDA III","BEN AROUS","MEDINA JEDIDA"
"1679","XXX","ROUTE DE MORNAG - YASMINET, KM 7 - NOUVELLE MEDINA","BEN AROUS","MEDINA JEDIDA"
"1946","XXX","RUE AHMED CHAOUKI N°24","BEN AROUS","MEDINA JEDIDA"
"2143","XXX","CENTRE COMMERCIAL RESIDENCE NOUR EL MEDINA","BEN AROUS","MEDINA JEDIDA"
"2151","XXX","REZ DE CHAUSSEE DE LA RESIDENCE ""LINA"" N°B4- ROUTE DE MORNAG KM 7","BEN AROUS","MEDINA JEDIDA"
"2319","XXX","RESIDENCE AWATEF N 6 - AVENUE DE LA REPUBLIQUE - LA NOUVELLE MEDINA 3 - BEN AROUS","BEN AROUS","MEDINA JEDIDA"
"2413","XXX","63 AVENUE FAYçEL IBN ABDELAZIZ - NOUVELLE MEDINA - BEN AROUS","BEN AROUS","MEDINA JEDIDA"
"2474","XXX","07 RUE DU CAIRE - RESIDENCE INES - NOUVELLE MEDINA 3 - NOUVELLE MEDINA - BEN AROUS","BEN AROUS","MEDINA JEDIDA"
"2528","XXX","RUE ABOBAKER SADIK - EL YASSMINAT - BORJ GHORBEL - NOUVELLE MEDINA - BEN AROUS","BEN AROUS","MEDINA JEDIDA"
" 192","XXX","29 AVENUE FARHAT HACHED SIDI REZIG MEGRINE","BEN AROUS","MEGRINE"
" 198","XXX","AVENUE HABIB BOURGUIBA No 1 SIDI RZIG MEGRINE","BEN AROUS","MEGRINE"
" 202","XXX","12 RUE JENDOUBA MEGRINE","BEN AROUS","MEGRINE"
" 225","XXX","ANGLE AVENUE AHMED TLILI ET RUE EL MEDINA MOUNAOURA MEGRINE","BEN AROUS","MEGRINE"
" 226","XXX","62 AVENUE HABIB BOURGUIBA MEGRINE","BEN AROUS","MEGRINE"
" 233","XXX","RUE AHMED TELILI No 12 CITE JAOUHARA MEGRINE","BEN AROUS","MEGRINE"
" 248","XXX","31 BIS AVENUE HABIB BOURGUIBA MEGRINE","BEN AROUS","MEGRINE"
" 253","XXX","44 ROUTE SOUSSE GP1-KM 5- MEGRINE ERRIADH","BEN AROUS","MEGRINE"
" 191","XXX","AVENUE HABIB BOURGUIBA CEBALA DE MORNAG","BEN AROUS","MORNAG"
" 213","XXX","ZAOUIET MORNAG RTE MOYENNE N° 35 MORNAG","BEN AROUS","MORNAG"
" 239","XXX","RUE MONGI SLIM MORNAG","BEN AROUS","MORNAG"
" 240","XXX","RUE HASSEN HOSNI ABDELWAHEB","BEN AROUS","MORNAG"
" 268","XXX","RUE FARHAT HACHED N 1","BEN AROUS","MORNAG"
"1737","XXX","21 bis rue farhat hached","BEN AROUS","MORNAG"
"1952","XXX","CROISEMENT AVENUE HABIB BOURGUIBA ET AVENUE MONGI SLIM - KHELIDIA - MORNAG","BEN AROUS","MORNAG"
"1968","XXX","CITE ESSALEM - IMADAT ESSALEME","BEN AROUS","MORNAG"
"2375","XXX","48 RUE PALESTINE - CITE DES JARDINS - MORNAG","BEN AROUS","MORNAG"
" 209","XXX","RUE DE LA GARE","BEN AROUS","RADES"
" 212","XXX","2 RUE DE LA CONSTITUTION","BEN AROUS","RADES"
" 216","XXX","113 AVENUE DE LA REPUBLIQUE RADES","BEN AROUS","RADES"
" 217","XXX","40 av habib bourguiba - rades","BEN AROUS","RADES"
" 228","XXX","avenue de la republique N°2 - RADES","BEN AROUS","RADES"
" 236","XXX","12 AVENUE HABIB BOURGUIBA RADES","BEN AROUS","RADES"
" 238","XXX","IMMEUBLE ""THE BLUE CENTER"" C02, AVENUE MED ALI - RADES - BEN AROUS","BEN AROUS","RADES"
" 249","XXX","54 AVENUE FARHAT HACHED RADES","BEN AROUS","RADES"
" 259","XXX","AVENUE MOHAMED ALI RADES","BEN AROUS","RADES"
" 270","XXX","AVENUE DE LA REPUBLIQUE - RADES","BEN AROUS","RADES"
"1662","XXX","2, AVENUE TAIEB M'HIRI","BEN AROUS","RADES"
"1796","XXX","152 avenue habib bourguiba- rades - ben arous","BEN AROUS","RADES"
"2148","XXX","RESIDENCE DIAR ESSOUROUR -RUE MONGI SLIM N°2","BEN AROUS","RADES"
"2192","XXX","10 AVENUE FARHAT HACHED","BEN AROUS","RADES"
"2200","XXX","AV. TAIEB EL MIHIRI N°15","BEN AROUS","RADES"
"2258","XXX","RUE ZARZIS N°28 - RADES MELIANE","BEN AROUS","RADES"
"2301","XXX","IMMEUBLE LES PALMIERS N 34 - AVENUE KHEIREDDINE - RADES","BEN AROUS","RADES"
"2421","XXX","13 RUE EL OUADI - RADES MELIANE - BEN AROUS","BEN AROUS","RADES"
"2506","XXX","AVENUE WISSAL - CITE TAIEB MHIRI 3 - RADES","BEN AROUS","RADES"
"2527","XXX","16 RUE GROMBALIA - RADES MELIANE - BEN AROUS","BEN AROUS","RADES"
" 103","XXX","RUE du 1er MAI Immeuble 22 - BIZERTE NORD","BIZERTE","BIZERTE NORD"
" 104","XXX","9,RUE TAIEB MHIRI","BIZERTE","BIZERTE NORD"
" 106","XXX","LOTISSEMENT NEMRI - ROUTE DE LA CORNICHE - BIZERTE","BIZERTE","BIZERTE NORD"
" 107","XXX","ANGLE DE LA PLACE HAMDID SEDKAOUI ET DU QUAI KHEMAIES TARNENE","BIZERTE","BIZERTE NORD"
" 113","XXX","7,RUE CHEIKH DRISS","BIZERTE","BIZERTE NORD"
" 117","XXX","18,AVENUE D'ALGERIE","BIZERTE","BIZERTE NORD"
" 118","XXX","1BIS,SQUARE MOHAMED BEJAOUI","BIZERTE","BIZERTE NORD"
" 119","XXX","33,RUE HABIB THAMEUR","BIZERTE","BIZERTE NORD"
" 120","XXX","106,BOULEVARD HASSEN NOURI","BIZERTE","BIZERTE NORD"
" 121","XXX","AVENUE EL AMIR ABDELKADER N°2 AIN MARIAM - EL BOUHAIRA","BIZERTE","BIZERTE NORD"
" 123","XXX","108 avenue habib bourguiba - bizerte","BIZERTE","BIZERTE NORD"
" 132","XXX","CARREFOUR SIDI SALEM QUARTIER DES ANDALOUS","BIZERTE","BIZERTE NORD"
" 137","XXX","AVENUE FARHAT HACHED","BIZERTE","BIZERTE NORD"
" 140","XXX","31,RUE TAHAR SFAR","BIZERTE","BIZERTE NORD"
" 155","XXX","21,RUE IBN KHALDOUN","BIZERTE","BIZERTE NORD"
" 156","XXX","RUE BORJ ECHORCH EL ANDALOUS","BIZERTE","BIZERTE NORD"
" 158","XXX","AVENUE TAIEB MHIRI","BIZERTE","BIZERTE NORD"
" 161","XXX","RUE AHMED TLILI","BIZERTE","BIZERTE NORD"
"1469","XXX","AVENUE 7 NOVEMBRE N° 121","BIZERTE","BIZERTE NORD"
"1540","XXX","19 AVENUE EL AMIR ABDELKADER","BIZERTE","BIZERTE NORD"
"2137","XXX","AVENUE ALI NOURI N_510 - ROUTE KORNICHE","BIZERTE","BIZERTE NORD"
"2180","XXX","AVENUE 14 JANVIER N°161N- BIZERTE NORD","BIZERTE","BIZERTE NORD"
"2250","XXX","IMMEUBLE HIPPODIARRHYTUS","BIZERTE","BIZERTE NORD"
"2404","XXX","RUE AIN MARIEM - SIDI SALEM - OUED HARAGA - PRES HABOURIA - BIZERTE NORD - BIZERTE","BIZERTE","BIZERTE NORD"
" 153","XXX","BIZERTE SUD","BIZERTE","BIZERTE SUD"
"1622","XXX","CITE ESSANAWBAR - ROUTE MENZEL BOURGUIBA - BIZERTE SUD - BIZERTE","BIZERTE","BIZERTE SUD"
"1803","XXX","ANGLE ROUTE MENZEL BOURGUIBA ET 7 NOVEMBRE - CITE EL JALA","BIZERTE","BIZERTE SUD"
"1945","XXX","ROUTE PRINCIPALE N°11 - CARREFOUR BENI NAFAA - IMADT SIDI AHMED","BIZERTE","BIZERTE SUD"
"2066","XXX","IMADAT LOUATA","BIZERTE","BIZERTE SUD"
" 127","XXX","avenue habib bourguiba- el alia","BIZERTE","EL ALIA"
" 142","XXX","AVENUE HABIB BOURGUIBA EL ALIA","BIZERTE","EL ALIA"
"1483","XXX","AVENUE FARHAT HACHED","BIZERTE","EL ALIA"
"1553","XXX","khetmine -route de bizerte","BIZERTE","EL ALIA"
"2025","XXX","AVENUE DE LA REPUBLIQUE","BIZERTE","EL ALIA"
" 143","XXX","AVENUE HABIB BOURGUIBA AOUSJA GHAR EL MELH","BIZERTE","GHAR EL MELH"
" 151","XXX","AVENUE HABIB BOURGUIBA GHAR EL MELH","BIZERTE","GHAR EL MELH"
"1872","XXX","ROUTE PRINCIPALE DE ZOUAOUINE - IMADAT ZOUAOUINE","BIZERTE","GHAR EL MELH"
"1370","XXX","ROUTE DE TABARKA KM 75 GHEZALA","BIZERTE","GHEZALA"
"1855","XXX","NOUVELLE CITE - GHAZALA","BIZERTE","GHEZALA"
" 149","XXX","100 RUE HASSEN MATTALI - ZARZOUNA - BIZERTE","BIZERTE","JARZOUNA"
"1658","XXX","RUE 9 AVRIL - CITE OUVRIERE - JARZOUNA","BIZERTE","JARZOUNA"
" 160","XXX","BEZINA _ JOUMINE","BIZERTE","JOUMINE"
"1814","XXX","ROUTE REGIONALE 126 - BAZINA","BIZERTE","JOUMINE"
" 101","XXX","RUE D'ALGERIE","BIZERTE","MATEUR"
" 131","XXX","MATEUR","BIZERTE","MATEUR"
" 133","XXX","274 RUE ALI BELHOUENE MATEUR","BIZERTE","MATEUR"
" 134","XXX","AVENUE HABIB BOURGUIBA N°229 MATEUR - BIZERTE","BIZERTE","MATEUR"
" 136","XXX","LA GARE DU SUD","BIZERTE","MATEUR"
" 141","XXX","158,AVENUE HABIB BOURGUIBA MATEUR","BIZERTE","MATEUR"
"2359","XXX","PLACE DE TUNIS - MATEUR","BIZERTE","MATEUR"
"2472","XXX","TERRAIN DE L'AGENCE FONCIERE - CITE OMRANE 2 - ROUTE TABARKA - MATEUR - BIZERTE","BIZERTE","MATEUR"
" 102","XXX","15,RUE ALFRED DE MUSSET","BIZERTE","MENZEL BOURGUIBA"
" 105","XXX","AVENUE 3 AOUT 1903","BIZERTE","MENZEL BOURGUIBA"
" 112","XXX","31,AVENUE HEDI CHAKER","BIZERTE","MENZEL BOURGUIBA"
" 114","XXX","17 BIS AVENUE HEDI SAIDI - MENZEL BOURGUIBA - BIZERTE","BIZERTE","MENZEL BOURGUIBA"
" 115","XXX","1 RESIDENCE EZZAHRA - ANGLE AVENUE DE L'INDEPENDANCE ET RUE DE SOUSSE - MENZEL BOURGUIBA - BIZERTE","BIZERTE","MENZEL BOURGUIBA"
" 126","XXX","RUE HEDI CHAKER N°1","BIZERTE","MENZEL BOURGUIBA"
" 128","XXX","RUE D'ALGERIE N°3 - MENZEL BOURGUIBA BIZERTE","BIZERTE","MENZEL BOURGUIBA"
" 135","XXX","AVENUE FARHAT HACHED No 46 BIS","BIZERTE","MENZEL BOURGUIBA"
" 138","XXX","avenue hedi chaker n69","BIZERTE","MENZEL BOURGUIBA"
" 145","XXX","PLACE DE L'INDEPENDANCE N° 23","BIZERTE","MENZEL BOURGUIBA"
" 150","XXX","20, RUE TAIEB MHIRI","BIZERTE","MENZEL BOURGUIBA"
" 152","XXX","RUE DESTOUR MENZEL BOURGUIBA","BIZERTE","MENZEL BOURGUIBA"
"1351","XXX","av.hedi chaker - menzel bourguiba","BIZERTE","MENZEL BOURGUIBA"
"1927","XXX","OM EL HENI - IMADAT GHABTENA 2   - MENZEL BOURGUIBA","BIZERTE","MENZEL BOURGUIBA"
"2128","XXX","5 RUE KHEIREDDINE","BIZERTE","MENZEL BOURGUIBA"
"2152","XXX","ANGLE RUE MONGI SLIM ET RUE IBN ROCHD","BIZERTE","MENZEL BOURGUIBA"
"2419","XXX","110 AVENUE DE PALESTINE - MENZEL BOURGUIBA - BIZERTE","BIZERTE","MENZEL BOURGUIBA"
" 108","XXX","8,AVENUE HABIB BOURGUIBA MENZEL ABDERRAHMEN","BIZERTE","MENZEL JEMIL"
" 124","XXX","3,AVENUE IBN KHALDOUN","BIZERTE","MENZEL JEMIL"
" 144","XXX","AVENUE HABIB BOURGUIBA","BIZERTE","MENZEL JEMIL"
" 147","XXX","8,AVENUE HABIB BOURGUIBA","BIZERTE","MENZEL JEMIL"
"1417","XXX","AVENUE 7 NOVEMBRE","BIZERTE","MENZEL JEMIL"
"1620","XXX","AVENUE 7 NOVEMBRE - MENZEL JEMIL - BIZERTE","BIZERTE","MENZEL JEMIL"
"1866","XXX","AL MASAKEN CHAABIA - ROUTE EL ALIA - IMADAT EL AZIB - MENZEL JEMIL","BIZERTE","MENZEL JEMIL"
" 111","XXX","RAS JEBEL","BIZERTE","RAS JEBEL"
" 116","XXX","50,AVENUE ALI BAHLOUENE - RAS JBEL - BIZERTE","BIZERTE","RAS JEBEL"
" 129","XXX","AVENUE HABIB BOURGUIBA MELTINE","BIZERTE","RAS JEBEL"
" 139","XXX","AVENUE HABIB BOURGUIBA RAFRAF","BIZERTE","RAS JEBEL"
" 146","XXX","AVENUE HABIB BOURGUIBA","BIZERTE","RAS JEBEL"
" 159","XXX","43,AVENUE 7 NOVEMBRE","BIZERTE","RAS JEBEL"
"1743","XXX","77 AV. HABIB BOUGATFA","BIZERTE","RAS JEBEL"
"2525","XXX","AVENUE HABIB BOURGUIBA - RAFRAF - RAS JEBEL - BIZERTE","BIZERTE","RAS JEBEL"
" 125","XXX","CITE COMMERCIALE - AVENUE HABIB BOURGUIBA N 12 - SEJNANE - BIZERTE","BIZERTE","SEJNANE"
"1605","XXX","AVENUE HASSEN EL HADDAD - PRES DE LA GARDE NATIONALE .","BIZERTE","SEJNANE"
"1898","XXX","AVENUE HABIB BOURGUIBA","BIZERTE","SEJNANE"
"1976","XXX","tamra- imadat shabna- sejnane - bizerte","BIZERTE","SEJNANE"
"2190","XXX","EL BLAKET - COMMUNE EL HACHECHNA","BIZERTE","SEJNANE"
" 130","XXX","3, AVENUE HABIB BOURGUIBA TINJA","BIZERTE","TINJA"
" 148","XXX","ANGLE AVENUE HABIB BOURGUIBA ET RTE DE BIZERTE TINJA","BIZERTE","TINJA"
" 449","XXX","avenue habib bourguiba","BIZERTE","TINJA"
"1884","XXX","JARDIN 7 NOVEMBRE - ZEHANA","BIZERTE","UTIQUE"
"2237","XXX","ROUTE NATIONALE N°20","GABES","DKHILET TOUJANE"
" 294","XXX","118,AVENUE HABIB BOURGUIBA","GABES","EL HAMMA"
" 305","XXX","03 AVENUE ALI BELHOUENE","GABES","EL HAMMA"
" 331","XXX","avenue 7 novembre  n°2","GABES","EL HAMMA"
"1446","XXX","157 AVENUE HABIB BOURGUIBA","GABES","EL HAMMA"
"1515","XXX","avenue habib bourguiba - immeuble ""farhati""","GABES","EL HAMMA"
"2508","XXX","AVENUE DE L'ENVIRONNEMENT - EL HAMMA - GABES","GABES","EL HAMMA"
"1387","XXX","avenue habib bourguiba - route de kebili 0.5 - el hamma","GABES","EL HAMMA OUEST"
"1934","XXX","SOMBAT N°23 - IMADAT HABIB THAMEUR","GABES","EL HAMMA OUEST"
" 295","XXX","10,BIS AVENUE MONGI SLIM","GABES","GABES MEDINA (EST)"
" 297","XXX","103-105-107,BOULEVARD MOHAMED ALI","GABES","GABES MEDINA (EST)"
" 300","XXX","AVENUE MOHAMED ALI No 197 BIS","GABES","GABES MEDINA (EST)"
" 301","XXX","Angle rue mongi slim n°17 et Rue Mongi Bali n°45
Gabes","GABES","GABES MEDINA (EST)"
" 302","XXX","225,AVENUE HABIB BOURGUIBA","GABES","GABES MEDINA (EST)"
" 303","XXX","170,AVENUE DE LA REPUBLIQUE","GABES","GABES MEDINA (EST)"
" 304","XXX","145,AVENUE MOHAMED ALI","GABES","GABES MEDINA (EST)"
" 307","XXX","52,AVENUE JAMEL ABDENNACEUR","GABES","GABES MEDINA (EST)"
" 310","XXX","AVENUE MOHAMED ALI","GABES","GABES MEDINA (EST)"
" 312","XXX","234,AVENUE MOHAMED ALI","GABES","GABES MEDINA (EST)"
" 313","XXX","AVENUE DE LA REPUBLIQUE - EL MENZEL","GABES","GABES MEDINA (EST)"
" 314","XXX","52,RUE ALI JEMEL","GABES","GABES MEDINA (EST)"
" 321","XXX","RUE MOHAMED DAGHBAGI","GABES","GABES MEDINA (EST)"
" 322","XXX","86 AVENUE HABIB BOURGUIBA","GABES","GABES MEDINA (EST)"
" 323","XXX","AVENUE JAMEL ABDENNACEUR GABES EST","GABES","GABES MEDINA (EST)"
" 324","XXX","AVENUE FARHAT HACHED N°96","GABES","GABES MEDINA (EST)"
" 325","XXX","RUE 9 AVRIL","GABES","GABES MEDINA (EST)"
" 326","XXX","GABES EST","GABES","GABES MEDINA (EST)"
" 327","XXX","AVENUE HABIB BOURGUIBA","GABES","GABES MEDINA (EST)"
" 328","XXX","250,AVENUE FARHAT HACHED","GABES","GABES MEDINA (EST)"
" 311","XXX","AVENUE HABIB BOURGUIBA - CHENINI","GABES","GABES OUEST"
" 320","XXX","AVENUE HABIB BOURGUIBA CHENINI","GABES","GABES OUEST"
" 330","XXX","AVENUE HABIB BOURGUIBA BOUCHAMA  GABES","GABES","GABES OUEST"
"1347","XXX","14 AVENUE HABIB BOURGUIBA BOUCHEMA GABES","GABES","GABES OUEST"
"1642","XXX","AVENUE HABIB BOURGUIBA - CHENINI- GABES OUEST -GABES","GABES","GABES OUEST"
"2087","XXX","GP1 - BOUCHAMA","GABES","GABES OUEST"
" 308","XXX","av abou kacem chebbi - face steg","GABES","GABES SUD"
" 316","XXX","RUE IBN KHALDOUN EN FACE DE L'HOPITAL REGIONAL GABES","GABES","GABES SUD"
" 318","XXX","AVENUE SALAH EDDINE EL AYOUBI","GABES","GABES SUD"
" 319","XXX","CITE EL MANARA RTE DE MEDNINE","GABES","GABES SUD"
"1593","XXX","AVENUE OMAR IBN EL KHATTAB - CITE EL AMAL","GABES","GABES SUD"
"1809","XXX","AVENUE ABOU EL KACEM EL CHABBI - CITE EL MANARA","GABES","GABES SUD"
"2198","XXX","AVENUE ABOU KACEM CHEBBI- COMMUNE TEBOULBOU","GABES","GABES SUD"
"2393","XXX","AVENUE ABOU KACEM CHEBBI - TEBOULBOU - GABES SUD - GABES","GABES","GABES SUD"
" 309","XXX","AVENUE TAIEB MHIRI","GABES","GHANNOUCH"
" 333","XXX","AVENUE HABIB BOURGUIBA","GABES","GHANNOUCH"
"1354","XXX","RUE MONGI GHANNOUCH GABES","GABES","GHANNOUCH"
"2138","XXX","AVENUE DE LA LIBERTE N_621","GABES","GHANNOUCH"
" 296","XXX","STATION ERRIADH","GABES","MARETH"
" 315","XXX","RUE JAMEL ABDENNACEUR","GABES","MARETH"
" 332","XXX","ROUTE GP1 KETTANA MARETH","GABES","MARETH"
"1509","XXX","AVENUE 27 OCTOBRE FACE GARDE FRONTIERE","GABES","MARETH"
"1899","XXX","ROUTE DE MEDENINE - IMADAT ARRAM","GABES","MARETH"
"1947","XXX","AVENUE 7 NOVEMBRE - ZARRAT","GABES","MARETH"
"2390","XXX","RUE 27 OCTOBRE (EN FACE DE LA GARE DE TRANSPORT) - MARETH - GABES","GABES","MARETH"
"1686","XXX","AVENUE HABIB BOURGUIBA","GABES","MATMATA"
" 306","XXX","AVENUE HABIB BOURGUIBA","GABES","MATMATA JADIDA"
"1514","XXX","ROUTE PRINCIPALE","GABES","MENZEL HABIB"
"1512","XXX","AVENUE HABIB BOURGUIBA N° 166","GABES","METOUIA"
"2147","XXX","AVENUE HABIB BOURGUIBA","GABES","METOUIA"
" 298","XXX","14 AVENUE DE LA REPUBLIQUE - OUEDHREF - GABES","GABES","OUEDHREF"
"1392","XXX","AVENUE DE LA REPUBLIQUE N°80 -OUEDHREF","GABES","OUEDHREF"
"1705","XXX","ROUTE GP 15","GAFSA","BEL KHIR"
" 337","XXX","AVENUE DES MARTYRS ROUTE DE GABES EL GUETAR","GAFSA","EL GUETAR"
" 343","XXX","42,RUE 7 NOVEMBRE","GAFSA","EL KSAR"
" 352","XXX","GAFSA GARE","GAFSA","EL KSAR"
"2005","XXX","ECHABIBA - IMADAT ERHIBA","GAFSA","GAFSA NORD"
" 336","XXX","N° 15 AVENUE DE LA REPUBLIQUE CITE ENNOUR GAFSA","GAFSA","GAFSA SUD"
" 338","XXX","51,RUE SIDI EL ARBI EL ASSALA","GAFSA","GAFSA SUD"
" 347","XXX","35,RUE MOHAMED KHADDOUMA","GAFSA","GAFSA SUD"
" 348","XXX","RUE DU MAROC HAY EL CHABAB","GAFSA","GAFSA SUD"
" 349","XXX","AVENUE IBN SINA N 4 - CITE DOUALI GAFSA SUD GAFSA","GAFSA","GAFSA SUD"
" 350","XXX","RUE MOHAMED KHADDOUMA","GAFSA","GAFSA SUD"
" 354","XXX","RUE IBN MANDHOUR - GAFSA","GAFSA","GAFSA SUD"
" 355","XXX","HAY ENNOUR","GAFSA","GAFSA SUD"
" 356","XXX","AVENUE TAIEB MIHIRI","GAFSA","GAFSA SUD"
" 357","XXX","MARCHE CENTRAL GAFSA","GAFSA","GAFSA SUD"
" 360","XXX","RUE ALI BELHAOUANE","GAFSA","GAFSA SUD"
" 361","XXX","57,RUE HOUCINE BOUZAIENE","GAFSA","GAFSA SUD"
"1412","XXX","RUE IBN KHALDOUN ET LA RUE MOETEZ -DOILY-","GAFSA","GAFSA SUD"
"1435","XXX","ROUTE DE FERIANA -","GAFSA","GAFSA SUD"
"1312","XXX","AVENUE SIDI BEN YACOUB-EL ASSALA","GAFSA","GAFSA SUD"
"1521","XXX","SIDI AHMED ZARROUK CITE EL AMAL EN FACE IMMEUBLE CNRPS","GAFSA","GAFSA SUD"
"1984","XXX","AVENUE IBN SINA N°64 - EDDOUALY","GAFSA","GAFSA SUD"
"2012","XXX","RUE IBN KHALDOUN N°9 - DOUALI","GAFSA","GAFSA SUD"
"2086","XXX","AVENUE JAMEL ABDENNASER","GAFSA","GAFSA SUD"
" 342","XXX","AVENUE HABIB BOURGUIBAA M'DHILA - GAFSA","GAFSA","M'DHILLA"
" 358","XXX","RUE AMOR BEN SLIMANE","GAFSA","M'DHILLA"
" 346","XXX","ROUTE DE GAFSA CITE LA MOSQUEE","GAFSA","METLAOUI"
" 351","XXX","CITE DU PRESIDENT - AVENUE HABIB BOUEGUIBA","GAFSA","METLAOUI"
"1491","XXX","CITE DU PRESIDENT N°2-RUE DE LA REPUBLIQUE","GAFSA","METLAOUI"
"1544","XXX","CITE EZZOUHOUR","GAFSA","METLAOUI"
"2366","XXX","CITE THELJA - METLAOUI - GAFSA","GAFSA","METLAOUI"
" 339","XXX","PRES DE LA MAISON DU PEUPLE","GAFSA","OUM LARAIES"
" 344","XXX","CITE OUVRIERE -ROUTE DE GAFSA","GAFSA","OUM LARAIES"
" 362","XXX","CITE MODERNE AVENUE FARHAT HACHED","GAFSA","OUM LARAIES"
" 345","XXX","AVENUE HABIB THAMEUR REDEYEF 2120","GAFSA","REDEYEF"
" 363","XXX","COMPLEXE IMMOBILIER - PROCHE DE LA PLACE DES MARTYRS","GAFSA","REDEYEF"
"1648","XXX","RUE FARHAT HACHED - REDEYEF","GAFSA","REDEYEF"
" 353","XXX","ROUTE PRINCIPALE DE LA CITE ENNAJAH","GAFSA","SENED"
"1842","XXX","avenue 7 novembre","GAFSA","SENED"
"2124","XXX","IMADAT ALIM","GAFSA","SENED"
"2268","XXX","SIDI BOUBAKER - GAFSA","GAFSA","SIDI BOUBAKER"
" 334","XXX","sidi yaich","GAFSA","SIDI YAICH"
"1931","XXX","ROUTE GP14 - IMADAT ZANNOUCH - DELEGATION SENED","GAFSA","ZANOUCH"
" 371","XXX","AVENUE HABIB BOURGUIBA","JENDOUBA","AIN DRAHEM"
"1543","XXX","AVENUE KHEMIR","JENDOUBA","AIN DRAHEM"
"1418","XXX","AVENUE DE L'environnement","JENDOUBA","BALTA BOUAOUAN"
"1671","XXX","BALTA","JENDOUBA","BALTA BOUAOUAN"
"1977","XXX","rue des orangers - cité snit - balta bouaouan - jendouba","JENDOUBA","BALTA BOUAOUAN"
" 368","XXX","8,AVENUE TAIEB MHIRI","JENDOUBA","BOUSALEM"
" 369","XXX","140,RUE 20 MARS","JENDOUBA","BOUSALEM"
" 375","XXX","L'ANGLE DE LA RUE DES JARDINS","JENDOUBA","BOUSALEM"
" 376","XXX","RUE DES JARDINS","JENDOUBA","BOUSALEM"
" 385","XXX","9,RUE DE LA POSTE","JENDOUBA","BOUSALEM"
"1542","XXX","RUE MONCEF BEY","JENDOUBA","BOUSALEM"
"1539","XXX","AVENUE HABIB BOURGUIBA - FERNANA","JENDOUBA","FERNANA"
"1688","XXX","AVENUE DE LA REPUBLIQUE","JENDOUBA","FERNANA"
"1828","XXX","RUE PALESTINE","JENDOUBA","FERNANA"
" 377","XXX","AVENUE HABIB BOURGUIBA N°15","JENDOUBA","GHARDIMAOU"
" 381","XXX","AVENUE HABIB BOURGUIBA N°1","JENDOUBA","GHARDIMAOU"
" 383","XXX","69 AVENUE HABIB BOURGUIBA","JENDOUBA","GHARDIMAOU"
" 387","XXX","AVENUE FARHAT HACHED ROUTE SOUK AHRAS","JENDOUBA","GHARDIMAOU"
"1971","XXX","werguich - imadat kalaat - ghardimaou - jendouba","JENDOUBA","GHARDIMAOU"
" 365","XXX","AVENUE HEDI CHAKER","JENDOUBA","JENDOUBA"
" 366","XXX","10,PLACE DE LA REPUBLIQUE","JENDOUBA","JENDOUBA"
" 367","XXX","RUE 9 AVRIL","JENDOUBA","JENDOUBA"
" 373","XXX","AVENUE HABIB BOURGUIBA N° 105","JENDOUBA","JENDOUBA"
" 374","XXX","83,RUE ALI BELHAOUENE","JENDOUBA","JENDOUBA"
" 380","XXX","39,AVENUE HABIB THAMEUR","JENDOUBA","JENDOUBA"
" 382","XXX","RUE SAKIET SIDI YOUSSEF","JENDOUBA","JENDOUBA"
" 386","XXX","5,RUE DE TUNIS","JENDOUBA","JENDOUBA"
" 388","XXX","AVENUE HABIB BOURGUIBA","JENDOUBA","JENDOUBA"
" 389","XXX","46 ,RUE DE TUNIS - JENDOUBA","JENDOUBA","JENDOUBA"
" 390","XXX","RUE D'ALGERIE","JENDOUBA","JENDOUBA"
"1930","XXX","ROUTE DE TUNIS - CROISEMENT AVENUE DE L'ENVIRONNEMENT CITE CHORFA - IMADAT MALGA","JENDOUBA","JENDOUBA"
"2039","XXX","CITE EL MOUROUJ - AVENUE DE L'ENVIRONNEMENT                                                                      IMADAT TATTAOUER","JENDOUBA","JENDOUBA"
" 384","XXX","CITE EL OUNS","JENDOUBA","JENDOUBA NORD"
"1566","XXX","AVENUE DU MAGHREB ARABE . ROUTE AIN DRAHEM","JENDOUBA","JENDOUBA NORD"
"1850","XXX","AVENUE DU MAGREB ARABE (RN 17) CITE INTIKALA","JENDOUBA","JENDOUBA NORD"
"2091","XXX","cite n_ 2 - imadat bella - rejia","JENDOUBA","JENDOUBA NORD"
" 378","XXX","avenue habib bourguiba, Oued Mliz- JENDOUBA
","JENDOUBA","OUED MELIZ"
" 364","XXX","APPARTEMENT N°14 RESIDENCE CORALISSE-AVENUE 7 NOVEMBRE","JENDOUBA","TABARKA"
" 372","XXX","50 AVENUE HABIB BOURGUIBA","JENDOUBA","TABARKA"
" 379","XXX","7 AVENUE MOHAMED ALI","JENDOUBA","TABARKA"
"1572","XXX","RUE DE LA CONSTITUTION N°25","JENDOUBA","TABARKA"
"1715","XXX","avenue de l'environnement","JENDOUBA","TABARKA"
"1750","XXX","CITE MORJAN GP7 - TABARKA - JENDOUBA","JENDOUBA","TABARKA"
"2003","XXX","route nationale n_7 croisement route de l'aÚroport RAS ERRAGEL","JENDOUBA","TABARKA"
"2394","XXX","27 TABARKA CENTER - TABARKA - JENDOUBA","JENDOUBA","TABARKA"
