"Code","Nom","Adresse","Gouvernorat","Délégation"
"  44","XXX","N°435 PLACE EL KODS","ARIANA","COMMUNE ARIANA"
"  46","XXX","66,AVENUE ALI BELHOUENE","ARIANA","COMMUNE ARIANA"
"  49","XXX","20,AVENUE DE CARTHAGE","ARIANA","COMMUNE ARIANA"
"  52","XXX","38,RUE DE LA LIBERTE EL MENZAH 6","ARIANA","COMMUNE ARIANA"
"  57","XXX","15,AVENUE MOUAOUIA IBN ABI SOUFIENE EL MENZAH 5","ARIANA","COMMUNE ARIANA"
"  64","XXX","3-4, AVENUE HEDI NOUIRA RESIDENCE PRIMAVERA ENASR 2
NOUVELLE ARIANA ARIANA","ARIANA","COMMUNE ARIANA"
"  65","XXX","35 AV. HABIB BOURGUIBA -","ARIANA","COMMUNE ARIANA"
"  67","XXX","RESIDENCE GHASSEN - AVENURE HEDI NOUIRA - ENNASR 2","ARIANA","COMMUNE ARIANA"
"  68","XXX","12.AVENUE AMMAR IBN YASSER-EL MENEAH6","ARIANA","COMMUNE ARIANA"
"  69","XXX","112 BIS AVENUE MOUAOUIA IBN ABI SOUFIANE EL MENZAH 7","ARIANA","COMMUNE ARIANA"
"  72","XXX","3,AVENUE TAIEB MHIRI","ARIANA","COMMUNE ARIANA"
"  78","XXX","41 RUE AHMED KHABTHANI (AVENUE EL KAHENA) NOUVELLE ARIANA","ARIANA","COMMUNE ARIANA"
"  80","XXX","27,RUE DE BEYROUT","ARIANA","COMMUNE ARIANA"
"  82","XXX","15,AVENUE TAIEB MHIRI","ARIANA","COMMUNE ARIANA"
"  83","XXX","IMMEUBLE NOUR EL HOUDA AVENUE HEDI NOUIRA N°54 ENNASR 2","ARIANA","COMMUNE ARIANA"
"  91","XXX","CENTRE COMMERCIAL "" EL MANAZAH"" - MENZAH 7","ARIANA","COMMUNE ARIANA"
"  96","XXX","AVENUE OTHMEN IBN AFFENE CITE ""LES EMERAUDES"" ENNASR I ARIANA","ARIANA","COMMUNE ARIANA"
"1775","XXX","avenue hédi nouira - cité ennasr 2","ARIANA","COMMUNE ARIANA"
"1820","XXX","AVENUE HEDI NOUIRA - RECIDENCE SARAYA B1 - CITE ENNASR 2","ARIANA","COMMUNE ARIANA"
"1894","XXX","RESIDENCE ROSAMISS - AVENUE MUSTAPHA HJAIEJ - ARIANA SUPERIEUR","ARIANA","COMMUNE ARIANA"
"1978","XXX","immeuble sana - résidence dalia 2 - route jaafar - ariana medina","ARIANA","COMMUNE ARIANA"
"1993","XXX","residence isis- avenue hedi nouira- ennasr2- ariana","ARIANA","COMMUNE ARIANA"
"2008","XXX","AVENUE OTHMAN IBN AFFEN - 48 BIS - EL MENZAH 8","ARIANA","COMMUNE ARIANA"
"2057","XXX","RESIDENCE ERRIADH N_3 AVENUE NOUVEL ERE - RIADH ENNASER","ARIANA","COMMUNE ARIANA"
"2116","XXX","avenue l'ere nouvelle n_125 - riadh ennasr 2","ARIANA","COMMUNE ARIANA"
"2215","XXX","RUE MOHAMED HEDI KHEFACHA N°1","ARIANA","COMMUNE ARIANA"
"2365","XXX","AVENUE IBN KHALDOUN RESIDENCE HAMZA N 80 - ARIANA","ARIANA","COMMUNE ARIANA"
"2513","XXX","47 RUE CHEIKH MOHAMED ELMHIRI ENNASR 1 - ARIANA","ARIANA","COMMUNE ARIANA"
"2520","XXX","118 AVENUE IBN KHALDOUN - RIADH ANDALOUS - ARIANA","ARIANA","COMMUNE ARIANA"
"  39","XXX","RTE DE BIZERTE KM 4","ARIANA","EL MNIHLA"
"  87","XXX","16,AVENUE IBN KHALDOUN","ARIANA","EL MNIHLA"
"  88","XXX","52,AVENUE IBN KHALDOUN","ARIANA","EL MNIHLA"
"1719","XXX"," ROUTE DE BIZERTE Km 5 - CITE ERRAFAHA  N° 467 -","ARIANA","EL MNIHLA"
"2040","XXX","RESIDENCE LES PALMIERS - JARDIN D4EL MENZAH 2","ARIANA","EL MNIHLA"
"2155","XXX","ROUTE CHINOUA - CITE DE LA REPUBLIQUE","ARIANA","EL MNIHLA"
"2293","XXX","RR 130 - KM 7 A COTE STATION DE SERVICE OIL LIBYA - ROUTE BIZERTE - EL MNIHLA","ARIANA","EL MNIHLA"
"2379","XXX","LOTISSEMENT DIAR EL HANA - LOT N 7 - JARDINS EL MENZAH 1- CITE ERRAFAHA - EL MNIHLA","ARIANA","EL MNIHLA"
"2426","XXX","IMMEUBLE AMDOUNI LOCAL N 04 - CROISEMENT AVENUE DES MARTYRS ET AVENUE TAIEB M'HIRI - CITE EL BASSATINE - EL MNIHLA - ARIANA
","ARIANA","EL MNIHLA"
"2460","XXX","83 AVENUE FARHAT HACHED - CITE DE LA REPUBLIQUE - EL MNIHLA  - ARIANA","ARIANA","EL MNIHLA"
"2487","XXX","RESIDENCE ENNASSIM AVENUE LES JASMINS JARDINS D'EL MENZAH 2 - EL MNIHLA","ARIANA","EL MNIHLA"
"   8","XXX","112 AVENUE HABIB BOURGUIBA","ARIANA","KALAAT ANDALOUS"
"  58","XXX","CENTRE COMMERCIAL CASINO DJION- TUNIS CITY - ENNAHLI - KALAAT EL ANDALOUS- ARIANA","ARIANA","KALAAT ANDALOUS"
"  62","XXX","RUE RAOUDHA","ARIANA","KALAAT ANDALOUS"
"2203","XXX","AV. DE MARTYRS HAMDA ISSAOUI - ROUTE DE LA PLAGE","ARIANA","KALAAT ANDALOUS"
"   7","XXX","RTE DE RAOUED KM 3","ARIANA","RAOUED"
"  13","XXX","41,AVENUE HABIB BOURGUIBA CITE LA GAZELLE","ARIANA","RAOUED"
"  45","XXX","ROUTE DE RAOUED BORJ TOUIL","ARIANA","RAOUED"
