ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
9B ( Barcelone vers Cité Thameur);06:10;aller;07:45;aller;hiver;;;;;;;;
9B;06:40;aller;08:45;aller;hiver;;;;;;;;
9B;07:10;aller;09:45;aller;hiver;;;;;;;;
9B;07:40;aller;10:45;aller;hiver;;;;;;;;
9B;08:10;aller;11:45;aller;hiver;;;;;;;;
9B;08:40;aller;12:45;aller;hiver;;;;;;;;
9B;09:10;aller;13:45;aller;hiver;;;;;;;;
9B;09:40;aller;14:45;aller;hiver;;;;;;;;
9B;10:10;aller;15:45;aller;hiver;;;;;;;;
9B;10:40;aller;16:45;aller;hiver;;;;;;;;
9B;11:10;aller;17:45;aller;hiver;;;;;;;;
9B;11:40;aller;18:45;aller;hiver;;;;;;;;
9B;12:10;aller;19:45;aller;hiver;;;;;;;;
9B;12:40;aller;20:45;aller;hiver;;;;;;;;
9B;13:10;aller;08:15;retour;hiver;;;;;;;;
9B;13:40;aller;09:15;retour;hiver;;;;;;;;
9B;14:10;aller;10:15;retour;hiver;;;;;;;;
9B;14:40;aller;11:15;retour;hiver;;;;;;;;
9B;15:10;aller;12:15;retour;hiver;;;;;;;;
9B;15:40;aller;13:15;retour;hiver;;;;;;;;
9B;16:10;aller;14:15;retour;hiver;;;;;;;;
9B;16:40;aller;15:15;retour;hiver;;;;;;;;
9B;17:10;aller;16:15;retour;hiver;;;;;;;;
9B;17:40;aller;17:15;retour;hiver;;;;;;;;
9B;18:10;aller;18:15;retour;hiver;;;;;;;;
9B;18:40;aller;19:15;retour;hiver;;;;;;;;
9B;19:10;aller;20:15;retour;hiver;;;;;;;;
9B;19:40;aller;;;hiver;;;;;;;;
9B;20:10;aller;;;hiver;;;;;;;;
9B;05:40;retour;;;hiver;;;;;;;;
9B;06:00;retour;;;hiver;;;;;;;;
9B;06:10;retour;;;hiver;;;;;;;;
9B;06:40;retour;;;hiver;;;;;;;;
9B;07:10;retour;;;hiver;;;;;;;;
9B;07:40;retour;;;hiver;;;;;;;;
9B;08:10;retour;;;hiver;;;;;;;;
9B;08:40;retour;;;hiver;;;;;;;;
9B;09:10;retour;;;hiver;;;;;;;;
9B;09:40;retour;;;hiver;;;;;;;;
9B;10:10;retour;;;hiver;;;;;;;;
9B;10:40;retour;;;hiver;;;;;;;;
9B;11:10;retour;;;hiver;;;;;;;;
9B;11:40;retour;;;hiver;;;;;;;;
9B;12:10;retour;;;hiver;;;;;;;;
9B;12:40;retour;;;hiver;;;;;;;;
9B;13:10;retour;;;hiver;;;;;;;;
9B;13:40;retour;;;hiver;;;;;;;;
9B;14:10;retour;;;hiver;;;;;;;;
9B;14:40;retour;;;hiver;;;;;;;;
9B;15:10;retour;;;hiver;;;;;;;;
9B;15:40;retour;;;hiver;;;;;;;;
9B;16:10;retour;;;hiver;;;;;;;;
9B;16:40;retour;;;hiver;;;;;;;;
9B;17:10;retour;;;hiver;;;;;;;;
9B;17:40;retour;;;hiver;;;;;;;;
9B;18:10;retour;;;hiver;;;;;;;;
9B;18:40;retour;;;hiver;;;;;;;;
9B;19:10;retour;;;hiver;;;;;;;;
9B;19:40;;;;hiver;;;;;;;;
10B (Avenue de Carthage vers Lycée Ibn Mandhour);06:20;aller;08:00;aller;hiver;;;;;;;;
10B;07:50;aller;09:30;aller;hiver;;;;;;;;
10B;09:20;aller;11:00;aller;hiver;;;;;;;;
10B;10:50;aller;12:30;aller;hiver;;;;;;;;
10B;12:20;aller;14:00;aller;hiver;;;;;;;;
10B;13:50;aller;15:30;aller;hiver;;;;;;;;
10B;15:20;aller;17:00;aller;hiver;;;;;;;;
10B;16:50;aller;18:30;aller;hiver;;;;;;;;
10B;18:20;aller;20:00;aller;hiver;;;;;;;;
10B;05:35;retour;07:15;retour;hiver;;;;;;;;
10B;07:05;retour;08:45;retour;hiver;;;;;;;;
10B;08:35;retour;10:15;retour;hiver;;;;;;;;
10B;10:05;retour;11:45;retour;hiver;;;;;;;;
10B;11:35;retour;13:15;retour;hiver;;;;;;;;
10B;13:05;retour;14:45;retour;hiver;;;;;;;;
10B;14:35;retour;16:15;retour;hiver;;;;;;;;
10B;16:05;retour;17:45;retour;hiver;;;;;;;;
10B;17:35;retour;19:15;retour;hiver;;;;;;;;
10C (Barcelone vers Hôpital Régional Ben Arous);08:15;aller;;;hiver;;;;;;;;
10C ;10:40;aller;;;hiver;;;;;;;;
10C ;13:00;aller;;;hiver;;;;;;;;
10C ;15:30;aller;;;hiver;;;;;;;;
10C ;18:00;aller;;;hiver;;;;;;;;
10C ;07:00;retour;;;hiver;;;;;;;;
10C ;09:30;retour;;;hiver;;;;;;;;
10C ;11:50;retour;;;hiver;;;;;;;;
10C ;14:15;retour;;;hiver;;;;;;;;
10C ;16:50;retour;;;hiver;;;;;;;;
17A(La Nouvelle Medina vers la Goulette);06:00;aller;05:50;aller;hiver;;;;;;;;
17A;06:50;aller;07:10;aller;hiver;;;;;;;;
17A;07:20;aller;08:30;aller;hiver;;;;;;;;
17A;08:30;aller;09:50;aller;hiver;;;;;;;;
17A;09:35;aller;11:10;aller;hiver;;;;;;;;
17A;10:25;aller;12:30;aller;hiver;;;;;;;;
17A;11:05;aller;13:50;aller;hiver;;;;;;;;
17A;12:05;aller;15:10;aller;hiver;;;;;;;;
17A;13:10;aller;16:30;aller;hiver;;;;;;;;
17A;13:50;aller;17:50;aller;hiver;;;;;;;;
17A;14:40;aller;05:10;retour;hiver;;;;;;;;
17A;15:30;aller;06:30;retour;hiver;;;;;;;;
17A;16:20;aller;07:50;retour;hiver;;;;;;;;
17A;17:10;aller;09:10;retour;hiver;;;;;;;;
17A;18:15;aller;10:30;retour;hiver;;;;;;;;
17A;18:50;aller;11:50;retour;hiver;;;;;;;;
17A;05:20;retour;13:10;retour;hiver;;;;;;;;
17A;06:00;retour;14:30;retour;hiver;;;;;;;;
17A;06:40;retour;15:50;retour;hiver;;;;;;;;
17A;07:40;retour;17:10;retour;hiver;;;;;;;;
