فئات مستفيدة من الأنشطة الثقافية,عدد الأنشطة
طفل ,636
الشباب واليافعين,513
الكهول,215
املناطق الريفية,33
ذوي االحتياجات الخاصة,56
املرأة,164
األحياء ذات الكثافة السكانية,92
مراكزرعاية املسنين,3
السجون واالصالحيات,2
أخرى,118
