gov_name_f,gov_name_a,gov_id,musee_name_a,musse_name_f,adresse_a,adresse_f,longitude,lattitude
Tunis,تونس,11,  جامع الزيتونة,Mosquee Ezzitouna,,,10.171205,36.797322
Tunis,تونس,11,  دار بن عبد الله (متحف العادات),Dar Ben Abdallah (Musee ATP) ,,,10.174208,36.793867
Tunis,تونس,11,  تربة الباي,Tourbet El Bey,,,10.17306,36.793656
Tunis,تونس,11, المتحف الوطني بباردو,Bardo Musee National,شارع المنجي سليم ,,10.134020,36.851066
Tunis,تونس,11,حمامات أنطونيوس,Thermes d'Antonin,,,10.335109,36.85433
Tunis,تونس,11,متحف قرطاج,Musee de Carthage,,,10.324120,36.853260
Tunis,تونس,11,المنازل الرومانية,Villas Romaines,,,10.331415,36.857925
Tunis,تونس,11,طوفات صلامبو,Tophet Salambo,,,10.322846,36.841177
Tunis,تونس,11,المتحف المسيحي المبكر,Musee Paleochretien,,,10.324781,36.848403
Tunis,تونس,11,المسرح الاثري,Thetre Romain,,,10.329539,36.857894
Tunis,تونس,11,المسرح الدائري,Amphithetre ,,,10.314961,36.856123
Tunis,تونس,11,حي ماقون,Quartier Magon,,,10.331402,36.851066
Ben Arous,بن عروس,13,أوذنة,Oudhna,,,10.169256,36.608675
Nabeul,نابل,15, مغاور الهوارية  ,Grottes de Haouaria,الهوارية,Haouaria,10.9950138,37.0578219
Nabeul,نابل,15,متحف نابل,Musee Nabeul,شارع الحبيب بورقيبة,,10.7341612,36.4507085
Nabeul,نابل,15,معلم نيابوليس ,Site Neapolis,الطريق السياحية,,10.564377,36.397136
Nabeul,نابل,15,كركوان ( معلم ),Site Kerkouene,كركوان,,11.099386,36.945966
Nabeul,نابل,15,كركوان (متحف),Musee Kerkouene,كركوان,,11.097701,36.946997
Nabeul,نابل,15,  برج قليبية,Fort de Kelibia,شارع المنصور,,11.116034,36.837880
Nabeul,نابل,15,برج الحمامات,Fort de Hammamet,شارع الجمهورية ,,10.901014,35.6255322
Nabeul,نابل,15,موقع بوبوت ,Site de Pupput,الطريق السياحية,,10.562700,36.392605
Zaghouan,زغوان,16,تبربوماجيس,Thuburbo Majus,,,,
Bizerte,بنزرت,17,  أوتيك ( متحف وموقع),Utique (site et musee),,,10.058460,37.052150
Béja,باجة,21,معلم دقة,site Dougga,طريق الكاف,,9.220249,36.423705
Jendouba,جندوبة,22,بلاريجيا (معلم),Site Bullaregia,جندوبة,,8.756973,36.558914
Jendouba,جندوبة,22,شمتو ( معلم ),Site Chimtou,جندوبة,,8.571770,36.491516
Jendouba,جندوبة,22,شمتو ( متحف),Musee Chimtou,جندوبة,,8.577000,36.489534
Le Kef,الكاف,23,  متحف الكاف ( العادات والتقاليد),Musee du Kef (ATP),شارع القصبة ,,8.715253,36.182689
Siliana,سليانة,24,  مكثر (متحف),Musee Makthar,مكثر,,9.205764,35.855396
Siliana,سليانة,24,  مكثر ( معلم ),Site Makthar,مكثر,,9.207969,35.853645
Sousse,سوسة,31,سيدي خليفة,Site Sidi Khelifa,,,10.399742,36.248529
Sousse,سوسة,31,متحف النفيضة  ,Musee Enfidha,,,10.379674,36.135162
Sousse,سوسة,31,متحف سوسة ,Musee de Sousse,,,10.635312,35.821839
Sousse,سوسة,31,  دواميس سوسة,Catacombes de Sousse,,,10.626366,35.818080
Sousse,سوسة,31,رباط سوسة,Ribat de Sousse,,,10.638766,35.82769
Sousse,سوسة,31,  جامع سوسة,Mosquee de Sousse,,,10.639763,35.826816
Monastir,المنستير,32,  رباط المنستير,Ribat de Monastir,نهج محمد سليم,,10.833039,35.776166
Monastir,المنستير,32,  متحف العادات والتقاليد بالمنستير ,Musee de Monastir (ATP),,,,
Monastir,المنستير,32,متحف الحبيب بورقيبة,Musee Habib Bourguiba,,,,
Monastir,المنستير,32,  متحف لمطة,Musee de Lamta,شارع الحبيب بورقيبة ,,10.877476,35.677617
Mahdia,المهدية,33,المسرح الدائري,Amphithetre,,,10.706915,35.296401
Mahdia,المهدية,33,متحف الجم,El Jem,,,10.705518,35.289531
