Code_BR,Code_Regime,Annees,T_Recouvremeant
10,100,2023,81.14%
12,100,2023,87.66%
13,100,2023,93.09%
14,100,2023,93.09%
16,100,2023,86.99%
17,100,2023,95.69%
18,100,2023,88.76%
19,100,2023,93.58%
22,100,2023,89.56%
23,100,2023,89.91%
24,100,2023,88.28%
25,100,2023,90.58%
28,100,2023,74.24%
29,100,2023,85.35%
31,100,2023,90.00%
34,100,2023,83.82%
36,100,2023,86.09%
37,100,2023,91.10%
38,100,2023,90.49%
40,100,2023,82.03%
43,100,2023,87.21%
46,100,2023,87.42%
47,100,2023,80.19%
48,100,2023,97.36%
49,100,2023,85.16%
50,100,2023,92.56%
52,100,2023,93.07%
53,100,2023,85.90%
55,100,2023,92.44%
56,100,2023,92.65%
58,100,2023,131.38%
61,100,2023,68.42%
64,100,2023,68.53%
67,100,2023,92.79%
70,100,2023,84.87%
71,100,2023,86.49%
72,100,2023,71.34%
73,100,2023,55.35%
80,100,2023,92.41%
81,100,2023,89.30%
82,100,2023,91.32%
83,100,2023,92.04%
84,100,2023,87.71%
85,100,2023,93.42%
86,100,2023,91.99%
10,280,2023,96.58%
12,280,2023,73.09%
13,280,2023,99.71%
14,280,2023,94.53%
16,280,2023,98.25%
17,280,2023,95.86%
18,280,2023,99.50%
19,280,2023,90.06%
22,280,2023,99.20%
23,280,2023,74.69%
24,280,2023,94.44%
25,280,2023,84.70%
28,280,2023,99.66%
29,280,2023,85.41%
31,280,2023,85.93%
34,280,2023,63.37%
36,280,2023,100.00%
37,280,2023,48.18%
38,280,2023,100.00%
40,280,2023,37.80%
43,280,2023,99.74%
46,280,2023,99.15%
47,280,2023,82.76%
48,280,2023,92.46%
49,280,2023,98.76%
50,280,2023,93.84%
52,280,2023,99.87%
53,280,2023,98.92%
55,280,2023,97.99%
56,280,2023,98.75%
58,280,2023,99.42%
61,280,2023,101.47%
64,280,2023,96.36%
67,280,2023,99.01%
70,280,2023,101.12%
71,280,2023,97.45%
72,280,2023,91.93%
73,280,2023,83.79%
80,280,2023,97.92%
81,280,2023,97.57%
82,280,2023,93.53%
83,280,2023,98.50%
84,280,2023,96.88%
85,280,2023,96.08%
86,280,2023,97.96%
10,340,2023,54.76%
12,340,2023,39.59%
13,340,2023,49.15%
14,340,2023,53.95%
16,340,2023,54.55%
17,340,2023,39.47%
18,340,2023,47.71%
19,340,2023,43.90%
22,340,2023,47.02%
23,340,2023,42.90%
24,340,2023,46.90%
25,340,2023,38.74%
28,340,2023,41.02%
29,340,2023,37.87%
31,340,2023,39.22%
34,340,2023,37.08%
36,340,2023,31.95%
37,340,2023,41.00%
38,340,2023,34.35%
40,340,2023,32.91%
43,340,2023,33.60%
46,340,2023,49.37%
47,340,2023,51.50%
48,340,2023,47.22%
49,340,2023,50.29%
50,340,2023,53.22%
52,340,2023,43.49%
53,340,2023,59.99%
55,340,2023,53.38%
56,340,2023,50.57%
58,340,2023,42.46%
61,340,2023,35.64%
64,340,2023,33.11%
67,340,2023,42.92%
70,340,2023,38.94%
71,340,2023,53.33%
72,340,2023,39.67%
73,340,2023,30.33%
80,340,2023,60.80%
81,340,2023,54.37%
82,340,2023,48.57%
83,340,2023,45.25%
84,340,2023,43.76%
85,340,2023,59.18%
86,340,2023,53.91%
10,350,2023,35.45%
12,350,2023,31.09%
13,350,2023,41.34%
14,350,2023,32.19%
16,350,2023,35.06%
17,350,2023,29.60%
18,350,2023,31.58%
19,350,2023,27.04%
22,350,2023,36.46%
23,350,2023,32.40%
24,350,2023,31.96%
25,350,2023,31.45%
28,350,2023,32.96%
29,350,2023,39.06%
31,350,2023,29.81%
34,350,2023,29.87%
36,350,2023,32.67%
37,350,2023,28.84%
38,350,2023,26.77%
40,350,2023,22.36%
43,350,2023,20.04%
46,350,2023,29.83%
47,350,2023,29.57%
48,350,2023,33.61%
49,350,2023,38.88%
50,350,2023,37.86%
52,350,2023,36.62%
53,350,2023,31.83%
55,350,2023,31.91%
56,350,2023,33.38%
58,350,2023,23.93%
61,350,2023,38.86%
64,350,2023,28.17%
67,350,2023,26.87%
70,350,2023,29.87%
71,350,2023,41.37%
72,350,2023,25.36%
73,350,2023,24.86%
80,350,2023,24.15%
81,350,2023,40.43%
82,350,2023,30.32%
83,350,2023,41.32%
84,350,2023,42.49%
85,350,2023,46.36%
86,350,2023,48.42%
10,320,2023,52.54%
12,320,2023,44.41%
13,320,2023,50.21%
14,320,2023,49.23%
16,320,2023,48.19%
17,320,2023,42.98%
18,320,2023,45.04%
19,320,2023,50.73%
22,320,2023,47.19%
23,320,2023,62.03%
24,320,2023,58.08%
25,320,2023,46.26%
28,320,2023,46.71%
29,320,2023,34.58%
31,320,2023,36.47%
34,320,2023,38.49%
36,320,2023,37.74%
37,320,2023,46.25%
38,320,2023,51.71%
40,320,2023,41.40%
43,320,2023,46.21%
46,320,2023,49.42%
47,320,2023,54.44%
48,320,2023,66.96%
49,320,2023,58.19%
50,320,2023,48.95%
52,320,2023,50.39%
53,320,2023,57.23%
55,320,2023,54.85%
56,320,2023,62.53%
58,320,2023,50.45%
61,320,2023,51.90%
64,320,2023,38.58%
67,320,2023,42.53%
70,320,2023,40.32%
71,320,2023,56.20%
72,320,2023,29.95%
73,320,2023,39.12%
80,320,2023,52.54%
81,320,2023,49.63%
82,320,2023,50.91%
83,320,2023,48.11%
84,320,2023,46.17%
85,320,2023,52.87%
86,320,2023,55.52%
