Nom_Association,gov_name_a,gov_id,Subvention,Subvention_spectacles_artistiques,Subvention_logistique
جمعية مهرجان المغاور الجبلية بالسند,قفصة,61,15 000,بالإضافة إلى عرض موسيقي بقيمة 7000دينار يقع تحديده   بالتنسيق مع إدارة الموسيقى والرقص.,
جمعية مسرح الصمود أم العرايس,قفصة,61,15 000,بالإضافة إلى عروض مسرحية بالتنسيق مع إدارة الفنون الركحية.,
جمعية بلخير للمحافظة على التراث قفصة,قفصة,61,10 000,,
جمعية الأمل المسرحي بالرديف,قفصة,61,7 000,,
جمعية القطار للمسرح,قفصة,61,6 000,,
جمعية مهرجان ربيع السياحة القطار ,قفصة,61,15 000,عرض خضراء,
جمعية مهرجان قفصة للفروسية والتراث,قفصة,61,10 000,,
مهرجان تقيوس الثقافية دقاش,توزر,62,15 000,04 عروض مسرحية للأطفال بالتنسيق مع إدارة المسرح بقيمة 10000دينار,
مهرجان تقيوس الثقافية دقاش,توزر,62,85 000,بالإضافة إلى 35000دينار مساهمة في اقتناء عرض الفنانة يسرا محنوش.,
جمعية مهرجان الشلالات تمغزة,توزر,62,55 000,بالإضافة إلى مبلغ  10000دينار كمساهمة في اقتناء عرض الفنان نور شيبة.,
الجمعية التونسية للتنشيط الثقافي والسياحي,توزر,62,12 000,,
جمعية صوت الجنوب,توزر,62,7 000,,
جمعية مهرجان سيدي حامد لإحياء التراث,قبلي,63,15 000,,
