Nom_Association,gov_name_a,gov_id,Subvention,Subvention_spectacles_artistiques,Subvention_logistique
تعاونية الفنانين والمبدعين والتقنيين في المجال الثقافي,تونس,11,100000,0,0
جمعية تونس للإبداع والسياحة الثقافية,تونس,11,0,0, 4تذاكر سفر بقيمة 6000 
جمعيّـة حماة اللغة العربية,تونس,11,2000,0,0
جمعية تنمية اللغة العربية وحمايتها,تونس,11,5000,0,0
جمعية احبك يا وطني للتنمية الثقافية والاجتماعية,تونس,11,5000,0,0
جمعية الرابطة العربية للفنون والابداع,تونس,11,2000,0,0
الجمعية الصادقية,تونس,11,5000,0,0
اتحاد الكتاب التونسيون(عرض ثاني),تونس,11,7000,0,0
جمعية تونس للإبداع والسياحة الثقافية(عرض ثاني),تونس,11,10000,0,0
جمعية تونس والسلام,تونس,11,20000,0,0
جمعية ثقافة فن السطمبالي,تونس,11,20000,0,0
اتحاد الفنانين التشكيليين التونسيين,تونس,11,30000,0,0
جمعية عبق الابداع التربوية والثقافية,تونس,11,3000,0,0
جمعية السينما الوثائقية التونسية,تونس,11,7000,0,0
جمعية دار الموسيقي,تونس,11,25000,0,0
جمعيّة ترشيش للمسرح والفنون والموسيقى,تونس,11,3000,3عروض مسرحية بقيمة 7000,0
جمعية نقاد تونسيون,تونس,11,3000,0,0
جمعية ابصار لثقافة وترفيه ذوي الاعاقة البصرية,تونس,11,15000,0,15تذكرة سفر
جمعية ناس الفن,تونس,11,40000,0,0
جمعية المعهد الرشيدي,تونس,11,120000,0,0
الجامعة التونسية للمسرح,تونس,11,3000,0,0
جمعية إشراق للفنون : مهرجان مرايا الفنون الصيفية,تونس,11,10000,0,0
ودادية وزارة الثقافة,تونس,11,250000,0,0
جمعية مهرجان تونس الدولي لمسرح الأطفال,تونس,11,25000,5 عروض مسرحية بقيمة 6900د,0
جمعية ثقافة فن سطمبالي,تونس,11,0,عرض سطمبالي نفطة وعرض سطمبالي توزر,0
جمعية ودادية أعوان وزارة الشؤون الثقافية,تونس,11,340000,0,0
جمعية إطارات الرقابة والتفقد والتدقيق بالهياكل العمومية التونسية,تونس,11,20000,0,0
جمعية رياضة وشغل لوزارة الشؤون الثقافية,تونس,11,15000,0,0
الجمعية التونسية للفنون والوساطة,تونس,11,5000,0,0
الجمعية التونسية للنهوض بالنقد السينمائي,تونس,11,15000,0,0
جمعيّة فنون للتنشيط الثقافي و المسرحي,أريانة,12,4000,0,0
جمعية مكتريس للفروسية والمحافظة على التراث,أريانة,12,3000,0,0
جمعيّة التونسية للمحافظة على الالعاب والرياضات التراثية,أريانة,12,5200,0,التكفل بتذاكر سفر بقيمة 2000د
جمعية الفن التشكيلي التونسي المعاصر,أريانة,12,5000,0,0
الجمعية الثقافية للمهرجان الصيفي بسكرة,أريانة,12,3000,0,0
جمعية ألق,أريانة,12,4000,0,0
