Nom-projet,Proprietaire-de-projet,Subvention
20 منسوجة جدارية,هدى رجب,54900
انجاز لوحات خزفية,أحمد الهرماسي,22900
"""زادي و زوادي""",المهدي صنديد,74000
"""من قرطاج إلى تبسة""",عبد اللطيف العكرمي,10000
