Nom-de-projet,Proprietaire-de-projet,Subvention
"شريط ""صفاقس المدينة العتيقة""",محمد بن محمود,40000
L’odyssée selon mbarka,عصام السعيدي,190000
سينما المخبر,عبد الله شامخ,50000
سيدة تحت الرماد,سمية بوعلاقي,50000
فيلم فم البير,شيراز البوزيدي,120000
رؤوف قارة...ذاكرة البحر,أنيس لسود,50000
"فيلم ""الحمال""",مراد العابد,110000
الشاذلي القليبي,نظال شطا,50000
