Nom-de-projet,Proprietaire-de-projet,Subvention
اصنع فلم كرتوني,بلال بوعزيز,20000
فلم قصير الدغباجي,وجدي موسى,30000
وثائقي عم علي,يوسف بن عمارة,40000
double garantie,أمين الشنوفي,30000
تونس تشطح,وائل منصور,20000
لون الفسفاط,رضا التليلي,50000
عطر الماضي,شركة كلوبيا للانتاج السمعي البصري / عواطف ريدان ,30000
محمد علي الحامي,نصر الدين السهيلي,50000
touristes hors saisons,ماهر الحسناوي,30000
شريط وثائقي قصير للصم والبكم,ألفة مخلوف,20000
نبض الشارع,كوثر الحمري,20000
أيادي سجنان,غسان قمرتي,20000
طريق الحياة,نضال المناعي,20000
تاكمرت,أم الزين رزق,19000
سينما،عشق،وطن,محمد طارق بن شعبان,30000
la complainte du zoufri, play production /صابر قبلاوي طارق الخلادي,30000
المهدية عاصمة الحرير,شركة انترناسيونال منستير فيلم خدمات/ رضا  التركي,20000
"فيلم وثائقي طويل بعنوان : رقادة "" قصر العجائب""",شركة جوستينيا فيلم /مختار العجيمي,20000
secca veneria,هيفاء عرعار,20000
"شريط وثائقي مستوحى من التراث لمدينة القيروان بعنوان ""على ذاكرة الحجر""",طارق الشرطاني,20000
