Nom-de-projet,Proprietaire-de-projet,Subvention
"شريط وثائقي "" حائط المعرفة""",عبد الحميد الارقش,96300
"سلسلة وثائقية ""رحلة نجع """,الصحبي بن فرج,50000
"شريط قصير ""دينـــــار""",اسكندر بن عبد السلام,18000
"شريط ""التراث الموسيقي بجهة ذرف""",اكرم محمد العربي منصر,40000
"شريط وثائقي ""رحلة وجدان""",خالد البرصاوي,75000
مهرجان الاضواء ببنزرت,يوسف بو عجاجة,100000
