Salle,Pièce de théâtre,Date,Heure début,Heure Fin
Théâtre de l'Opéra,Star Returning,23-11-2024,20:00,21:30
El Teatro,HOMINI LUPUS,24-11-2024,19:00,20:30
Dar El Masrahi,Accamora,24-11-2024,19:00,20:30
4èm Art ,رقصة سماء,24-11-2024,19:00,20:30
Be actor,Ecole de théâtre Tawfik El Ayeb,24-11-2024,19:00,20:30
RIO,Médecin Après La Mort,24-11-2024,19:00,20:30
Théâtre de l'Opéra,Star Returning,24-11-2024,18:00,19:30
Mondial,وصايا الديك,24-11-2024,17:00,18:30
L'artisto,ISAD,24-11-2024,17:00,18:30
El Hamra,قونة - قاعة الانتظار,24-11-2024,17:00,18:30
Théatre des jeunes créateurs,اغتراب,24-11-2024,16:00,17:30
Ibn Rachiq,نجع غيلان,24-11-2024,16:00,17:30
RIO,Médecin Après La Mort,24-11-2024,15:00,16:30
4èm Art ,رقصة سماء,24-11-2024,15:00,16:30
 Théâtre municipal,Et que mon reigne arrive,25-11-2024,19:30,21:00
El Teatro,عصفور جنة,25-11-2024,19:00,20:30
4èm Art ,Zone Franc(H)e,25-11-2024,19:00,20:30
RIO, لعبة النهاية,25-11-2024,19:00,20:30
Théatre des régions,أم البلدان,25-11-2024,19:00,20:30
Dar El Masrahi,مونولوغ,25-11-2024,19:00,20:30
El Hamra,Les nombreux visage,25-11-2024,17:00,18:30
L'artisto,Le Pappillon et le Fil Rouge,25-11-2024,17:00,18:30
Mondial,اصطياد,25-11-2024,17:00,18:30
Théatre des jeunes créateurs,Destino y Libertad,25-11-2024,16:00,17:30
Ibn Rachiq,كوم كوا,25-11-2024,16:00,17:30
4èm Art ,Zone Franc(H)e,25-11-2024,15:00,16:30
RIO, لعبة النهاية,25-11-2024,15:00,16:30
Théâtre de l'Opéra,Full Moon,26-11-2024,20:00,21:30
 Théâtre municipal,Palto The Overcoat,26-11-2024,19:30,21:00
El Teatro,التابعة,26-11-2024,19:00,20:30
Dar El Masrahi,ما قبل المسرح,26-11-2024,19:00,20:30
4èm Art ,البخارة,26-11-2024,19:00,20:30
RIO,بيت أبو عبد الله,26-11-2024,19:00,20:30
Théatre des régions,وين رايحين ؟ ,26-11-2024,19:00,20:30
El Hamra,Impasse,26-11-2024,17:00,18:30
L'artisto,Les Deux Réfugiès,26-11-2024,17:00,18:30
Mondial,DONJA HOTA,26-11-2024,17:00,18:30
Théatre des jeunes créateurs,روضة العشاق,26-11-2024,16:00,17:30
Ibn Rachiq,غوغاء,26-11-2024,16:00,17:30
RIO,بيت أبو عبد الله,26-11-2024,15:00,16:30
4èm Art ,البخارة,26-11-2024,15:00,16:30
 Théâtre municipal,Poor Liza,27-11-2024,19:30,21:00
RIO,كيف نسامحنا ؟,27-11-2024,19:00,20:30
Théatre des régions,Transit Tripoli,27-11-2024,19:00,20:30
Dar El Masrahi,ماذا لو,27-11-2024,19:00,20:30
El Teatro,عرايس,27-11-2024,19:00,20:30
4èm Art ,يا طالعين الجبل,27-11-2024,19:00,20:30
El Hamra,الصراط,27-11-2024,17:00,18:30
L'artisto,Donia Juanita,27-11-2024,17:00,18:30
TNT Bernard Turin,Frontières,27-11-2024,17:00,18:30
Mondial,واحدQuelqu'un,27-11-2024,17:00,18:30
Théatre des jeunes créateurs,Pelliculeشكون,27-11-2024,16:00,17:30
Ibn Rachiq,ايس دريم,27-11-2024,16:00,17:30
4èm Art ,يا طالعين الجبل,27-11-2024,15:00,16:30
RIO,كيف نسامحنا ؟,27-11-2024,15:00,16:30
 Théâtre municipal,البوابة 52,28-11-2024,19:30,21:00
Dar El Masrahi,العاصفة,28-11-2024,19:00,20:30
El Teatro,A SCREAM IN THE DARK,28-11-2024,19:00,20:30
4èm Art ,La Victoria,28-11-2024,19:00,20:30
Be actor,Ecole de théâtre Ezzedine Mabouj,28-11-2024,19:00,20:30
RIO,اتنين بالليل,28-11-2024,19:00,20:30
Théatre des régions,Au violon,28-11-2024,19:00,20:30
Mondial,كاميرا,28-11-2024,17:00,18:30
El Hamra,سقيفة,28-11-2024,17:00,18:30
TNT Bernard Turin,Frontières,28-11-2024,17:00,18:30
Ibn Rachiq,الحبيبة الاخيرة,28-11-2024,16:00,17:30
Théatre des jeunes créateurs,إعتراف,28-11-2024,16:00,17:30
4èm Art ,La Victoria,28-11-2024,15:00,16:30
RIO,اتنين بالليل,28-11-2024,15:00,16:30
 Théâtre municipal,Swan Lake 3D,29-11-2024,19:30,21:00
Dar El Masrahi,Le Comte Nouline,29-11-2024,19:00,20:30
RIO,بين قلبين,29-11-2024,19:00,20:30
4èm Art ,العاشق,29-11-2024,19:00,20:30
Be actor,Ecole de théâtre Moez Gdiri,29-11-2024,19:00,20:30
El Teatro,Frida - Diego,29-11-2024,19:00,20:30
El Hamra,JE SUIS À PRENDRE OU À LAISSER,29-11-2024,17:00,18:30
Mondial,محير سيكا,29-11-2024,17:00,18:30
Ibn Rachiq,اطياف,29-11-2024,16:00,17:30
Théatre des jeunes créateurs,بلا عنوان,29-11-2024,16:00,17:30
4èm Art ,العاشق,29-11-2024,15:00,16:30
RIO,بين قلبين,29-11-2024,15:00,16:30
4èm Art ,قرط,30-11-2024,19:00,20:30
Théatre des régions,عطيل وبعد,30-11-2024,16:00,17:30
El Teatro,STUDIO TEATRO,30-11-2024,15:00,16:30
4èm Art ,قرط,30-11-2024,15:00,16:30
Ibn Rachiq,Ecole de théâtre Wafa Tabboubi,30-11-2024,15:00,16:30
Théatre des jeunes créateurs,21.24,30-11-2024,11:00,12:30
Dar El Masrahi,الرسالة السحرية أطفال,30-11-2024,11:00,12:30
Mondial,عالم السيرك اطفال,30-11-2024,11:00,12:30
