Année,Nom de l’association ,Évènement,Montant de la subvention
2019,جمعية مهرجان صفاقس الدولي للسينما المتوسطية,مهرجان صفاقس الدولي للسينما المتوسطية,3.000
2019,جمعية جنوب للتراث السينمائي,تظاهرة سينما المتحف الدورة الخامسة,20.000
2019,جمعية رؤئ للثقافة و التنمية بمدنين,مهرجان الفيلم الوثائقي والروائي القصير ,8.000
2019,جمعية حلقة احباء الصورة,خيمة الصورة في دورتها الثالثة والعشرون,11.000
2019,جمعية القيروان للسينما والسمعي البصري,أيام القيروان السينمائية الدورة الثانية,15.000
2019,جمعية فنون للسينما والمسرح بالكاف,مهرجان الفيلم القصير بالكاف,25.000
2019,جمعية سينما للجميع,مهرجان السينما في الهواء الطلق ,4.000
2019,جمعية مسار للتنمية الثقافية,تظاهرة خوذ وهات,10.000
2019,جمعية مسار للتنمية الثقافية,دقيقة سيت إين,8.000
2019,جمعية مهرجان سوسة الدولي ,مهرجان سوسة الدولي لفيلم الطفولة,13.000
2019,جمعية لوطوس للثقافة والفنون,تظاهرة فرضيات سينمائية,5.000
2019,الجامعة التونسية للسينمائيين الهواة,مهرجان قليبية لفيلم الهواة,60.000
2019,الجمعية التونسية لتكنولوجيا الابداع,صغيرك يتفنن,7.000
2019,ورشة كتابة الجنوب,ورشة كتابة الجنوب,14.000
2019,جمعية فوكيس قابس,مهرجان قابس سينما فن,60.000
2019,جمعية ناس الفن,Doc à tunis,20.000
2019,جمعية السينما الوثائقية,مهرجان أول فيلم وثائقي ,10.000
2020,حلقة أحباء الصورة,خيمة الصورة,11.000
2020,جمعية كتابة الجنوب,ورشة كتابة الجنوب,16.000
2020,جمعية فوكيس قابس,مهرجان قابس سينما فن,60.000
2020,جمعية سينما المكنين,مهرجان سينمكنة للأفلام الشعرية,5.000
2020,جمعية جنوب للتراث,تظاهرة سينما المتحف,20.000
2020,جمعية السينما الوثائقية,مهرجان فيلمي الوثائقي الأول,15.000
2021,جمعية كيفاش,مشروع سينما المخبر,40.000
2021,جمعية فوكيس قابس,قابس سينما فن,75.000
2021,جمعية منارات سينما للجميع,مهرجان منارات للسينما المتوسطية,270.000
2021,جمعية منتدى هرمايا,مهرجان حكايات البحر,5.000
2021,جمعية سينما المكنين,مهرجان سينمكنة للأفلام الشاعرية,19.000
2021,جمعية السينما الوثائقية,مهرجان فيلمي الوثائقي الاول,15.000
2021,جمعية المتوسط للفنون والسياحة الثقافية,مهرجان سينما تحت النجوم 2021,8.500
2021,جمعية مسار,تظاهرة خوذ وهات لسنة 2020,12.000
2021,جمعية مسار,مهرجان دقيقة سينما,10.000
2021,جمعية القيروان للسينما والسمعي البصري,أيام القيروان السينمائية,5.000
2021,الجمعية التونسية للتبادل الثقافي,eductour,15.000
2021,جمعية أشكال وألوان واحية,مهرجان الأيام السينمائية المتوسطية بشنني,8.000
2021,الجمعية التونسية لتكنولوجيا الابداع,صغيرك يتفنن,5.000
