Annee,Budget,Engagements_annuel ,Nbre_de_titres_acquis,Nbre_de_titres _deposes,Nbre_d_exemplaires_acquis,Nbre_d_editeurs,Nbre_des_livres_edites_au_compte_d_auteur
2015,1200000000,1238337500,1031,1687,154430,99,90
2016,1400000000,1320002500,1063,2369,1639500,81,105
2017,1300000000,1257277000,655,1163,140120,68,68
2018,2600000000,2599800000,1588,2407,299571,171,118
2019,2600000000,2626323950,1752,2905,350490,80,146
2020,2600000000,2677365500,1665,2851,301540,127,214
