Annee;Remuneration ;Budget-alloue;Intervention ;Credits-supplementaires-dans-la-section-des-interventions;Revenus-propres;Total
2016;42400.000;242030.149;543788.000;88030.000;32071.317;948319.466
2017;47700.000;258755.101;640000.000;111000.000;17616.201;1075071.302
2018;75090.000;222956.506;601125.000;109375.000;27638.700;1036185.206
2019;106000.000;236838.500;501000.000;400000.000;43796.650;1287635.150
2020;327200.000;299445.459;416800.000;0.000;14031.800;1057477.259
2021;296000.000;162000.000;592000.000;0.000;20000.800;1070000.800
