Endroit,Nom_artiste,titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
رواق على القرماسي,أمينة بالطيب,l'angoisse ,فردي,خاص,1500,10900
,فريد العرفاوي,مطر,فردي,عمومي,4900,
,المنصف بن جامع,حالة وعى,فردي,عمومي,4500,
رواق برج قلال,صفوان علولو,noir et blanc,جماعي,خاص,2400,4700
,مريم عمار,صوت المرأة,جماعي,خاص,300,
,تهاني الهنتاتي,"sans double,sans double",جماعي,خاص,2000,
المركب الثقافي سوسة,نجيب بوقشة,الصرخة,جماعي,عمومي,8000,18500
,عبد الحميد الثابوتي,عزوف,جماعي,عمومي,5000,
,سمير بن علية,السوق ,جماعي,عمومي,4000,
,هشام الحفيان,réve ,فردي,عمومي,1500,
المعهد العالي للفنون و الحرف صفاقس,غازي زليلة,l'aquarium,جماعي,عمومي,4000,28500
,إنتصار الزريبي,tour3,جماعي,عمومي,2500,
,أمال معلول,الحرقة,فردي,عمومي,2000,
,بلحسن كشو,طاحونة,فردي,عمومي,5000,
,خالد الفقى,تكوين 3,فردي,عمومي,7000,
,برهان بن عربية,تكوين 3,فردي,عمومي,2000,
,فاطمة دمق,دوائر كونية,فردي,عمومي,6000,
جمعية الشابة للفنون و المحيط,كمال عبد الله,شكلميات و أشياء أخرى,جماعي,خاص,4500,12600
,صالح بن عمر,تركبية,جماعي,خاص,3000,
,ريم معلى,enterlacs,جماعي,خاص,3000,
,سهيلة حمزة,l'autre vision,جماعي,خاص,1300,
,سهام الشابي,métamorphose1,جماعي,خاص,800,
رواق على خوجة,محمد البعتي,إصطياد ليلي,جماعي,خاص,6000,7000
,أمير الشلي,littel poppy,جماعي,خاص,1000,
رواق البيرو,شهرزاد الفقيه,les mille et une lignes,جماعي,خاص,3000,4500
,هالة الأمين,famille recomposée,جماعي,خاص,900,
,سامية العش عروس,bi-face,جماعي,خاص,600,
دار الكتب الوطنية ,رفاه غرسلاوي,سبعة أشياء مكروهة ,فردي,عمومي,3475,16675
,عمر بسيس, le royaume,جماعي,عمومي,2800,
,نورة المزوغي,elles disent d'élles,جماعي,عمومي,900,
,نورالدين جقيريم,pantomime féminin,جماعي,عمومي,2500,
,ليندا عبد اللطيف,hélios,جماعي,عمومي,7000,
النادي الثقافي الطاهر الحداد,ريم بالشيخ ,offrandes ,جماعي,عمومي,3000,8900
,لسعد بن علية ,weld el ghoula 2,جماعي,عمومي,1700,
,مروى بن حليمة,portraint délire 2,جماعي,عمومي,1200,
,يسرى شوشان,feeling,جماعي,عمومي,700,
,مصطفى الدنقزلي,à portée de main,جماعي,عمومي,2300,
رواق يحي,نصر الدين العسيلي,composition1,جماعي,عمومي,5000,19000
,ناصر اللواتي,scene n137,جماعي,عمومي,6000,
,عبد العزيز الدريدي,sans titre,جماعي,عمومي,3000,
,صابرين الطرابلسي,القناع,جماعي,عمومي,5000,
متحف باردو,منى الجمل سيالة,vénus de la hafsia,جماعي,عمومي,6000,6000
قصر خير الدين,هدى رجب,amulettes3,جماعي,عمومي,10000,444450
,منير بن موسى,sans titre,جماعي,عمومي,7000,
,حنان مقديش,sans titre,جماعي,عمومي,2800,
,محمد حاتم الغربي,vue sur mer,جماعي,عمومي,7000,
,سندس الشايبي,la bataille des élites,جماعي,عمومي,5000,
,نور الدين الرياحي,يوم مطر,جماعي,عمومي,5000,
,عادل العكرمي,femme au poisson,جماعي,عمومي,3000,
,حمادي بن نية,sans titre,جماعي,عمومي,7000,
,وليد القلعي,détournement,جماعي,عمومي,4200,
,حمادي بن سعد,champ de grenadie,جماعي,عمومي,12000,
,أمال بو سلامة ,pro-créatrice,جماعي,عمومي,4000,
,زهور القرقوري,sans titre,جماعي,عمومي,4000,
,فوزية الهيشري,sans titre,جماعي,عمومي,5900,
,ليلى علاقي,أصاطير النخيل,جماعي,عمومي,3400,
,إيناس بو عزيز,fluidification,جماعي,عمومي,3800,
,فاتح بن عامر ,غبش الذاكرة ,جماعي,عمومي,3800,
,ماجد زليلة ,feuille de vigne,جماعي,عمومي,1800,
,حبيب بيدة,متاهات,جماعي,عمومي,9000,
,رؤوف قارة ,faune,جماعي,عمومي,4500,
,بنور مشفر,التركيبة ,جماعي,عمومي,2500,
,عزة زرود,mille et une ombre,جماعي,عمومي,1800,
,ليلى السهيلي,sans titre,جماعي,عمومي,4900,
,جمال الصغير,composition1,جماعي,عمومي,5500,
,ماهر العروسي,espace3,جماعي,عمومي,4000,
,نصر الدين فراحتي,paroles oubliés,جماعي,عمومي,3800,
,عدنان الحاج ساسي,souvenir 2,جماعي,عمومي,5000,
,على رضا سعيد,صدى الصراخ,جماعي,عمومي,9000,
,عبد الحميد الحجام,homme allongé,جماعي,عمومي,4500,
,رانية ريدان,trans-féminité,جماعي,عمومي,2500,
,سناء الجمالي,sans titre,جماعي,عمومي,8000,
,عبد الرزاق حمودة,قد هام قلبي بالحبيب و ذابا,جماعي,عمومي,3100,
,رمزي الدلالي,الأمومة,جماعي,عمومي,1300,
,فتحي بن زاكور,الفكرة الذهبية,جماعي,عمومي,8000,
,حمدة دنيدن,الحالمة ,جماعي,عمومي,12000,
,باكر بن فرج,silouette,جماعي,عمومي,7000,
,عبد الوهاب الشارني,poisson étoilé-الوليمة,جماعي,عمومي,7500,
,محمد بن مفتاح,revolté,جماعي,عمومي,12000,
,بوجمعة بالعيفة ,la toile,جماعي,عمومي,6000,
,منجي معتوق,nébuleuse,جماعي,عمومي,9000,
,مصطفى السياري,hors  la loi,جماعي,عمومي,15000,
,هشام بن الصغير,قارئة الفنجان,جماعي,عمومي,4500,
,محمد سحنون,ستائر,جماعي,عمومي,4800,
,طارق السويسي,رقصة الربيع,جماعي,عمومي,6000,
,وفاء القاضي,الأسد و الغزال,جماعي,عمومي,7000,
,إيمان منصوري,des ordres,جماعي,عمومي,4500,
,olga malakhova,lady elyssa,جماعي,عمومي,6000,
,نجوى عبد المقصود,تونس في عيني,جماعي,عمومي,5000,
,كريمة بن سعد,femme/âme,جماعي,عمومي,1000,
,نجاة ذهبي ,منابر,جماعي,عمومي,6000,
,ربيعة الرينشي,interesting dialogue,جماعي,عمومي,5000,
,مجدي الجزيري,mouvement,جماعي,عمومي,6000,
,نجيب بو صباح ,sans titre,جماعي,عمومي,6800,
,حبيب زويرخ,chuchottement,جماعي,عمومي,2000,
,سنية بن رمضان,خربشة ,جماعي,عمومي,1800,
,عز الدين براري,باب سويقة,جماعي,عمومي,8000,
,نزار مقديش ,كرسي العرش,جماعي,عمومي,3800,
,وسام غرس الله,كلام الناس,جماعي,عمومي,5800,
,دالزار شطورو,recherche,جماعي,عمومي,2500,
,ليليا التوهامي,تجلي,جماعي,عمومي,1800,
,نعمان قمش,territoire d'ici ,جماعي,عمومي,8000,
