date,num,endroit_a,nom_artiste_a,titre,type_d_exposition_a,type_de_galerie_a,prix
05/03/2018,1,السعدي للفنون,فاضل غديرة,عمر بن محمود,جماعي,خاص,4500
05/03/2018,2,السعدي للفنون,محمد قيقة,حاتم المكي,جماعي,خاص,3000
05/03/2018,3,السعدي للفنون,لطفي عبد الحميد رمضاني,حمادي سكيك,جماعي,خاص,4000
05/03/2018,4,السعدي للفنون,محمد الزواري,علي بالأغة,جماعي,خاص,4000
05/03/2018,5,السعدي للفنون,رناتا باشدليمي,صافية فرحات,جماعي,خاص,4500
05/03/2018,6,السعدي للفنون,خليل قريعة,مستاري شقرون,جماعي,خاص,4000
05/03/2018,7,السعدي للفنون,محمد راجح ,على الطرابلسي,جماعي,خاص,3000
05/03/2018,8,السعدي للفنون,نبيل سامي,يوسف الرقيق,جماعي,خاص,3000
05/03/2018,9,السعدي للفنون,نجاة غريسي,نجيب بالخوجة,جماعي,خاص,12500
05/03/2018,10,دار الفنون بالبلفيدير,علي الفندري,Composition A,فردي,عمومي,7000
05/03/2018,11,دار الفنون بالبلفيدير,سليمة تريعة,Médina,فردي,عمومي,2000
05/03/2018,12,رواق اى كار,عثمان بابا,Bleu Espoir,فردي,خاص,1600
05/03/2018,13,فضاء سيفونيبة,جمال شويقي المهداوي,Roots,فردي,خاص,5000
05/03/2018,14,رواق الفنون ببن عروس,سمير الفيتوري ,Mélancolique,فردي,عمومي,9000
05/03/2018,15,المدرسة السليمانية,جميلة عكروت,Un café a sidi bou said,فردي,عمومي,3000
05/03/2018,16,رواق كاليستي,كوثر الجلازي بن عياد,Nombril de l'étre,فردي,خاص,10000
05/03/2018,17,المكتبة المعلوماتية بأريانة,الهام السباعي شعباني,TSONOMI,جماعي,عمومي,3600
05/03/2018,18,المكتبة المعلوماتية بأريانة,صفوان ميلاد,ترانيم,جماعي,عمومي,1400
05/03/2018,19,المكتبة المعلوماتية بأريانة,أسامة عمار ,La parole,جماعي,عمومي,1800
05/03/2018,20,المكتبة المعلوماتية بأريانة,علياء الكاتب,Rays of light,جماعي,عمومي,4000
05/03/2018,21,المكتبة المعلوماتية بأريانة,ياسمين المؤدب,ثورة,جماعي,عمومي,1200
05/03/2018,22,المكتبة المعلوماتية بأريانة,ريم بن عبدلله,أنسياب,جماعي,عمومي,2000
15/03/2018,23,رواق البيرو,محمد علي بالرحومة,bibliographia,جماعي,خاص,600
15/03/2018,24,رواق البيرو,أسامة الطرودي,Emondes,جماعي,خاص,700
15/03/2018,25,المركب الثقافي بالمنستير,تاجة قيزة,اأعماق,جماعي,عمومي,1600
15/03/2018,26,المركب الثقافي بالمنستير,درصاف جماعة ,Fusion,جماعي,عمومي,1000
15/03/2018,27,المركب الثقافي بالمنستير,أمال زعيم,الأصيل,جماعي,عمومي,3500
15/03/2018,28,المركب الثقافي بالمنستير,هنده عبد الكافي,Réve de bateau,جماعي,عمومي,1500
15/03/2018,29,المركب الثقافي بالمنستير,جنات ماني,Porte de bizerte ,جماعي,عمومي,800
15/03/2018,30,المركب الثقافي بالمنستير,أبتهال مزالي,تراثنا,جماعي,عمومي,1500
15/03/2018,31,رواق برج قلال,عبد العزيز الحصايري ,Déséquilibre,فردي,خاص,3600
15/03/2018,32,رواق برج قلال,محمد سحنون,شراع,فردي,خاص,3000
15/03/2018,33,رواق على خوجة,مصطفى الدنقرلي,Marché Hebdomadaire,فردي,خاص,1500
15/03/2018,34,رواق على خوجة,محمد أكرم خوجة,Nous vivions tous dans nos reves,فردي,خاص,2500
16/03/2018,35,دار الثقافة سيدي بوزيد,سامي العافي ,الأمضاء,فردي,عمومي,2000
16/03/2018,36,دار الثقافة سيدي بوزيد,سنية كداشي,المدينة,جماعي,عمومي,1500
16/03/2018,37,دار الثقافة سيدي بوزيد,وردة عافي,سجال,جماعي,عمومي,2000
16/03/2018,38,دار الثقافة سيدي بوزيد,حسان بن رحومة,Point d'interference,جماعي,عمومي,2700
16/03/2018,39,دار الثقافة سيدي بوزيد,معز حسن,Le mystére de l'espoir,جماعي,عمومي,1800
16/03/2018,40,دار الثقافة سيدي بوزيد,وحيد بوليلة,Une parle,جماعي,عمومي,1600
20/03/2018,41,فضاء اى كار,عبد العزيز الدريدي ,نبع الغرزه الدريدي,جماعي,خاص,1000
20/03/2018,42,فضاء اى كار,محسن الجليطي ,يد القلب,جماعي,خاص,5400
20/03/2018,43,قصر خير الدين,سمير مخلوق ,les immeubles,جماعي,عمومي,2800
20/03/2018,44,قصر خير الدين,رشيد الفخفاخ ,le rouge fait chanter le vert,جماعي,عمومي,12000
20/03/2018,45,قصر خير الدين,منجي معتوق,حلب,جماعي,عمومي,9000
20/03/2018,46,قصر خير الدين,سارة بن عطية,la naissance,جماعي,عمومي,6000
20/03/2018,47,قصر خير الدين,مروى زليلة,bateau de la mort ,جماعي,عمومي,1500
20/03/2018,48,قصر خير الدين,رميساء مرنيسي,eye see you,جماعي,عمومي,950
20/03/2018,49,قصر خير الدين,سماح نصر الله,le rythme d'un foulard,جماعي,عمومي,3000
20/03/2018,50,قصر خير الدين,صابر البحري,tolérance,جماعي,عمومي,3800
20/03/2018,51,قصر خير الدين,بنور مشفر,حومتنا,جماعي,عمومي,2000
20/03/2018,52,قصر خير الدين,رانية ريدان,hybridation,جماعي,عمومي,2000
20/03/2018,53,قصر خير الدين,بلقيس ورتاني ,femme afro abstré,جماعي,عمومي,800
20/03/2018,54,قصر خير الدين,حبيب جماعي,souvenir,جماعي,عمومي,4500
20/03/2018,55,قصر خير الدين,وليد باكحل,naufrage ,جماعي,عمومي,3900
20/03/2018,56,قصر خير الدين,خميس ناجي ,hospitalisaton,جماعي,عمومي,7000
20/03/2018,57,قصر خير الدين,نورالدين شقيريم ,journal du quotidien 2 ,جماعي,عمومي,2000
20/03/2018,58,قصر خير الدين,سعاد المهبولي ,rythme de la vie ,جماعي,عمومي,3000
20/03/2018,59,قصر خير الدين,احلام اللمسي ,مخبل في كبة,جماعي,عمومي,1500
20/03/2018,60,قصر خير الدين,منعم العجيلي ,diptyque 2,جماعي,عمومي,1800
20/03/2018,61,قصر خير الدين,عيسى قويرح,virtuelle,جماعي,عمومي,3000
20/03/2018,62,قصر خير الدين,صابرين قويرح,s-t,جماعي,عمومي,1500
20/03/2018,63,قصر خير الدين,ربيعة الرينشي ,العرس,جماعي,عمومي,5000
20/03/2018,64,قصر خير الدين,رباب رويسي ,gemini,جماعي,عمومي,2600
20/03/2018,65,قصر خير الدين,اميمة بن سلطان ,plan -tissage ,جماعي,عمومي,1800
20/03/2018,66,قصر خير الدين,كمال الوسلاتي ,الفرسان الثلاثة,جماعي,عمومي,1800
20/03/2018,67,قصر خير الدين,سالم كروسي,عرفة في مهب الريح,جماعي,عمومي,2800
20/03/2018,68,قصر خير الدين,حنان مقديش,Espace,جماعي,عمومي,3200
20/03/2018,69,قصر خير الدين,سلمى سماوي ,Le fauteuille rouge,جماعي,عمومي,2000
20/03/2018,70,قصر خير الدين,شروق بالحاج صالح,بين بين,جماعي,عمومي,4200
20/03/2018,71,قصر خير الدين,ايناس بو عزيز ,désaturation,جماعي,عمومي,3600
20/03/2018,72,قصر خير الدين,عزيزة البيباني ,شجرة حور ,جماعي,عمومي,2000
20/03/2018,73,قصر خير الدين,محمد على درويش ,émergence,جماعي,عمومي,1000
20/03/2018,74,قصر خير الدين,زهور الشعبوني ,revelation,جماعي,عمومي,3500
20/03/2018,75,قصر خير الدين,رؤوف قارة, الحياة مستمرة,جماعي,عمومي,5000
20/03/2018,76,قصر خير الدين,عبد الوهاب الشارني ,اكتب على ظهر الحوت,جماعي,عمومي,7000
20/03/2018,77,قصر خير الدين,عبد المجيد عياد,دوعجيات,جماعي,عمومي,6500
20/03/2018,78,قصر خير الدين,كنزة مراكشي ,blac impur ,جماعي,عمومي,3000
20/03/2018,79,قصر خير الدين,نور الدين الرياحي ,une nuit lunaire,جماعي,عمومي,5000
20/03/2018,80,قصر خير الدين,منى النوري ,s-t,جماعي,عمومي,2800
20/03/2018,81,قصر خير الدين,دليزار شطورو,سر الحياة,جماعي,عمومي,1900
20/03/2018,82,قصر خير الدين,ليلى السهيلي ,rythme,جماعي,عمومي,4900
20/03/2018,83,قصر خير الدين,ماهر الطربلسي,la vie,جماعي,عمومي,5600
20/03/2018,84,قصر خير الدين,هشام بالصغير ,عهد,جماعي,عمومي,5200
20/03/2018,85,قصر خير الدين,مبروكة بوهودي ,tapis soufflé,جماعي,عمومي,5100
20/03/2018,86,قصر خير الدين,نصرالدين فراحتي ,اقرأ,جماعي,عمومي,3600
20/03/2018,87,قصر خير الدين,محمد المالكي ,رقصة المدينة الأبدية ,جماعي,عمومي,1000
20/03/2018,88,قصر خير الدين,ايمان منصوري,monde intérieur,جماعي,عمومي,4000
20/03/2018,89,قصر خير الدين,عبد المجيد جنهاني,كنوز طبيعية,جماعي,عمومي,6000
20/03/2018,90,رواق عين,يسر هلول,Fifth story ,جماعي,خاص,900
20/03/2018,91,رواق عين,نادر بوقدي,section 1 et 2,جماعي,خاص,2500
20/03/2018,92,رواق عين,يسرى شوشان,Hope,جماعي,خاص,600
20/03/2018,93,رواق عين,مروى بن حليمة,Portait délire2,جماعي,خاص,900
20/03/2018,94,رواق عين,احلام محجوب,Balade perpétuelle en zone interdite,جماعي,خاص,3000
20/03/2018,95,النادي الثقافي الطاهر الحداد,كرامة بن عمر,Choose your road,فردي,عمومي,3000
20/03/2018,96,رواق غاية,وسام بن حسين,Envol des ames 2,جماعي,خاص,7000
20/03/2018,97,رواق غاية,ابراهيم ماطوس,Les petites demoiselles,جماعي,خاص,5000
20/03/2018,98,دار المدينة للمعارض,عبد العزيز البراري,Fiancaille,فردي,خاص,8000
20/03/2018,99,رواق كالستي,سامي بن عامر,Vagues d'azur,فردي,خاص,4000
20/03/2018,100,رواق الهادي التركي,راضيةالتليلي زواوي,La quete de la transparence,جماعي,عمومي,4800
20/03/2018,101,رواق الهادي التركي,سامية بلخوجة ,méditerranée2,جماعي,عمومي,4000
29/03/2018,102,دار الفنون بالفيدير,حاتم الغربي,parametre,جماعي,عمومي,5000
29/03/2018,103,دار الفنون بالفيدير,ماجد زليلة,scéne de vie,جماعي,عمومي,6500
29/03/2018,104,دار الفنون بالفيدير,محمد البعتي,غرفة متوسطة 07,جماعي,عمومي,6000
29/03/2018,105,دار الفنون بالفيدير,عبد السلام الشرفي,sans titre ,جماعي,عمومي,2500
29/03/2018,106,دار الفنون بالفيدير,محمود قفصية,icare,جماعي,عمومي,2500
29/03/2018,107,دار الفنون بالفيدير,باكر بن فرج,bruxisme,جماعي,عمومي,7000
29/03/2018,108,دار الفنون بالفيدير,عمر عبادة حرز الله,تفاؤل,جماعي,عمومي,900
29/03/2018,109,دار الفنون بالفيدير,محمد بن مفتاح,nature morte,جماعي,عمومي,10000
29/03/2018,110,دار الفنون بالفيدير,الصادق قمش,remort,جماعي,عمومي,12000
29/03/2018,111,دار الفنون بالفيدير,على رضا سعيد,هجرة,جماعي,عمومي,9000
29/03/2018,112,دار الفنون بالفيدير,محمد سامي بشير,l'œil philophal,جماعي,عمومي,5000
29/03/2018,113,دار الفنون بالفيدير,على الزنايدي,مشاهد تونسية 1,جماعي,عمومي,6000
29/03/2018,114,دار الفنون بالفيدير,بوجمعة بالعيفة ,accumulation,جماعي,عمومي,10000
29/03/2018,115,دار الفنون بالفيدير,اسيا عروس,azur dore,جماعي,عمومي,2400
29/03/2018,116,دار الفنون بالفيدير,فاتح بن عامر,دكرى الجراد اوشيم,جماعي,عمومي,5000
29/03/2018,117,دار الفنون بالفيدير,ايمان العلوي,varition,جماعي,عمومي,2500
29/03/2018,118,دار الفنون بالفيدير,فريد العرفاوي,بصمة كيان,جماعي,عمومي,4600
29/03/2018,119,دار الفنون بالفيدير,صفوان علولو ,على الطرفي,جماعي,عمومي,1800
29/03/2018,120,دار الفنون بالفيدير,لطفي الأرنؤوط ,polygones,جماعي,عمومي,10000
29/03/2018,121,دار الفنون بالفيدير,حمدة دنيدن,لقاء,جماعي,عمومي,7000
29/03/2018,122,دار الفنون بالفيدير,نجوى مهدي كشو,evasion vers miles,جماعي,عمومي,3000
29/03/2018,123,دار الفنون بالفيدير,حمادي بن نية,s-t,جماعي,عمومي,9000
29/03/2018,124,دار الفنون بالفيدير,عزة زرود,stairway to isbat,جماعي,عمومي,1800
29/03/2018,125,دار الفنون بالفيدير,محمد رقيق,tabous,جماعي,عمومي,3000
29/03/2018,126,دار الفنون بالفيدير,كريم كمون,ame perdue,جماعي,عمومي,2000
29/03/2018,127,دار الفنون بالفيدير,بادي شوشان,a votre santé,جماعي,عمومي,5000
29/03/2018,128,دار الفنون بالفيدير,فتحي بوزيدة ,en attendant godo,جماعي,عمومي,3500
29/03/2018,129,دار الفنون بالفيدير,عربية العباسي,paysage composé ,جماعي,عمومي,850
29/03/2018,130,دار الفنون بالفيدير,محمد شلبي ,la ronde,جماعي,عمومي,6500
29/03/2018,131,دار الفنون بالفيدير,عبد الحميد الحجام,امومة,جماعي,عمومي,4500
29/03/2018,132,دار الفنون بالفيدير,نعمان قمش,te-deux,جماعي,عمومي,10000
29/03/2018,133,دار الفنون بالفيدير,لبنى عبد المولى,les cinq saisons,جماعي,عمومي,3000
29/03/2018,134,دار الفنون بالفيدير,اروى اسماعيل,crépuscule ,جماعي,عمومي,2000
29/03/2018,135,دار الفنون بالفيدير,محمد عزيز,منسوج لوني,جماعي,عمومي,6000
29/03/2018,136,دار الفنون بالفيدير,حبيب بيدة,corps forme,جماعي,عمومي,7000
29/03/2018,137,دار الفنون بالفيدير,ايمان الوحيشي,l'autre riviére ,جماعي,عمومي,2400
29/03/2018,138,دار الفنون بالفيدير,عبد العزيز سليمي,s-t,جماعي,عمومي,2900
29/03/2018,139,دار الفنون بالفيدير,نجيب بو صباح ,رقصة المجنون ,جماعي,عمومي,2500
29/03/2018,140,دار الفنون بالفيدير,طارق عبيد,خامات حروفية ,جماعي,عمومي,2000
29/03/2018,141,دار الفنون بالفيدير,جيهان رقيق ,re-naissance,جماعي,عمومي,1900
29/03/2018,142,دار الفنون بالفيدير,فوزي بوكحلة ,fond de mer,جماعي,عمومي,2500
29/03/2018,143,دار الفنون بالفيدير,حاتم اللومي,arabesque,جماعي,عمومي,2500
29/03/2018,144,رواق دار الكتب,هندة مقديش,vision,جماعي,عمومي,700
29/03/2018,145,رواق دار الكتب,رحمة النايلي,personne,جماعي,عمومي,800
29/03/2018,146,رواق دار الكتب,ريم سعد,planterre,جماعي,عمومي,1500
29/03/2018,147,رواق اى كار,نبيهة فالح ,stolen smile,جماعي,خاص,1400
29/03/2018,148,رواق اى كار,اسماء بن دالي,حل الصرة 1/2,جماعي,خاص,850
29/03/2018,149,متحف باردو,فاتن رويسي,l'aboyeur principale,فردي,عمومي,3500
29/03/2018,150,رواق على القرماسي,نصر الدين العسايلي ,tribu,فردي,خاص,5000
29/03/2018,151,رواق البلماريوم,يوسف لسودي,s-t,جماعي,خاص,400
29/03/2018,152,رواق البلماريوم,اولينا زغدود ,la porte verte,جماعي,خاص,500
29/03/2018,153,رواق البلماريوم,سامية حداد,نافذتي,جماعي,خاص,1200
29/03/2018,154,رواق البلماريوم,صلاح الدين حبورية,رؤية,جماعي,خاص,2200
29/03/2018,155,رواق البلماريوم,هيفاء مديوني,métamorphose mosquée,جماعي,خاص,1000
29/03/2018,156,رواق البلماريوم,لمياء بن شيخ ابراهيم,شخوص2,جماعي,خاص,1800
29/03/2018,157,مركز الفنون الحية برادس,اكرم طيرة,les verbes du jeu^ploytique de 10 toiles,جماعي,عمومي,3800
29/03/2018,158,مركز الفنون الحية برادس,بسمة هلال,carré tournant,جماعي,عمومي,2000
03/04/2018,159,رواق الف ورقة,جنينة مسعودي,,جماعي,خاص,1000
03/04/2018,160,رواق ألف ورقة,ميرااقدول,,جماعي,خاص,3000
03/04/2018,161,رواق دار المدينة ,منير بن موسى,sans titre ,فردي,خاص,6000
03/04/2018,162,رواق عين,صفوان علولو ,inclusion-spatialisation,فردي,خاص,3800
03/04/2018,163,رواق عين ,محمد البطي,peche de poulpes,فردي,خاص,4000
03/04/2018,164,قصر خير الدين,ماهر العروسي,espace 2,جماعي,عمومي,3000
03/04/2018,165,قصر خير الدين,يسرى الزواوي,omniprésence ,جماعي,عمومي,2500
03/04/2018,166,قصر خير الدين,محسن خلف,إرتسامات,جماعي,عمومي,1400
03/04/2018,167,قصر خير الدين,صالح بن عمر,tantacules,جماعي,عمومي,9000
03/04/2018,168,قصر خير الدين,ألفة عفاّس ,sans titre ,جماعي,عمومي,2500
03/04/2018,169,قصر خير الدين,يسرى محمود,رسم جارف,جماعي,عمومي,2000
03/04/2018,170,قصر خير الدين,وسام غرس الله,cite de la culture - deux points de vues,جماعي,عمومي,4800
03/04/2018,171,قصر خير الدين,ليليا التوهامي,sans titre ,جماعي,عمومي,2800
03/04/2018,172,قصر خير الدين,الناصر اللواتي,scéne n136,جماعي,عمومي,6000
03/04/2018,173,قصر خير الدين,لبنى اللواتي,lucy,جماعي,عمومي,1800
03/04/2018,174,قصر خير الدين,رياض اولاد أحمد ,حديث النرد,جماعي,عمومي,5000
03/04/2018,175,قصر خير الدين,هالة بالشيخ,naissance,جماعي,عمومي,2800
03/04/2018,176,قصر خير الدين,نصاف شكندالي,edokeva,جماعي,عمومي,4000
03/04/2018,177,قصر خير الدين,محمد بو عزيز ,  spring dance ,جماعي,عمومي,6300
03/04/2018,178,قصر خير الدين,فتحي بن زاكور,la coupole,جماعي,عمومي,7000
03/04/2018,179,قصر خير الدين,مهدي عون,لقاء سما oui,جماعي,عمومي,1000
03/04/2018,180,قصر خير الدين,أحمد قطاطة ,au de la ligne rouge,جماعي,عمومي,2500
03/04/2018,181,قصر خير الدين,إنتصار زريبي,ville des fantomes ,جماعي,عمومي,2500
03/04/2018,182,قصر خير الدين,زينب بن عبد الله,jumelles,جماعي,عمومي,6000
03/04/2018,183,قصر خير الدين,لمياء المكي,le voyage,جماعي,عمومي,2500
03/04/2018,184,قصر خير الدين,سلوى فكران,l'impudique,جماعي,عمومي,2100
03/04/2018,185,قصر خير الدين,فردوس الشامخ,imprégnation,جماعي,عمومي,800
03/04/2018,186,رواق على القرماسي,عبد الستار العبروقي,exode,فردي,خاص,3000
03/04/2018,187,دار الفنون بالبلفيدير,عبد العزيز المحسني ,قهمان ,جماعي,عمومي,5000
03/04/2018,188,دار الفنون بالبلفيدير,شهلة سومر,chouchée de soleil a pattaya,جماعي,عمومي,7000
