date,num,endroit_a,endroit_f,nom_artiste_a,nom_artiste_f,titre,prix
05/02/2015,1,رواق يحي البلمريوم,,حكيم البلهوان,,تجليات شعب (ثلاثية),1500
05/02/2015,2,رواق صلدان,,فتحية عيساوي معتوق,,Pain (trip),2100
05/02/2015,3,رواق كاليستي,,زهور قرقوري,,sacré,3500
05/02/2015,4,,,امال قبايلي,,Abstraction,2000
05/02/2015,5,رواق روبتزوف,,وسام العابد,,Trois Tete (trip),4000
13/02/2015,6,دار الفنون,,عمر عبادة حرزالله,,اشارة,800
13/02/2015,7,المركز الثقافي بالحمامات ,,فايزة والي,,Mixage,1200
13/02/2015,8,,,جلال الكسراوي,,بدون عنوان,6000
13/02/2015,9,رواق علي خوجة بالمهدية,,محمد خوجة,,سوق,2000
13/02/2015,10,دار الثقافة بالمهدية,,ندى نصر ,,Amour,600
13/02/2015,11,,,نبيل جرار,,Auto portrait,300
13/02/2015,12,,,طه الليل,,بدون عنوان,100
13/02/2015,13,,,خليفة البرادعي,,Etincelle,2000
13/02/2015,14,,,يوسف خذري,,tour-pion (dip),1000
13/02/2015,15,,,عواطف غضباني,,inhumain,500
13/02/2015,16,,,كريمة بن سعد,,vie mort dyptique,800
13/02/2015,17,,,سماح بن داعي,,Silence d'amour,600
13/02/2015,18,,,محمد امين قمر,,portrait,400
20/02/2015,19,متحف سيدي بوسعيد,,عثمان بابا,,Froid et illusion,1000
20/02/2015,20,رواق سامية عاشور ,,سامية عاشور,,HYMNE  à L'amour,5500
20/02/2015,21,,,خالد الاصرم,,calligraphie,4000
20/02/2015,22,,,طاهر عويدة,,cité rouge,3800
20/02/2015,23,رواق علي القرماسي,,رضا خوجة ,,La tempete,1300
20/02/2015,24,رواق علي عيسى,,علي عيسى,,181,8600
26/02/2015,25,دار الثقافة ابن خلدون,,بشير الزريبي,,Tendresse,7000
26/02/2015,26,رواق عايشة القرجي,,نادية الجلاصي,,Noor mode light,1500
26/02/2015,27,رواق روبتزوف,,رضوان عيادي ,,Palette,1400
26/02/2015,28,,,محمد حشيشة,,papillon,1500
26/02/2015,29,,,عدنان حاج ساسي,,Vision,6000
26/02/2015,30,,,الحبيب بيدة ,,Jeu de formes entrelacées,5000
27/02/2015,31,نادي الطاهر الحداد,,جمال الصغير,,composition,4500
27/02/2015,32,دار الجمعيات العاشورية,,عبد الحميد عمار,,طيور الجنة,6600
27/02/2015,33,قصر خير الدين,,وسام بن حسين,,Envol des ames,5000
27/02/2015,34,,,سمير بن قوية,,سكوت انهم نيام,6000
27/02/2015,35,,,عبد الرزاق حمودة,,زهرة الكمياء (ثلاثية),2400
27/02/2015,36,,,ماجد زليلة,,Bousculade,7000
27/02/2015,37,,,زين الحرباوي,,Ambiance de bar,6000
27/02/2015,38,,,كوثر الجلازي,,portrait(dip),5000
27/02/2015,39,,,وصال بن سليمان,,portraits(dip),1000
27/02/2015,40,,,نبيل سامي,,les etapes du voyage,4500
27/02/2015,41,,,هودى العجيلي,,بدون عنوان,4000
27/02/2015,42,,,مريم بركة,,a la rencontre du hazard,2000
27/02/2015,43,,,عواطف ريدان,,L'oubli ,1000
27/02/2015,44,,,امين محسن غرياني,,5 piéces,2200
06/03/2015,45,متحف سيدي بو سعيد,,هوار بن شعبان,,Folie,250
06/03/2015,46,رواق بشيرة سنتر,,دلال تنقور,,Echec et mat(dip),3000
12/03/2015,47,الفن الجميل,,طارق الفخفاخ,,Centre ville (dip),3200
12/03/2015,48,المكتبة المعلوماتية باريانة,,الهام تقتق,,cri du peuple,2000
12/03/2015,49,,,لطفي عنون,,Actualité,1200
12/03/2015,50,,,فدوى قرقوري,,Embouteillage,1600
12/03/2015,51,,,الفة عفاس,,Multi facette,2200
12/03/2015,52,,,عبد الحميد السقلي,,Authenticité,2500
12/03/2015,53,رواق عين,,الحبيب بو عبانة,,Souvenir,8000
12/03/2015,54,,,الهاشمي مرزوق,,mére et enfant,4000
12/03/2015,55,,,زهرة لرقش,,profondeur,600
12/03/2015,56,,,المختار هنان,,Voisins(dip),3500
12/03/2015,57,,,بديع شوشان,,Le maitre d' œuvre,2500
13/03/2015,58,دار الفنون,,باكر بن فرج,,brids,6000
13/03/2015,59,,,امينة سعودي,,Tamazgha,7000
13/03/2015,60,,,فتحي بن زكور,,الشتاء فوق الربوة,6000
13/03/2015,61,,,معز صفطة,,Retrouvailles(2015),7500
13/03/2015,62,,,محمد بن مفتاح,,Trois amazones orientales,10000
13/03/2015,63,,,نجاة الغريسي ,,la femme à jumelle,7000
13/03/2015,64,,,لمين ساسي,,La vie en rose,10000
13/03/2015,65,,,المنجي معتوق,,papillons,7000
13/03/2015,66,,,علي الفندري,,Expression,3800
13/03/2015,67,,,سامي بن عامر,,Cosmos,8000
