date,num,endroit_a,nom_artiste_a,type_d_exposition_a,type_de_galerie_a,prix
16/11/2017,313,المركب الثقافي سيدي بوزيد,حسين عطي,جماعي ,عمومي,3500
16/11/2017,314,المركب الثقافي سيدي بوزيد,سامي عافي,جماعي ,عمومي,2000
16/11/2017,315,دار الثقافة باب بحر صفاقس,محمد العزابو,فردي,عمومي,1800
16/11/2017,316,دار الثقافة باب بحر صفاقس,خالد الفقي,جماعي ,عمومي,2500
16/11/2017,317,دار الثقافة باب بحر صفاقس,برهان بن عربية,جماعي ,عمومي,2200
16/11/2017,318,رواق برج قلال صفاقس,رضا الغالي,فردي,خاص,2000
16/11/2017,319,رواق برج قلال صفاقس,مراد زراعي,فردي,خاص,3800
16/11/2017,320,رواق علي خوجة المهدية,رندة داود,جماعي ,خاص,550
16/11/2017,321,رواق علي خوجة المهدية,نوال السحباني,جماعي ,خاص,1200
16/11/2017,322,المعهد العالي للفنون و الحرف صفاقس,سلوي العايدي,فردي,خاص,3500
21/11/2017,323,رواق يحي بالبارمايوم ,إيمان العلوي ,فردي,خاص,3600
21/11/2017,324,رواق علي القرماسي ,إبراهيم العزابي ,فردي,خاص,9000
21/11/2017,325,المدرسة السليمانية ,كوثر مقديش ,جماعي ,عمومي,2400
21/11/2017,326,المدرسة السليمانية ,جيهان الهنتاني,جماعي ,عمومي,2200
21/11/2017,327,المدرسة السليمانية ,رحمة بوطبة,جماعي ,عمومي,1800
21/11/2017,328,المدرسة السليمانية ,يسر الجموسي ,جماعي ,عمومي,4600
21/11/2017,329,النادي الثقافي الطاهر الحداد,نسيبة العيادي العروسي,فردي,عمومي,1000
21/11/2017,330,دار الثقافة جبل الجلود,ليلى السلماوي,فردي,عمومي,8000
21/11/2017,331,رواق الفنون ببن عروس ,خليفة البرادعي,فردي,عمومي,4000
21/11/2017,332,المركب الثقافي بحمام الأنف ,توفيق الكوكي ,فردي,عمومي,3500
21/11/2017,333,رواق سيفونيبة قرطاج,نزيهة قيقِة ,فردي,خاص,9000
21/11/2017,334,فضاء صديقة ,أمال بن حسين ,فردي,خاص,5000
21/11/2017,335,رواق كاليستي ,حسن الصوفي ,جماعي ,خاص,4800
21/11/2017,336,رواق كاليستي ,محمد بن مفتاح,جماعي ,خاص,4000
