date,num,endroit_a,endroit_f,nom_artiste_a,nom_artiste_f,titre,prix
11/04/2014,1,نجمة المدينة,,محمد حشيشة,,la famille,2500
11/04/2014,2,,,علي رضا,,Chaine et barrière,3000
11/04/2014,3,,,حمادي بن  نية,, prèsidents (Trip),2000
11/04/2014,4,,,صارة بن عطـية ,,"lettre ,L’arme",2000
11/04/2014,5,رواق عين,,بديــــع شوشان,, E talage,2500
11/04/2014,6,,,هاشمي مرزوق,,Femme à bicyclette,3000
11/04/2014,7,,,حبيب  السعيـدي,,L' exonèrè d' exode,6000
11/04/2014,8,,,Victor Sarfati,,Méditation,1600
11/04/2014,9,جنان مقني,,عامر مقني,,العاصفـــــــــــــة ,1900
11/04/2014,10,رواق علي القرماسي,,جمال عبد الناصر,,Les pécheurs( Seri de 4),1200
11/04/2014,11,المكتبة المعلوماتية,,عبد المجيدعياد,,ربيــــــــــــــــع الانترنات,3500
11/04/2014,12,رواق الفن الجميل,,بحري زرود,,La clef de la vie,800
11/04/2014,13,رواق كالستي,,حمدة دنيدن,, Familia,9000
11/04/2014,14,رواق المدينة,,غزوة الرياحي,, le couple,1000
18/04/2014,15,المركز الثقافي الفاضل بن عاشور,,يسر الجموسي,,بدون عنــــــــــــــــــــوان,4000
18/04/2014,16,,,المختار هنان,,الميناء القديم بنزرت,1500
18/04/2014,17,,,رحمة بو طبة,,بدون عنــــــــــــــــــــوان,1800
18/04/2014,18,,,ميكالا سارتي,, The,1700
18/04/2014,19,,,وليد الغيزاني,,بدون عنــــــــــــــــــــوان,1200
18/04/2014,20,,,محمد البعتي,,اصتيــــــــــــاد ليلي 1,4500
18/04/2014,21,,,سناء المحفوضي,,Gestation,1500
18/04/2014,22,,,حنان قرعة,,بدون عنــــــــــــــــــــوان,1800
18/04/2014,23,,,المنصف نوار,,حــــــــــــــــــــدث,5000
18/04/2014,24,,,ليلى السهيلي,,بدون عنــــــــــــــــــــوان,2800
18/04/2014,25,,,محمد بن عياد,,Consolation,2500
18/04/2014,26,,,عدنان الحاج ساسي,,تبـــــــــــــــع الغرزة,6000
18/04/2014,27,,,اكرام تيرة,,electro-ménagerie,3000
18/04/2014,28,,,اميرة مطيمط,,Indépendance,2000
18/04/2014,29,,,حنان بن عايشة,,بدون عنــــــــــــــــــــوان,1800
18/04/2014,30,,,خولة بن سعيد,,Silence! On bavarde,1000
18/04/2014,31,,,سلوى العائدي,, Fantasme,1500
18/04/2014,32,,,سمر السماوي,,تمـــــــــــــــــــــــــــــزق,750
18/04/2014,33,نادي الطاهر الحداد,,منير بن موسى,,بدون عنــــــــــــــــــــوان,3800
18/04/2014,34,,,فتحية علي,,Brise  d' antan,1400
18/04/2014,35,رواق القستنتيني,,محمد  سامي بشير,, Froytime 1,3000
18/04/2014,36,,,علية الكاتب,,La contatrice chauve,1800
18/04/2014,37,,,عبد الجبار النعيمي,,تجليـــــــــــــــــــات الكتلة,2000
18/04/2014,38,,,عمر الغدامسي,,Situation (dip),1000
18/04/2014,39,,,هادي التركي,,GRANDE CHAMIERE,3000
18/04/2014,40,رواق عمار فرحات ( القرجي),,عماد جميل,, Hors-texte,8000
18/04/2014,41,رواق سامية عاشور,,سندة الماجري,,souvenir du bien-aimé,3500
18/04/2014,42,,,خالد لصرم,, Oasis,5000
18/04/2014,43,رواق صلدان,,حبيب بحوال,,Visions,4000
24/04/2014,44,رواق الف ورقة,,محمد السهيلي,, consultation,15000
24/04/2014,45,رواق الفن الجميل,,ديليزار شطورو,,Jeu D' enfant,1500
24/04/2014,46,المكتبة المعلوماتية,,نجوى مهدي كشو,,hommage,1000
24/04/2014,47,,,ريم بن عبد الله,,L Apogée,600
24/04/2014,48,,,سحر القسنطيني,,هوية,350
24/04/2014,49,رواق المرسى,,نبيل الصوابني,,Lames à feux,7000
24/04/2014,50,رواق الهادي التركي,,محسن الزغلامي,,L'Artisteet L’Instituteur(2),2800
24/04/2014,51,قصر خير الدين,,علي البرقاوي,,بدون عنــــــــــــــــــــوان,3000
24/04/2014,52,متحف باردو,,نايلة بن عياد,,Cercles devies (dip),2000
24/04/2014,53,,,سعاد المهبولي,,Désir camouflé,3000
24/04/2014,54,,,ماهر الطربلسي,,Attente,5000
24/04/2014,55,,,علي فاخت,,"Plasti-Cité n° 4, Effervescence",2800
25/04/2014,56,المركب الثقافي بنابل,,رياض بالحاج احمد,,انجذاب,1500
25/04/2014,57,رواق حضر موت سوسة,,فاطمة سلامة,,Schizophrénie,500
25/04/2014,58,,,الهام العربي زكور,,Sonorité Interieure,3500
25/04/2014,59,,,هدى رجب,,Amulette,4800
25/04/2014,60,,,ابراهيم العزابي,,Clin D' œil à klee,8000
25/04/2014,61,,,وسام بن حسين,,Maternité,4000
25/04/2014,62,,,ديلزار شتورو,,بدون عنــــــــــــــــــــوان,4000
25/04/2014,63,,,هدى التونسي,,Couple,1500
25/04/2014,64,,,Jo Ann Morning,,Dream space medina,3000
25/04/2014,65,,,نهلة الوسلاتي,,بدون عنــــــوان (ثلاثية),3000
25/04/2014,66,,,زين الحرباوي,,Bain maure,4000
25/04/2014,67,,,علي البتروني,,Janus,3000
25/04/2014,68,,,شاهر الماجري,,Reve,400
25/04/2014,69,,,هيفة المديوني,,Humain criant,2000
25/04/2014,70,,,نجوى عبد المقصود,,سالب و موجب (ثنائية),3000
25/04/2014,71,رواق الصقجي سوسة,,احمد رجب,,SDF,1100
25/04/2014,72,,,احمد تليلي,,Le Sphinx,1500
25/04/2014,73,المركز الثقافي سوسة,,محمود الخليفي,,المجهول,2500
25/04/2014,74,المتحف الاثري سوسة,,لطفي بن صالح,,Génération fragmentée,2500
25/04/2014,75,,,نجاح منصوري,,Composition,2500
25/04/2014,76,,,زبيدة الشماري,,Lachez les ballons,4500
25/04/2014,77,,,خليفة البرادعي,,Explosion,1700
25/04/2014,78,,,خديجة العمري,,Pulsion-impulsion,2500
25/04/2014,79,المكتبة الجهوية بسوسة,,محمد امين حمودة,,بدون عنــــــــــــــــــــوان,2000
02/05/2014,80,رواق الفنون و التنوير,,بسمة بن يحيى,,Consensus,4500
02/05/2014,81,,,محمد بن مفتاح,,Scén.parodisiaque,5000
02/05/2014,82,,,وسام غرس الله ,,Hic et nuc(trip),4500
02/05/2014,83,,,حاتم غربي,,Climatiseur saliha,6000
02/05/2014,84,,,محمد بو عزيز,,Composition,4000
02/05/2014,85,,,وليد بالخال,,Espoire déévsion(dip),1700
02/05/2014,86,,,بشير الزريبي,,Virtuosité de la danseuse,6000
02/05/2014,87,,,رشيد فخفاخ ,,Composition G1,7000
02/05/2014,88,,,حبيب جماعي,,Le quotidien,4000
02/05/2014,89,,,باكر بن فرج ,,Fillet,6000
02/05/2014,90,,,سامي بن عمر,,Spirale,7000
02/05/2014,91,,,صابر بحري,,Fresque de Mahmoud Darwiche,3500
02/05/2014,92,,,عبد الوهاب الشارني,,Le chat et le poisson,4500
02/05/2014,93,,,رضوان عيادي ,,Geolyorisme,6000
02/05/2014,94,,,زهور غرغوري ,,Rytme 2,3000
02/05/2014,95,,,ناصر بن الشيخ ,,Mirage au bord de lac,2000
02/05/2014,96,,,Sylvain Monteleone ,,Impression soleil couchent,900
02/05/2014,97,,,زهرة بن حميدة,,بدون عنــــــــــــــــــــوان,900
02/05/2014,98,قصر خير الدين,,امينة سعودي,,Magreb pluriel,6000
02/05/2014,99,,,عز الدين البراري,,سطمبالي,3000
02/05/2014,100,,,رحاب شهيدة,,Mon nom est rouge,800
02/05/2014,101,,,هالة بالشيخ,,Angoisse,2000
02/05/2014,102,,,المنجي معتوق,,L' attentat,8000
02/05/2014,103,,,شيماء زعفوري,,بدون عنــــــــــــــــــــوان,900
02/05/2014,104,,,نصر الدين العسالي,,L'avenu,4000
02/05/2014,105,,,حلمي الجريبي,,شعاع من الضوء,3200
02/05/2014,106,,,الحبيب بيدة ,,Evenement,4500
02/05/2014,107,,,عمر عبادة حرز الله,,امواج,800
02/05/2014,108,,,اميمة بن سلطان,,Regard lyadique,1100
02/05/2014,109,,,ريناطا الدليمي,,بدون عنــــــــــــــــــــوان,3000
02/05/2014,110,,,ناجي الثابتي,,Espace texturé,6000
02/05/2014,111,,,وئام عزوز,,بدون عنــــــــــــــــــــوان,400
02/05/2014,112,رواق حشاد,,سمير مخلوف,,Le mangeur de planete,1100
02/05/2014,113,,,شهلة سومر,,Reve insolite (dip),1500
02/05/2014,114,,,عمر بن محمود,,بدون عنــــــــــــــــــــوان,10000
02/05/2014,115,,,نهى ماجري,,Versicolor,1000
02/05/2014,116,,,مريم بالطيب,,بدون عنــــــــــــــــــــوان,1500
02/05/2014,117,,,عبد الملك العلاني,, barque blanche (dip),1200
02/05/2014,118,,, عبد الحميد حجام,,Femme Accroupie,2000
02/05/2014,119,رواق صلدان,,نبيل سامي,,Centrefuge(dip),3000
02/05/2014,120,دار الكتب الوطنية,,انصاف كيلاني الناصر,,بدون عنــــــــــــــــــــوان,500
02/05/2014,121,,,فيصل ماجري,,peut etre (dip),1250
02/05/2014,122,,,ياسر جرادي,,ibnou Aarbi,1500
02/05/2014,123,,,صابر الصحراوي,,Sauvage,2000
02/05/2014,124,,,سليمان الكامل,,Ecran,1300
02/05/2014,125,,,عماد جميل,,Page paysage,3000
02/05/2014,126,,,Asma Ghiloufi,,Punition 1,600
02/05/2014,127,رواق اسطرلاب,,محمد اليعقوبي,,Composition 2,4000
02/05/2014,128,رواق كالستي,,Victor Sarfati,,Scéne de fripe 2,1700
02/05/2014,129,رواق عين,,احلام بو صندل,,Cercle voilé,4000
02/05/2014,130,رواق علي عيسى,,علي عيسى,,trapéze,8500
07/05/2014,131,رواق ايقار,,Darine Trigui,,quand la bouche dit oui le regard dit peut-etre,1200
07/05/2014,132,رواق التياترو,,خالد عبد الرابح ,,Poissons,1800
07/05/2014,133,,,دلال الجنحاني,,le portraitiste,1600
07/05/2014,134,,,وردة العافي,,Défi 3,800
07/05/2014,135,,,زياد الاصرم,,Scéne 1,4000
07/05/2014,136,المكتبة المعلوماتية اريانة,,ايمان العروسي,,بدون عنــــــــــــــــــــوان,500
07/05/2014,137,رواق سامية عاشور,,طاهر عوادة,,Village D'artiste,3200
07/05/2014,138,رواق المدينة,,فتحي بن زكور,,L' oiseau royal,2500
09/05/2014,139,المركز الثقافي بالحمامات,,هادي فنينة,,Golfe de hammamet,2000
09/05/2014,140,,,فائز سفر,,بدون عنــــــــــــــــــــوان,3500
09/05/2014,141,المعد العالي للفنون و الحرف بصفاقس,,نجوى عبد المقصود,,Errance et espérance (trip),3800
09/05/2014,142,,,رندة داود,,Regard 2,1500
09/05/2014,143,,,أحلام مقديش بالحاج رحومة,,Rencontre Civilisationnelle (3),1500
09/05/2014,144,رواق باب القصبة صفاقس,,خليل قويعة,,Contus,6000
09/05/2014,145,,,محمد الرقيق,,Croisement,1300
09/05/2014,146,,,منذر المطيبع,,ثلاثة انعكسات عبر القماش الاسود,4000
09/05/2014,147,الرواق البلدي للفنون,,محمد العزابو,,اسطورة سيزيف,300
