Nom-Bibliothéque,Fond-de-La-Bibliothques-2018 ,fond-De-La-Bibliotheques-2017,Fond-de-La-Bibliothques-2019,Fond-de-La-Bibliothques-2020 
bibliothéque régional tataouine ,34181,32958,,35327
bibliothéque publique tataouine nord,14858,14869,15746,15601
bibliothéque publique birlahmer,13873,13606,13999,13967
bibliothéque publique rogba,13233,13108,13570,13567
bibliothéque itinérante 1,13873,16620,,
bibliothéque publique rmada,20972,20344,21477,21452
bibliothéque publique dhhiba ,16706,17020,,17473
bibliothéque publique binimhira,13984,13069,13970,15837
bibliothéque publique ferech,6190,5833,7007,7162
bibliothéque publique ksar hdada,13936,13153,15339,15621
bibliothéque publicque ghoumrassen,21659,20757,21833,22665
bibliothéque publique smar ,12879,12544,13951,13951
bibliothéque publique ksar awled soultane,4040,0,4692,5339
bibliothéque itinérante 2,3301,0,3606,4309
bibliothéque publique Ksar awled dabeb,,,8356,8577
