num_source;nom_source;situation;gouvernorat;Altitude;Temperature;Debit;pH;residu_sec;durete_total;calcium;Magnesium;Sodium;Potassium;Bicarbonate;Sulfate;Chlorure;Fluorures;Nitrate;sulfure;Element_en_traces;Classification;maladies_metaboliques;rhumatologie;dermatologie;digestif;gynecologie;respiratoires;appareil_urinaire;phlebologie;remise_forme;systeme_nerveux;station_thermale;bain_thermal;um_bouteille;autres;indications;technique_cure
25;AIN BOU MENTEN;"Ain  Bou Menten se trouve à  4 km à l'Ouest des sources de Hammam Bourguiba, près de la frontière algérienne. 
Altitude : 150 mètres.";JENDOUBA;150;30;faible;7.0;1244;14.6;40.00;11.18;396.00;20.00;854.00;14.76;266.25;0.85;traces;;non déterminés;Eau thermale de type bicarbonatée sodique, sulfurée;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Voies respiratoires :Pathologie ORL et bronchopulmonaire : rhinites chroniques et récidivantes, sinusites chroniques et récidivantes, sinusites suppurées, séquelles d'interventions; amygdalites chroniques, laryngites récidivantes et chroniques, angines et pharingites à répétition, rhinopharingites; trachéites, bronchites, dilatation des bronches, asthme. Dermatologie : Dermatite atopique, eczéma, lichens, prurits, séborrhée et acné;Séquelles de brülures;-Affections des muqueuses bucco-liguales : atteinte buccale des dermatoses, lichen plan, leucoplasie; maladies du parodonte (gingivite, parodontites, parodontolyses, pyorrhées alvéolodentaires)";Voies respiratoires :Gargarisme, irrigation nasale, pulvérisation pharyngée, humage-nébulisation Dermatologie : Bains Thermaux
26;AIN EL BEY;"La source thermale de Ain El-Bey se trouve à 15 km au Sud-Est de Tunis. Les sources thermales de Hammam Lif étaient déjà connues du temps des Romains qui avaient donné à la localité le nom de « Ad aquas ».
Altitude : 8 mètres  (non loin du rivage)";BEN AROUS;8;43;2 l/s;6.7;15816;307;960.00;162.94;3776.60;124.02;622.00;1056.00;7268.00;2.80;7.17;;SiO2, Sr, Rb, B, Mn, Li, Fe, Zn, Cu, Ni, Pb;Eau thermale chlorurée sodique forte, sulfatée;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;Rhumatologie : Arthrose : arthrose lombosacré, coxarthrose, gonarthrose, arthrose vertébrale et des mains -Rhumatisme inflammatoire(en dehors des poussées évolutives) : polyarthrite rhumatoïde , pelvispondylite rhumatismale, rhumatisme psoriasique et gouteux .Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites , bursites. -Syndromes algiques : cervicalgies, cercicobrachialgies, sciatiques.Ostéopathie raréfiante simple ou compliquée de tassements vértébraux , ostéoporose, ostéopathies endocriniennes, maladie de Paget.Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie, contractures. Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon . Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, lichen, prurits .Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.;Bains Thermaux
27;AIN EL ARIANE;"La source thermale de Ain El-Ariane se trouve à 15 km au Sud Est de Tunis . Les sources thermales de Hammam Lif étaient déjà connues du temps des Romains qui avaient donné à la localité le nom de « Ad aquas ». La source de Ain El Ariane  allimente l'établissement municipal où on pratique la balnéothérapie.
Altitude : 8 mètres environ (non loin du rivage)";BEN AROUS;8;46;2.5 l/s;6.60;15748;315;960.00;182.40;3776.60;124.02;597.00;1116.00;7923.00;2.70;1.94;;SiO2, Sr, Ba, B, Rb, Li, Fe, Zn, Cu, Mn, Co;Eau thermale à dominance chlorurée sodique, sulfatée calcique.;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie : 
- Rhumatismes dégénératifs : arthrose lombosacré, coxarthrose, gonarthrose , arthrose vertébrale et des mains. 
-Rhumatisme inflammatoire (en dehors des poussées évolutives) : polyarthrite rhumatoïde, pelvispondylite rhumatismale, rhumatisme psoriasique et gouteux.
-Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites, bursites.
-Syndromes algiques : cervicalgies , cercicobrachialgies, sciatiques.
-Ostéopathie raréfiante simple ou compliquée de tassements vértébraux , ostéoporose , ostéopathies endocriniennes , maladie de Paget. 
-Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie,contractures. 
-Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon .
Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, prurits, lichen. 
Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.";
28;AIN OKTOR;"Ain Oktor se trouve à 50 km à l'Est de Tunis. Les sources sourdent au bord de la mer. 
Altitude : 5 mètres";NABEUL;5;19;0.3 l/s;7.5;1328;56.9;129.05;59.99;293.34;6.58;324.52;181.45;521.97;0.48;16.70;;Mn, Cr, Fe, Co, Al, Sr, Zn, Se, As, Cu,;Eau de type chlorurée sodique;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;"Maladies de l'appareil urinaire : lithiase oxalique et uratique ; cure de diurèse après lithotritie ; affections uronéphrologiques, pyelonéphrites chroniques, malformations urologiques. Maladies métaboliques :goutte, sédentarité, insuffisance hépatique. Elle est déconseillée aux hypertendus et aux cardiaques, ainsi que dans le cas des lithiases phosphatiques.";
29;AIN FAKROUN;Ain Fakroun se trouve au niveau de la mer à 2 km de la ville de Korbous.;NABEUL;0;37;1 l/s;6.6;12100;337.5;1027.50;193.50;2834.00;50.00;561.20;1938.00;5927.00;2.90;1.50;;non déterminés;Eau thermale chlorurée sodique forte, riche en sulfate, calcium et magnésium;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Rhumatologie:  Rhumatismes articulaires chroniques : périarthrites, tendinites et bursite ;Rhumatismes inflammatoires chroniques en dehors des poussées : pelvispondylite rhumatismale et polyarthrite rhumatoïde ; Séquelles des traumatismes ostéo-articulaires et des interventions chirurgicales : suite de fractures avec ou sans ostéosynthèses, retard de consolidation, séquelles d'entorses, de luxations, raideur articulaire ; arthropathies diverses de la sénescence.  Arthroses dans toutes ses localisations et manifestations ; ostéoporose .Dermatologie:Dermatite atopique, dermatose, psoriasis, eczéma, lichens, prurits, acné et séborrhée, allergies intriquées. Séquelles de brülures.  Phlébo-angiologie :  Insuffisances veineuses et lymphatiques (oedèmes chroniques, dermite purpurique, ulcères des jambes), suite et séquelles de phlébites, acrosyndromes vasculaires.  Gynécologie : séquelles d'affections inflammatoires, algies pelviennes chroniques, les troubles congestifs et neurotoniques de la ménopause.";Bains et douches Thermaux
30;AIN KALASSIRA;"La source thermale de Ain Kalassira se trouve à  environ 51 km environ à l'Est de Tunis et était déjà connues depuis la plus haute antiquité. Les « curistes » ont aménagé un petit bassin dans lequel ils se baignent.";NABEUL;;44;1.4 l/s;6.6;12246;280;820.00;182.40;3392.50;45.00;524.60;2214.00;5325.00;3.10;3.10;;SiO2, Rb, Mn, B, Li, Fe, Zn, Cu, Pb;Eau thermale  chlorurée sodique;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Rhumatologie et séquelles des traumatismes ostéo- articulaire : Rhumatisme chronique dégénératif (arthroses) , rhumatisme inflammatoire chronique (arthrites), polyarthrite rhumatoïde, sciatiques, cruralgies, cervicalgies, dorsalgies rhumatisme goutteux, retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires :atrophie, contractures, tendinites, pelvispondylites, récupérations fonctionnelles des traumatismes et de la chirurgie orthopédique . Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, acné et rosacé, lichen, prurits . Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.;Bains Thermaux
31;AIN SBIA;La source thermale de Ain Sbia se trouve à 51 km à l'Est de Tunis en passant par Hammam Lif . La source était déjà connue depuis la plus haute antiquité.;NABEUL;;50;faible (0.7l/s);7.2;12272;270;780.00;182.40;3088.90;93.20;512.40;1364.00;5266.00;2.80;traces;;non déterminés;Eau hyperthermale de type chlorurée sodique;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Rhumatologie : Arthrose , rhumatismes dégénératifs : arthrose lombosacré, coxarthrose , gonarthrose , arthrose vertébrale et des mains Rhumatisme inflammatoire (en dehors des poussées évolutives) : polyarthrite rhumatoïde, pelvispondylite rhumatismale, rhumatisme psoriasique et gouteux . Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites, bursites. Syndromes algiques : cervicalgies , cercico-brachialgies, sciatiques. Ostéopathie raréfiante simple ou compliquée de tassements vertébraux , ostéoporose , ostéopathies endocriniennes , maladie de Paget. <BR>-Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d&#8217;entorse et de luxations, séquelles musculaires : atrophie,contractures. Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon . Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, lichen, prurits. Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.";Bains Thermaux
32;AIN ECHFA;"La source thermale de Ain Echfa se trouve à 51 km à l'Est de Tunis en passant par Hammam Lif . La source était déjà connue depuis la plus haute antiquité. 
Altitude : 5 mètres";NABEUL;5;59.5;24 l/s;7.5;11812;263.6;755.88;181.57;2980.00;86.41;561.20;1724.09;5700.00;2.80;traces;;Co,Se,Cu,Pb, Mn, Ni, Fe, SiO2, Sr, Ba, B, Li, Zn;Eau hyperthermale à dominance chlorurée sodique;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;"Rhumatologie : Arthrose , rhumatismes dégénératifs : arthrose lombosacré, coxarthrose , gonarthrose , arthrose vertébrale et des mains Rhumatisme inflammatoire(en dehors des poussées évolutives) : polyarthrite rhumatoïde , pelvispondylite rhumatismale , rhumatisme psoriasique et gouteux . -Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites , bursites. -Syndromes algiques : cervicalgies , cervicobrachialgies, sciatiques. -Ostéopathie raréfiante simple ou compliquée de tassements vértébraux , ostéoporose , stéopathies endocriniennes , maladie de Paget. -Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation , cals hypertrophiés , toutes les suites d&#8217;entorse et de luxations, séquelles musculaires : atrophie,contractures. -Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon . Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlure, psoriasis, dermites allergiques, prurits, lichen . Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.";Bains Thermaux
33;AIN EL ATROUS;"Ain El-Atrous se trouve à 1 km au Nord de Korbous. Elle est captée et ses eaux ne sont pas utilisées pour le moment.
Altitude : 5 mètres.";NABEUL;5;58.6;39 l/s;6.7;12352;299;800.00;240.76;2953.20;89.70;536.80;2110.13;4970.00;3.20;Abs;;SiO2, Sr, B, Li, Fe, Zn, Cu, Rb, Mn, Pb;Eau hyperthermale, typiquement chlorurée sodique forte;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Rhumatologie :Rhumatismes articulaires chroniques: périarthrites, tendinites et bursites.Rhumatismes inflammatoires chroniques en dehors des poussées pelvispondylite rhumatismale et polyarthrite rhumatoïde .- Séquelles des traumatismes ostéo-articulaires et des interventions chirurgicales suite de fractures avec ou sans ostéosynthèse, retard de consolidation, séquelles d'entorses, de luxations, raideur articulaire, arthropathies diverses de la sénescence.- Arthroses dans toutes ses localisations et manifestations ; ostéoporose.Dermatologie : -Dermatites atopique, dermatoses, psoriasis, Eczéma, lichens, peurits, acné séborrhéque, allergies intriquées.- Séquelles de brûlures Phlébologie :- Séquelles de phlébites et péri-phlébites ; insuffisances veineuses et lymphatiques (oedèmes chroniques, dermite purpurique, ulcères variqueux), acrosyndromes vasculaires ; post-stripping.Gynécologie: Séquelles d'affections inflammatoires, allergies pelviennes chroniques, troubles congestifs et neurotoniques de la ménopause.";Bains et douches Thermaux
34;SOURCE SOUS MARINE;;NABEUL;;;;0.00;;;0;0;0;0;0;0;0;;;;;;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Rhumatologie: - Rhumatismes articulaires chroniques : périarthrites, tendinites et bursite ; -Rhumatismes inflammatoires chroniques en dehors des poussées : pelvispondylite rhumatismale et polyarthrite rhumatoïde ; - Séquelles des traumatismes ostéo-articulares et des interventions chirurgicales : suite de fractures avec ou sans ostéosynthèses, retard de consolidation, séquelles d'entorses, de luxations, raideur articulaire ; arthropathies diverses de la sénescence. - Arthroses dans toutes ses localisations et manifestations ; ostéoporose . Dermatologie: -Dermatite atopique, dermatose, psoriasis, eczéma, lichens, prurits, acné et séborrhée, allergies intriquées. -Séquelles de brülures. Phlébologie :- Séquelles de phlébites et péri-phlébites ; insuffisances veineuses et lymphatiques (oedèmes chroniques, dermite purpurique, ulcères variquex), acrosyndromes vasculaires ; post-stripping. Gynécologie : - séquelles d'affections inflammatoires, algies pelviennes chroniques, les troubles congestifs et neurotoniques de la ménopause.";
35;HAMMAM JEDDIDI;"Le hammam se trouve à 78 km au Sud Est de Tunis.
 Altitude : 103 mètres";NABEUL;103;60;15 l/s (par pompage);6.90;18960;256.85;829.46;120.40;5520.00;179.40;414.80;1700.00;9585.00;1.50;1.77;;Cu, As, Se, SiO2, Sr,B, Pb, Li, Zn, Mn, Ni,  Sb, Fe, Ba;Eau hyperthermale chlorurée sodique forte;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie :-Arthrose, rhumatismes dégénératifs : arthrose lombosacré, coxarthrose , gonarthrose, arthrose vertébrale et des mains. -Rhumatisme inflammatoire (en dehors des poussées évolutives) : polyarthrite rhumatoïde, pelvispondylite rhumatismale, rhumatisme psoriasique et gouteux . -Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites , bursites. -Syndromes algiques : cervicalgies , cervicobrachialgies, sciatiques. -Ostéopathie raréfiante simple ou compliquée de tassements vertébraux , ostéoporose , ostéopathies endocriniennes , maladie de Paget. -Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie,contractures.-Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon . Dermatologie : - Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, lichen, prurits . ; Gynécologie: - Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.";Bains Thermaux
36;AIN AYED;"Ain Ayed est située à jebel Zaghouan, au Nord- Est de la Tunisie, elle s'étend de la vallée de l'oued Rmel au Nord- Est jusqu'à la route reliant Fahs à Saouaf.";ZAGHOUAN;;18;23.5 l/s;7.3;520;37.6;117.24;20.22;44.13;1.21;231.80;164.54;56.80;0.47;6.34;;SiO2, Al, O2dissous;Eau de type bicarbonatée calcique, sulfatée magnésienne;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Une étude clinique est à réaliser en vue de déterminer les indications thérapeutiques.;
37;HAMMAM ZRIBA;"Hammam Zriba se trouve à 58 km de Tunis, sur la route reliant Zaghouan à Enfidha. La source jaillit dans le lit de l'Oued El-Hammam juste à la sortie du canyon. Actuellement l'eau thermale alimente un bassin pour femmes et un autre  pour hommes ainsi que des bassins individuels alimentés par pompage.
Altitude : 170 mètres";ZAGHOUAN;170;44;8 à 60 l/s;6.9;5880;220;640.00;145.92;1132.74;24.40;256.20;1770.09;1924.57;2.30;1.41;;SiO2, Sr, B, Li, Pb, Mn, Ni, Rb, Ag, Co, Fe, Cu, Zn, As;Eau thermale chloro-sulfatée sodico-calcique;FAUX;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;"Rhumatologie :
-Maladies arthrosiques : du rachis à tous les niveaux (arthrose cervicale, lumbago, lombo-sciatique), gonarthrose, coxarthrose, des petites articulations périphériques ; rhumatisme inflamatoire chronique (arthrites), polyarthrite rhumatoïde, sciatiques ; douleurs d'origine divers :  cruralgies, cervicalgies, dorsalgies, tendinites chroniques, périarthrite scapulo-humérale, myalgies ; rhumatisme goutteux ; séquelles musculaires : atrophie, contractures.
-Réeducation post-chirurgicales ou post-traumatiques: arthrodèses, ostéotomies, arthroplasties, algies diffuses du moignon, retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations.
Dermatologie : 
- Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques,  acné et rosacé, lichens, prurits.
Affections du système nerveux : 
-Névrites, névralgies, séquelles d'hémoplégie et de paraplégie, plexites, séquelles de poliomyélite aiguë .
Voies respiratoires:
-Sinusites, rhinites, ozène , pharyngites, amygdalites, laryngites
bronchite chronique, asthme, tracheites, catarrhe tubo-tympanique et surdité rhinogène
Gynécologie:
-Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition ,  sequelles post-opératoires.";Bains Thermaux
38;JEBEL-OUST;"La station thermale de Jebel-Oust se trouve à 38 km au Sud Ouest de Tunis, sur la route de Zaghouan. La source est connue depuis le temps des romains comme le prouvent  les thermes bien conservés. Actuellement, l'eau thermale est captée dans une grotte naturelle au fond d'une galerie minière de 105 métres de longueur.
Altitude : 130 mètres";ZAGHOUAN;130;54;3 l/s(gravitaire),15 l/s(par pompage);7.9;18684;316.95;992.00;167.80;4991.00;167.70;536.80;2814.00;8094.00;2.30;Abs;;SiO2, Sr, Ba, B, Fe, Rb, Zn, Mn, Ag, Li;Eau hyperthermale de type chlorurée sodique;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;Rhumatologie :-Arthrose, rhumatismes dégénératifs : arthrose lombosacré, coxarthrose , gonarthrose, arthrose vertébrale et des mains. -Rhumatisme inflammatoire (en dehors des poussées évolutives) : polyarthrite rhumatoïde, pelvispondylite rhumatismale, rhumatisme psoriasique et gouteux . -Rhumatismes articulaires : périarthrites scapulo-humérales, tendinites , bursites. -Syndromes algiques : cervicalgies , cervicobrachialgies, sciatiques. -Ostéopathie raréfiante simple ou compliquée de tassements vertébraux , ostéoporose , ostéopathies endocriniennes , maladie de Paget. -Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie,contractures. -Séquelles chirurgicales : arthrodèse, ostéotomie , arthroplasties , algies diffuses du moignon . Dermatologie : - Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, lichen, prurits, acné et rosacé . Gynécologie: - Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.;Bains Thermaux
39;HAMMAM KSOUR ESSEF;"Le Hammam se trouve au centre ville de Ksour Essef, gouvernorat de Mahdia.
Ce hammam qui fut alimenté à partir d'un forage existant est actuellement en fermeture.";MAHDIA;;39.5;76 l/s (artésien);7.5;10136;137;300.00;150.80;2370.00;28.75;231.80;2396.00;3727.50;0.35;Abs;;non déterminés;Eau à forte minéralisation, de type chloruré sodique, sulfaté-calcique,magnésien;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie: - Rhumatismes articulaires chroniques : péri-arthrites, tendinites et bursite ; -Rhumatismes inflammatoires chroniques en dehors des poussées : pelvispondylite rhumatismale et polyarthrite rhumatoïde ; - séquelles des traumatismes et des interventions chirurgicales : retard de consolidation, raideur articulaire ; arthropathies diverses de la sénescence.- Arthroses dans toutes ses localisations et manifestations ; ostéoporose .Dermatologie:-Dermatite atopique, dermatose, psoriasis, eczéma, lichens, prurits, acné séborrhèque ; -Séquelles de brülures.";Bains Thermaux
40;FORAGE SOUKRA (CRISTAL);"Le forage se trouve à 22 km au Sud Est de Siliana.";SILIANA;;22;10 l/s (accordé au promoteur);7.2;391;30.7;102.33;12.56;16.70;0.54;320.12;40.77;37.94;0.22;6.14;;Ni, Sb, Co, Al, Sr, Fe, Zn, Se, As, Cu;Eau de type bicarbonaté cacique;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;Affections urinaires : - calculose rénale, infections urinaires récidivantes, malformations urologiques, cure de diurèse Surcharge pondérale et trouble métaboliques -obésité, goutte;
41;AIN BOUSSADIA;"Source située à  jebel Bargou, gouvernorat de Siliana";SILIANA;;20;8 l/s;7.5;376;28.35;108.00;3.40;15.00;1.30;317.20;18.04;34.50;0.21;traces;;non déterminés;Eau de type bicarbonaté calcique à faible minéralisation;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Une étude clinique est à réaliser en vue de déterminer les indications thérapeutiques. ;
42;FORAGE SODGA F 1;Ensemble de forages implantés le long du flanc Sud Est de jebel Bargou;SILIANA;;19;nd;;428;36;124.04;12.16;20.20;2.10;329.40;25.81;57.35;0.43;14.44;;non déterminés;Eau  bicarbonatée calcique à faible minéralisation;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Une étude clinique est à réaliser en vue de déterminer les indications thérapeutiques.;
43;FORAGE SODGA F3;Ensemble de forages implantés le long du flanc Sud Est de jebel Bargou.;SILIANA;;19;nd;;460;30.7;114.55;5.18;23.66;0.84;305.00;6.87;69.90;0.18;39.00;;non déterminés;Eau  bicarbonatée calcique à faible minéralisation;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Une étude clinique est à réaliser faite en vue de déterminer les indications thérapeutiques.;
44;FORAGE DE SODGA F4;Ensemble de forages implantés le long du flanc Sud-Est de jebel Bargou.;SILIANA;;19;nd;;420;32.05;130.04;13.13;24.87;1.63;329.40;11.63;70.77;0.42;25.87;;non déterminés;Eau de type bicarbonatée calcique, à faible minéralistion;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Une étude clinique est à réaliser en vue de déterminer les indications thérapeutiques.;
45;HAMMAM BIADHA;"Hamman Biadha se trouve à 30 km du Nord Ouest du Krib sur la route reliant les deux routes  principales Mjez-Jendouba et Mjez-Le Kef. L'eau jaillit par l'intermédiaire d'un puits-grotte profond d'une vingtaine de mètres et large de 5 m. L'eau thermale parait effervescente par le CO2 en émulsion en période de basse pression atmosphérique.
Altitude : 200 mètres.";SILIANA;600;45;"3 l/s source; 10l/s (pompage)";7.0;57860;650;1540.00;644.50;19056.00;248.68;1647.00;3778.00;33015.00;0.84;traces;;SiO2, Sr, Ba, B, Mn, Li, Fe, Cu, Zn, Ni, Rb;Eau chlorurée sodique, riche en CO2  qui pourrait être d'origine profonde;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie:- Rhumatismes articulaires chroniques : périarthrites, tendinites et bursite ; - Rhumatismes inflammatoires chroniques en dehors des poussées : pelvispondylite rhumatismale et polyarthrite rhumatoïde ; rhumatisme psoriasique et goutteux.. <BR>- Séquelles des traumatismes ostéo-articulares et des interventions chirurgicales : fractures, retard de consolidation, entorses, luxations, raideur articulaire ; arthropathies diverses de la sénescence. - Arthroses, rhumatisme dégénératifs dans toutes ses localisations et manifestations ; ostéoporose. - Syndromes algiques : cervicalgies, cervicobrachialgies, sciatiques. Dermatologie: -Dermatite atopique, dermatose, psoriasis, eczéma, lichens, prurits, acné séborrhèque, allergies intriquées. -Séquelles de brülures. Phlébologie : - Séquelles de phlébites et péri-phlébites ; insuffisances veineuses et lymphatiques (oedèmes chroniques, dermite purpurique, ulcères variquex), acrosyndromes vasculaires ; post-stripping. Gynécologie :- séquelles d'affections inflammatoires, algies pelviennes chroniques, troubles congestifs et neurotoniques de la ménopause.";Bains et douches Thermaux
46;HAMMAM TROZZA;"Le Hamman qui est en réalité « un vaporium  sulfuré naturel » dégageant de la vapeur d'eau chaude, est situé à 30 km au Sud Ouest de Kairouan. L'accès à cette zone par le biais d'une piste est assez difficile. 

Etat actuel d'exploitation: L'utilisation de ce Hammam s'effectue sans forme de vaporium naturel.La vapeur d'eaux sulfurées sort à travers des fissures dans le flanc du Jebel Trozza et se propage dans la grotte où les curistes s'installent.
Ce vaporium naturel est très fréquenté par les curistes des régions limitrophes.";KAIROUAN;420;;;;;;0;0;0;0;0;0;0;;;;non déterminés.;Vapeurs d'eaux sulfuruses;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;Rhumatologie Dermatologie O.R.L;Vaporium
