Activite,date _ouverture ,Date _Cloture,Lieu,pays,listes_Artistes_Participants,Nombre_artistes
دورة تكوينية - الدورة السادسة لورشة المتاحف بالأردن,26/11/2017,30/11/2017,*,الأردن," نصرالدين فراحتي
 ألفة دمق                                        ",2
تربص بالأكاديمية الصيفية الدولية الملكية بوالوني بروكسال ,16/07/2017,23/07/2017,بروكسال - بلجيكيا,بلجيكيا," نهى حاج عمر
 سامي ناصري             ",2
الإقامة بمركز الفنون الحية برادس,*,*,مركز الفنون الحية برادس,تونس,"رحمة النايلي
 صفاء العطياوي
 حمزة موسى",3
الإقامة بالحي الدولي للفنون بباريس,*,*,الحي الدولي للفنون بباريس,فرنسا," انتصار بالعيد
 زياد بن سلامة",2
"إقامة فنية بالصين "" Insight oh China "" ",17/10/2017,06/11/2017, ,الصين,محمد بوعزيز,1
إقامة عدد 08 فنانين صينيين بتونس,15/10/2017,27/10/2017,تونس العاصمة - المركز الثقافي الدولي بالحمامات,تونس,8,8
تربص بالأكاديمية الصيفية الدولية الملكية بوالوني بروكسال ,15/07/2018,01/08/2018,بروكسال - بلجيكيا,بلجيكيا," ليندا عبد اللطيف
 منى النوري
 نادرة العبيدي
 سيف الدين بن حماد
مبروكة بوهودي",5
الإقامة بمركز الفنون الحية برادس ,*,*,مركز الفنون الحية برادس,تونس," بشرى الطبوبي 
أنس مصلح
أحمد الوزير",3
الإقامة بالحي الدولي للفنون بباريس,*,*,الحي الدولي للفنون بباريس,تونس," إسماعيل بن فرج
 رحمة النايلي",2
إقامة فنية بالصين ,27/08/2018,12/09/2018,*,الصين,وسام غرس الله,1
