النشاط ,عدد النوادي,عدد الأنشطة,عدد  المنخرطين  
الادب والفكر,1,14,8
المسرح,6,15,83
الموسيقى,2,17,25
الرقص,2,7,22
السينما,1,4,7
السمعي/البصري,2,13,18
الفن التشكيلي,7,24,73
الثقافة الرقمية,1,4,8
العلوم,0,0,0
الاختصاصات الاخرى,3,8,21
