Institutions,Nombre-des-institutions,Nombre-des-institutions-fermee,En-bonne-etat,Amenagement-et-reconstruction,En-mouvaise-etat
Complexe culturel,1,0,1,0,0
Maison de culture classe ,1,0,0,1,0
Maison de culture classe 2,5,1,1,3,0
Bbliothèque regional,1,0,0,1,0
Bbliothèque publique,11,3,5,3,0
Bbliothèque itinerante,3,0,2,0,1
CADS,1,0,1,0,0
Conservatoir,2,0,0,2,0
Le théatre en plein air,4,0,1,3,0
Musée,1,0,1,0,0
La galerie d'arts,0,0,0,0,0
Institution privé,6,0,6,0,0
