Nom_Association,Subvention_2017,Subvention_2018
جمعية الفنون التشكيلية عمار فرحات,10.000,2.500
جمعية الأمل الجديد للمسرح,5.000,4.000
جمعية محمد الحيدري للمسرح,5.000,4.000
جمعية النجاح المسرحي الباجي,1.000,1.000
جمعية مسرح الناس المعقولة,1.500,1.000
جمعية القناع المسرحي بوادي الزرقاء,2.500,3.000
جمعية الحبيب الحداد للمسرح,3.000,2.500
جمعية تانيت للإبداع المسرحي,1.500,2.500
جمعية زهرة الشمال للفنون الركحية والتنمية الثقافية,10.000,2.000
جمعية جسور للمسرح والفنون بمجاز الباب,0,3.000
جمعية أحباء المكتبة والكتاب بباجة,1.500,0
جمعية أحباء المكتبة الجهوية والكتاب بباجة,8.000,6.500
جمعية أحباء المكتبة العمومية بنفزة,4.500,4.000
 جمعية أحباء دار الثقافة عمار فرحات,12.500,4.500
جمعية المالوف بمجاز الباب,2.000,2.000
جمعية النغم الجديد للموسيفى,2.000,2.000
جمعية الإبداع الفني,3.000,4.000
جمعية ابداع وفنون بباجة,7.000,0
جمعية  حنين للثقافة والفنون,16.000,0
جمعية بالفن,0,1.000
جمعية صوت الباعث,0,1.000
جمعية أحرار الوطن,13.000,4.000
جمعية ميثاق للتنمية والمواطنة,5.000,4.000
جمعية شباب التنمية بباجة,1.000,0
جمعية الحصاد والتنمية بعمدون,2.000,2.500
جمعية مهرجان المدينة بباجة,0,2.000
