les activités culturelles ciblées ;;;;;;;;;;
Nombres Activités;Les personnes handicapées;Les directives pour les enfants;La femme;Les jeunes et les adolescents;Les zones rurales;Les quartiers à forte densité de population;Les maisons de retraite;Les prisons et la réforme ;Dialogue culturel;
55;16;693;40;643;42;15;8;6;72;
