Espaces_culturels,Nombre_espaces,Nombre_employes 
Bibliothèques régionales et publiques,25,102
Bibliothèques mobiles,2,3
Maison et centre culturelles ,9,45
Centre des arts sceniques ,1,3
Musées ,2,18
Galeris d arts ,2,4
Site archéologique ,12,45
Théâtre plein air ,6,0
Instituts régionaux de musique et de danse,1,6
Salle du cinéma ,2,0
Sociétés de production théâtrale,2,0
Sociétés de production audiovisuelle,4,0
maison d'édition,9,35
Structures de formation dans les domaines culturel et artistique,10,0
Centre culturelles prive ,4,5
Musées privé,1,0
