Toponyme,Longitude,Latitude,Delegation
Tabbet Cheikh Amor,8.579396979520089,35.55179282117455,THALA
El Henchir,8.57941192510848,35.55089125936199,THALA
Sans nom,8.524784896702737,35.55162646359529,HIDRA
Sidi Brahim,8.615872974625631,35.54768252441152,THALA
Sans nom,8.367412631975975,35.55917638112355,HIDRA
Hnechir El Bahi,8.519813073605391,35.55201989754033,HIDRA
Sidi Bou Assida,8.557916470991561,35.54974957344323,HIDRA
El Kdiss,8.424854316063495,35.55584277489507,HIDRA
Henchir El Akouass,8.375160879230128,35.55792305833347,HIDRA
Henchir Maguer,8.611504425063837,35.54493023511704,THALA
Sans nom,8.682864383799066,35.53170331224602,THALA
Henchir El Msalla,8.571772816184536,35.54584692136415,THALA
Sidi Amor Jday,8.430428317575785,35.55275547130927,HIDRA
Sans nom,8.648520029091504,35.541266693250385,THALA
Sans nom,8.651298701132912,35.53994324389941,THALA
A‹n El char,8.661783958455725,35.539601721124306,THALA
Sans nom,8.620996028963267,35.53781863115807,THALA
Sans nom,8.673385971810093,35.538369053610204,THALA
Sans nom,8.612687583375516,35.539983534055864,THALA
Ferme Midani Mrad,8.598334308317686,35.54072944600908,THALA
Sidi Bou Assida Jabbanet El Assaydia,8.637540143086563,35.537994935317634,THALA
Hnechir El Hjiriba,8.360390005866938,35.55142100374993,HIDRA
Henchir Amir,8.409536675800316,35.548889213081864,HIDRA
"El Balda, Khalouet Sidi Abd el Rahmane",8.63148113634144,35.53747977267075,THALA
El Balda,8.656883900725338,35.53549300768397,THALA
Henchir El Mguitla,8.499020348761539,35.54230921201277,HIDRA
Sans nom,8.385295210447381,35.54723115167312 ,HIDRA
