Toponyme,Longitude,Latitude,Delegation
Fej El Rahalÿ Draa El Damous,8.497139191043106,35.64914283430937,HIDRA
Kalaa Djerba,8.585497303000121,35.650148193151935,KALAA KHASBAT
Henchir Ali Ben Mabrouk,8.441751297654276,35.65749667833048,HIDRA
Henchir Hamed,8.452797006790973,35.65763104599156,HIDRA
Henchir Hadjra Bidha,8.35321171234265,35.66540022159537,KALAAT SENANE
"Borj Ahmed Ben Nouia, A‹n El Hammam",8.530273220670905,35.64952750514949,HIDRA
Sans nom,8.596689904934149,35.64125366736973,THALA
Sans nom,8.517967438127021,35.65840302071677,HIDRA
Sidi Ahmed Ben Salem,8.479235721899995,35.41447869777179,FOUSSANA
Sans nom,8.364397594586757,35.6583305566095,KALAAT SENANE
Henchir El Hajra El Bidha,8.36440281518347,35.65806009823639,KALAAT SENANE
"Dar Ouled Mohamed Ben Sa‹d, Dachra",8.607587174166712,35.65038931773237,THALA
Henchir El Melki,8.458453831725263,35.650305207209314,HIDRA
Henchir Mohamed Ben Youssef,8.414271882574711,35.64994400735589,HIDRA
Sidi Abdelkader,8.436361148523781,35.65021680440818,HIDRA
Dar El Haj Salah,8.645239786775539,35.64447889200802,THALA
Jabbanet Ghada,8.607718964501386,35.64227526679775,THALA
Henchir Safsaf,8.369989790185977,35.65479533003974,KALAAT SENANE
Henchir El Souiria,8.52474306843265,35.649914807068896,HIDRA
Sans nom,8.591168066899954,35.64119326540643,THALA
Jeddi Assida et Sidi Abdelkader,8.497234560934745,35.64373355186187,HIDRA
Henchir Ben Abdallah,8.377824928458152,35.64948495948839,KALAAT SENANE
Jabbanet Oussayfi,8.375633308513764,35.648555250863254,KALAAT SENANE
Henchir Trad,8.430971985567517,35.6429366839234,HIDRA
Henchir Ahmed Ben Romdhane,8.475179176176495,35.6416689261715,HIDRA
Sidi Dhaher,8.44096088080585,35.64035393914845,HIDRA
Sans nom,8.475211462183088,35.6398658372353,HIDRA
Henchir El Kaabacha,8.563710405339133,35.63187186238099,HIDRA
Sans nom,8.431038560413123,35.63933053052803,HIDRA
Jabbanet El Saadaoui,8.607880005082038,35.632358087938606,THALA
Henchir Bou AllŠgue,8.353597284607293,35.645566640043036,
Sidi Abdelkader,8.530552536555694,35.63329957422313,HIDRA
Sans nom,8.563710405339133,35.63187186238099,HIDRA
Jeddi Assida,8.46416818116103,35.639733542620256,HIDRA
Sans nom,8.663204841688293,35.62573034024829,THALA
Sans nom,8.436560140463012,35.639398337565424,HIDRA
Borj El Arbi,8.66764941566099,35.62397287817033,THALA
Sans nom,8.497441151201498,35.632013433520086,HIDRA
Rammadia,8.60801173564537,35.62424402803855,THALA
Henchir El Snaissia,8.653295633761244,35.623823833704,THALA
Mzar Oum Naoua,8.475340591478131,35.63265347970306,HIDRA
Sidi Abdelkader,8.663232861725449,35.62392720216652,THALA
Henchir Zitouna,8.380240470412186,35.638694725534165,KALAAT SENANE
Henchir Belgacem Ben Ahmed,8.42007926394245,35.63468646518826,HIDRA
Sans nom,8.608026370736845,35.62334246561613,THALA
Henchir El Krouma,8.453256067458831,35.63238789305067,HIDRA
Sans nom,8.44663073913803,35.632307420363354,HIDRA
Sidi Bou Assida,8.453256067458831,35.63238789305067,HIDRA
Jabbanet Brahim Ben Mchagua,8.630108869694991,35.62357942386421,THALA
Henchir Slimane Ben Hamza,8.453272457077322,35.63148635110398,HIDRA
Henchir Jnan,8.398045412122695,35.63170605418853,HIDRA
Sidi Abdelkader et Jabbenet Ghada,8.631241742048294,35.62178803385946,THALA
Mzaret Sidi Ali Ben Abd Nebi,8.468224742118625,35.62914174483591,HIDRA
Sans nom (n‚cropole),8.598104036711275,35.6223329404978,HIDRA
Henchir El Arass,8.391411652534703,35.63207328451117,HIDRA
Henchir Souani ou El Sattara,8.56608510002111,35.621979434195254,HIDRA
Henchir Ben Mrad,8.504745070841263,35.62488514876389,HIDRA
Henchir Mohamed Ben Abid,8.499776503391146,35.624826971660084,HIDRA
Henchir El Medhbouha,8.468869242320688,35.62400956249455,HIDRA
Henchir Saadallah,8.627182743435412,35.633918019670205,THALA
Hnechir El Tiour,8.561940366786397,35.63861498195998,HIDRA
Sans nom,8.593539626724183,35.63130029680985,HIDRA
Henchir Ben Moussa,8.572732235896044,35.62070094076652,HIDRA
(portion de la voie Carthage Theveste),8.519783712276606,35.61739525250968,HIDRA
Ksar El Dhane,8.526913328238608,35.58817118897894,HIDRA
Sidi Chaffai,8.570120463361944,35.578741581871256,THALA
Henchir Douimis,8.599554314195231,35.601158271181035,THALA
Henchir El Hajjaj,8.597353552399776,35.61420925128314,HIDRA
Henchir M?hamed Ben Mohamed,8.613641696730557,35.61754192674354,THALA
Henchir Haj El Arbi,8.611752167724752,35.631949074012304,THALA
Henchir El Araies,8.643650176888826,35.605237510827536,THALA
Bir Bou Klada,8.647590533743767,35.635486419499166,THALA
"Henchir El Goussa, Saltus Massipianus,",8.668082869793947,35.631641916483986,THALA
"El Achiteb, A‹n El Kedim",8.684266624050633,35.62053642164753,THALA
Sans nom,8.665986299970209,35.58878882386467,THALA
Sans nom,8.650860518550056,35.56789192764738,THALA
Thala ville,8.668416719781302,35.57438648707493,THALA
Sans nom,8.675189958380527,35.564537352143795,THALA
Henchir El Halloufa,8.382681139885445,35.62655213739572,HIDRA
A‹n Defla,8.569480282470533,35.617057833874604,HIDRA
Henchir Rouka,8.48052672275986,35.62054180431706,HIDRA
Henchir Mohamed Ben Ammar,8.433546253221094,35.62312997821737,HIDRA
Khalouet Mohamed El Satour,8.560670819735808,35.61560671944564,HIDRA
Henchir Chafa‹,8.586115159567457,35.61273348253605,HIDRA
Ksar Touil,8.6353066653573,35.609207118967596,THALA
Henchir Zemla,8.409307005529733,35.62012449535887,HIDRA
(voir site 067.070),8.615244300767635,35.60718940120685,THALA
Sidi Abdelkader,8.625952133639503,35.607304188708476,THALA
El Mlaza,8.687846648151373,35.60298944691301,THALA
Sans nom,8.692323599234738,35.59897713156008,THALA
Sidi Amen El Kaabachi,8.626038701540793,35.601894795482465,THALA
Sidi Salah El Amidi,8.533217816735629,35.60672906879567,HIDRA
henchir El Jlal,8.569721364107794,35.602632900621295,HIDRA
Henchir Rouijil,8.542118067517082,35.60277287977055,THALA
Sidi Salem Ben Amer,8.553179225651174,35.601545630606786,THALA
Mzar d?El Mlaza,8.69282081622559,35.60258900977578,THALA
Ksar El Ahmar,8.45546880349387,35.601755494446614,HIDRA
Sans nom,8.490270552741238,35.60036820499416,HIDRA
Ksar El Houadig,8.511273977031506,35.59881100357689,HIDRA
Henchir Touam,8.636130596927176,35.59208319516947,THALA
Sans nom,8.690280396156233,35.588135887444146,THALA
Sans nom,8.451070022642579,35.600800425667835,HIDRA
Henchir Ben Khlef,8.560490527062404,35.59351236807552,THALA
Sidi Abdelkader,8.493661536644245,35.59589953149958,HIDRA
Henchir El Medjaouel,8.50521906183987,35.59783865178857,HIDRA
Sans nom,8.44006526606795,35.59886281491574,HIDRA
Sidi Haj El Aissa,8.475442087974365,35.59613428679824,HIDRA
Sans nom,8.469947765420594,35.59471595884816,HIDRA
Henchir Brahim Ben Khrayef,8.400941603102929,35.59522163188222,HIDRA
Koudiat Gadhoum,8.663862976748376,35.58335655052816,THALA
Sans nom,8.448993907914137,35.59356125801286,HIDRA
Sans nom,8.669422655372056,35.58070887617725,THALA
Sans nom,8.480545470924039,35.588530323285276,HIDRA
Jabbnet El Ritba,8.545728611421154,35.58523017142154,THALA
Henchir El Mrachia,8.442446083511012,35.58942360846281,HIDRA
Henchir El Hadi,8.658443500888625,35.5769882619667,THALA
"Sidi Mohamed Ben Ammar, Sidi Lahbib, Barmajnah",8.690472126043579,35.575513850501025,THALA
Sidi Abdelkader,8.440831950620133,35.587149519248605,HIDRA
Draa El Harafed,8.46959027948314,35.583890790666985,HIDRA
"Henchir Salah Belhaj, Fej Loubibat",8.43534715630388,35.58527882655443,HIDRA
L?entr‚e sud-ouest de Thala,8.665141314206714,35.57209833802025,THALA
Chajret El Jbali,8.448647491402443,35.58228525511688,HIDRA
Sans nom,8.651907365794635,35.571509756527945,THALA
Henchir Lebkakich,8.438172276759728,35.581706494316435,HIDRA
Henchir Abid,8.480714205081428,35.57906407098373,HIDRA
El Khama ou Khima,8.579597370302752,35.57298562219549,THALA
Henchir El Guerafi,8.466928749050593,35.57844840629081,HIDRA
Sans nom,8.410058012704578,35.58000608326031,HIDRA
Sans nom,8.455374971135393,35.57650557645069,HIDRA
Khalouet El Bannanah,8.588491545694893,35.56902596928753,THALA
El Assil…,8.3609270053534,35.58073501961042,HIDRA
Sans nom,8.682933844788188,35.56326404337253,THALA
Sans nom,8.485783972589674,35.5732629743675,HIDRA
El Char,8.656433626277714,35.56434328673731,THALA
Henchir El Khima,8.47420627695729,35.572674291229895,HIDRA
Ben Abaad,8.65258615962485,35.56340139574286,THALA
Henchir El Fellah,8.612301445931344,35.5638750293327,THALA
Sans nom,8.464300087505068,35.57120286922847,HIDRA
Sans nom,8.368203752950384,35.575418140416886,HIDRA
Henchir el Baroud,8.418961388410471,35.57605907685262,HIDRA
Sidi Soltane,8.468713594749298,35.571255904980596,HIDRA
Sans nom,8.468778400950432,35.56764971793782,HIDRA
Henchir El Mharem,8.521816546684995,35.5637656139266,HIDRA
El Houch El Guibli,8.687463707038201,35.55564560733259,THALA
Sans nom,8.424436810410288,35.578381293555154,HIDRA
El Magtaa,8.424603840986544,35.569365888625015,HIDRA
Sans nom,8.676997211258392,35.554637027604805,THALA
Sans nom,8.468835101526029,35.564494303889816,HIDRA
Sans nom,8.431282100989144,35.5662921881542,HIDRA
Henchir Sidi Kaddour,8.521871143579027,35.5606101746442,HIDRA
Sidi Brahim,8.556646146047395,35.55965430181253,HIDRA
Henchir El Hadj Bel Akhdher,8.380496189626466,35.5674595634071,HIDRA
Henchir Bou Sa‹d,8.390443081530208,35.56668410415896,HIDRA
Sans nom,8.421745081231565,35.57474098154202,HIDRA
Ha‹dra,8.457291466015018,35.56210088496616,HIDRA
Sans nom,8.682002877362326,35.55198310677607,THALA
Henchir Doua,8.645599315613522,35.551605777814196,THALA
Sans nom,8.425297406269927,35.561709612982604,HIDRA
Sans nom,8.667152327523041,35.54912537057691,THALA
Jabbanet El-Sray,8.376195069759776,35.56154329342357,HIDRA
A‹n El Karma,8.544074114402834,35.55274905784777,HIDRA
Sans nom,8.674915640538837,35.546500222824804,THALA
Mzar,8.475607978946211,35.55600883893783,HIDRA
