pays,montant
Burkina Faso,3000
Burkina Faso,5000
Burkina Faso,5000
Burkina Faso,3000
Egypte,5322
Egypte,3000
Senegal,16210
Emirats arabe,4905
Maroc,5000
Maroc,1000
Maroc,1000
Italie,5000
Italie,3500
Constantine,17600
Chine,5100
Bahreïn,9140
Dakar,4000
Qatar,9000
Algerie,4000
